DATASET,WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,DELTA
dev,0.0,400,400,350,350,0.30472727272727274,0.2857142857142857,0.3085714285714286,0.9962285714285715,0.993257142857143,0.6979220779220779,0.9947428571428572,0.7276041558441559,0.0
dev,0.025,400,400,350,350,0.30472727272727274,0.2857142857142857,0.3085714285714286,0.9962285714285715,0.993257142857143,0.6979220779220779,0.9947428571428572,0.7276041558441559,0.0
dev,0.05,400,400,350,350,0.30472727272727274,0.2857142857142857,0.3085714285714286,0.9962285714285715,0.993257142857143,0.6979220779220779,0.9947428571428572,0.7276041558441559,0.0
dev,0.075,400,400,350,350,0.30472727272727274,0.2857142857142857,0.3142857142857143,0.9962285714285715,0.993257142857143,0.6962077922077923,0.9947428571428572,0.7260612987012988,-0.0017142857142856682
dev,0.1,400,400,350,350,0.30472727272727274,0.2857142857142857,0.3085714285714286,0.9962285714285715,0.993257142857143,0.6979220779220779,0.9947428571428572,0.7276041558441559,0.0
dev,0.125,400,400,350,350,0.30472727272727274,0.2857142857142857,0.29714285714285715,0.9962285714285715,0.993257142857143,0.7013506493506494,0.9947428571428572,0.7306898701298702,0.0034285714285714475
dev,0.15,400,400,350,350,0.30472727272727274,0.2857142857142857,0.29714285714285715,0.9962285714285715,0.993257142857143,0.7013506493506494,0.9947428571428572,0.7306898701298702,0.0034285714285714475
dev,0.2,400,400,350,350,0.30472727272727274,0.2857142857142857,0.2857142857142857,0.9962285714285715,0.993257142857143,0.7047792207792208,0.9947428571428572,0.7337755844155845,0.006857142857142895
dev,0.25,400,400,350,350,0.30472727272727274,0.2857142857142857,0.28,0.9962285714285715,0.993257142857143,0.7064935064935065,0.9947428571428572,0.7353184415584416,0.008571428571428563
dev,0.3,400,400,350,350,0.30472727272727274,0.2857142857142857,0.2571428571428571,0.9962285714285715,0.993257142857143,0.7133506493506494,0.9947428571428572,0.7414898701298702,0.015428571428571458
dev,0.35,400,400,350,350,0.30472727272727274,0.2857142857142857,0.2571428571428571,0.9962285714285715,0.993257142857143,0.7133506493506494,0.9947428571428572,0.7414898701298702,0.015428571428571458
dev,0.4,400,400,350,350,0.30472727272727274,0.2857142857142857,0.2457142857142857,0.9962285714285715,0.993257142857143,0.7167792207792208,0.9947428571428572,0.7445755844155845,0.018857142857142906
dev,0.5,400,400,350,350,0.30472727272727274,0.2857142857142857,0.22857142857142854,0.9962285714285715,0.993257142857143,0.721922077922078,0.9947428571428572,0.7492041558441559,0.02400000000000002
factorial,0.0,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,0.9928,0.9989142857142856,0.7455064935064936,0.9958571428571428,0.7705415584415585,0.0
