METHOD,FILE_WEIGHT,dev_ADS,dev_FILE_EER,factorial_ADS,factorial_FILE_EER,phone_ADS,phone_FILE_EER,yue_ADS,yue_FILE_EER,LOCKED_MEAN_ADS,LOCKED_MIN_ADS
mean,0.4,0.7862857142857143,0.19999999999999998,0.8001818181818181,0.20763636363636362,0.8884285714285716,0.11414285714285716,0.8807649602618046,0.12771739130434784,0.8564584499573981,0.8001818181818181
mean,0.5,0.7939220779220779,0.1847272727272727,0.804,0.19999999999999998,0.8934285714285715,0.10414285714285715,0.8807649602618046,0.12771739130434784,0.859397843896792,0.804
mean,0.6,0.8024675324675324,0.16763636363636364,0.8116363636363636,0.1847272727272727,0.8992857142857142,0.09242857142857143,0.8967296341748481,0.09578804347826086,0.869217237365642,0.8116363636363636
mean,0.7,0.8024675324675324,0.16763636363636364,0.8154545454545454,0.1770909090909091,0.9034285714285715,0.08414285714285716,0.8967296341748481,0.09578804347826086,0.8718709170193216,0.8154545454545454
mean,0.75,0.8024675324675324,0.16763636363636364,0.8125454545454545,0.18290909090909088,0.9034285714285715,0.08414285714285716,0.8940122428705002,0.10122282608695654,0.8699954229481754,0.8125454545454545
mean,0.8,0.8062857142857143,0.16000000000000003,0.8125454545454545,0.18290909090909088,0.9017142857142857,0.08757142857142859,0.8940122428705002,0.10122282608695654,0.8694239943767469,0.8125454545454545
mean,0.9,0.8062857142857143,0.16000000000000003,0.8201818181818181,0.16763636363636364,0.8967142857142858,0.0975714285714286,0.8940122428705002,0.10122282608695654,0.8703027822555347,0.8201818181818181
mean,1.0,0.8053766233766233,0.16181818181818186,0.8154545454545454,0.1770909090909091,0.891357142857143,0.10828571428571426,0.899447025479196,0.09035326086956524,0.8687529045969615,0.8154545454545454
top2,0.4,0.7871948051948051,0.1981818181818182,0.8087272727272727,0.19054545454545455,0.8875714285714287,0.11585714285714288,0.8807649602618046,0.12771739130434784,0.8590212205201686,0.8087272727272727
top2,0.5,0.7948311688311688,0.18290909090909088,0.8078181818181818,0.19236363636363638,0.8925714285714286,0.10585714285714287,0.8967296341748481,0.09578804347826086,0.8657064148548196,0.8078181818181818
top2,0.6,0.7948311688311688,0.18290909090909088,0.8087272727272727,0.19054545454545455,0.8996428571428572,0.0917142857142857,0.8967296341748481,0.09578804347826086,0.8683665880149927,0.8087272727272727
top2,0.7,0.7986493506493506,0.17527272727272727,0.8125454545454545,0.18290909090909088,0.9046428571428571,0.08171428571428571,0.8967296341748481,0.09578804347826086,0.8713059819543866,0.8125454545454545
top2,0.75,0.8024675324675324,0.16763636363636364,0.8116363636363636,0.1847272727272727,0.9005000000000001,0.08999999999999998,0.899447025479196,0.09035326086956524,0.8705277963718533,0.8116363636363636
