filepath,target,ID,DATASET
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00016.flac,0,forensic_train_00016,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00017.flac,0,forensic_train_00017,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00018.flac,0,forensic_train_00018,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00019.flac,0,forensic_train_00019,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00020.flac,0,forensic_train_00020,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00021.flac,0,forensic_train_00021,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00022.flac,0,forensic_train_00022,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00023.flac,0,forensic_train_00023,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00024.flac,0,forensic_train_00024,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00025.flac,0,forensic_train_00025,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00026.flac,0,forensic_train_00026,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00027.flac,0,forensic_train_00027,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00028.flac,0,forensic_train_00028,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00029.flac,0,forensic_train_00029,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00030.flac,0,forensic_train_00030,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00031.flac,0,forensic_train_00031,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00064.flac,0,forensic_train_00064,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00065.flac,0,forensic_train_00065,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00066.flac,0,forensic_train_00066,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00067.flac,0,forensic_train_00067,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00068.flac,0,forensic_train_00068,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00069.flac,0,forensic_train_00069,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00070.flac,0,forensic_train_00070,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00071.flac,0,forensic_train_00071,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00072.flac,0,forensic_train_00072,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00073.flac,0,forensic_train_00073,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00074.flac,0,forensic_train_00074,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00075.flac,0,forensic_train_00075,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00076.flac,0,forensic_train_00076,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00077.flac,0,forensic_train_00077,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00078.flac,0,forensic_train_00078,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00079.flac,0,forensic_train_00079,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00112.flac,0,forensic_train_00112,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00113.flac,0,forensic_train_00113,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00114.flac,0,forensic_train_00114,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00115.flac,0,forensic_train_00115,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00116.flac,0,forensic_train_00116,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00117.flac,0,forensic_train_00117,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00118.flac,0,forensic_train_00118,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00119.flac,0,forensic_train_00119,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00120.flac,0,forensic_train_00120,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00121.flac,0,forensic_train_00121,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00122.flac,0,forensic_train_00122,forensic_call_train_v1
/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00123.flac,0,forensic_train_00123,forensic_call_train_v1
