DATASET,ID,FILE_FAKE_PROB
codec_mixed_dev_v4,pmv3_0000__clean,0.7089273929595947
codec_mixed_dev_v4,pmv3_0000__g711_ulaw,0.5502110123634338
codec_mixed_dev_v4,pmv3_0000__g722_wb,0.7768611311912537
codec_mixed_dev_v4,pmv3_0000__opus_nb_8k,0.5870053768157959
codec_mixed_dev_v4,pmv3_0000__transcode_g711_opus,0.745573103427887
codec_mixed_dev_v4,pmv3_0001__clean,0.6380557417869568
codec_mixed_dev_v4,pmv3_0001__g711_ulaw,0.5392690896987915
codec_mixed_dev_v4,pmv3_0001__g722_wb,0.619442343711853
codec_mixed_dev_v4,pmv3_0001__opus_nb_8k,0.34849029779434204
codec_mixed_dev_v4,pmv3_0001__transcode_g711_opus,0.41580870747566223
codec_mixed_dev_v4,pmv3_0002__clean,0.7654748558998108
codec_mixed_dev_v4,pmv3_0002__g711_ulaw,0.4231191575527191
codec_mixed_dev_v4,pmv3_0002__g722_wb,0.44022902846336365
codec_mixed_dev_v4,pmv3_0002__opus_nb_8k,0.6581065058708191
codec_mixed_dev_v4,pmv3_0002__transcode_g711_opus,0.49126148223876953
codec_mixed_dev_v4,pmv3_0003__clean,0.8972150087356567
codec_mixed_dev_v4,pmv3_0003__g711_ulaw,0.7509538531303406
codec_mixed_dev_v4,pmv3_0003__g722_wb,0.9505585432052612
codec_mixed_dev_v4,pmv3_0003__opus_nb_8k,0.3470626473426819
codec_mixed_dev_v4,pmv3_0003__transcode_g711_opus,0.285290002822876
codec_mixed_dev_v4,pmv3_0004__clean,0.8714777827262878
codec_mixed_dev_v4,pmv3_0004__g711_ulaw,0.521523654460907
codec_mixed_dev_v4,pmv3_0004__g722_wb,0.8772361874580383
codec_mixed_dev_v4,pmv3_0004__opus_nb_8k,0.675258994102478
codec_mixed_dev_v4,pmv3_0004__transcode_g711_opus,0.4439988136291504
codec_mixed_dev_v4,pmv3_0005__clean,0.6145780682563782
