ID,HYBRID_FAKE_PROB
yue_000_music_real,0.05255110189318657
yue_000_music_fake,0.9569534659385681
yue_000_concurrent_v0_m0,0.06368018686771393
yue_000_concurrent_v1_m0,0.06011563539505005
yue_000_concurrent_v0_m1,0.772200345993042
yue_000_concurrent_v1_m1,0.22678542137145996
yue_000_partial_overlap_v0_m0,0.958206057548523
yue_000_partial_overlap_v1_m0,0.3185534179210663
yue_000_partial_overlap_v0_m1,0.1730353981256485
yue_000_partial_overlap_v1_m1,0.624125599861145
yue_000_sequential_v0_m0,0.06429954618215561
yue_000_sequential_v1_m0,0.06596517562866211
yue_000_sequential_v0_m1,0.2183927595615387
yue_000_sequential_v1_m1,0.6195981502532959
yue_000_native_vocal_real_music,0.05908850207924843
yue_000_native_vocal_fake_music,0.9568918943405151
yue_001_music_real,0.11845991760492325
yue_001_music_fake,0.9571600556373596
yue_001_concurrent_v0_m0,0.19041390717029572
yue_001_concurrent_v1_m0,0.1807900369167328
yue_001_concurrent_v0_m1,0.21070349216461182
yue_001_concurrent_v1_m1,0.2809988558292389
yue_001_partial_overlap_v0_m0,0.15430240333080292
yue_001_partial_overlap_v1_m0,0.6517601609230042
yue_001_partial_overlap_v0_m1,0.10318135470151901
yue_001_partial_overlap_v1_m1,0.8761387467384338
yue_001_sequential_v0_m0,0.15285782516002655
yue_001_sequential_v1_m0,0.1900230199098587
yue_001_sequential_v0_m1,0.9577950835227966
yue_001_sequential_v1_m1,0.30535978078842163
yue_001_native_vocal_real_music,0.1622084677219391
yue_001_native_vocal_fake_music,0.9570637345314026
yue_002_music_real,0.07319686561822891
yue_002_music_fake,0.9466248750686646
yue_002_concurrent_v0_m0,0.07948093861341476
yue_002_concurrent_v1_m0,0.06596261262893677
yue_002_concurrent_v0_m1,0.10059845447540283
yue_002_concurrent_v1_m1,0.28282472491264343
yue_002_partial_overlap_v0_m0,0.07524624466896057
yue_002_partial_overlap_v1_m0,0.4008975327014923
yue_002_partial_overlap_v0_m1,0.9583387970924377
yue_002_partial_overlap_v1_m1,0.7300927042961121
yue_002_sequential_v0_m0,0.5114690065383911
yue_002_sequential_v1_m0,0.5245707631111145
yue_002_sequential_v0_m1,0.09448985755443573
