epoch,train_nll,dev_real_nll,dev_eer_all,eer_external_mixed_v1,eer_factorial_eval_1200_v2_dev,eer_source_disjoint_mixed_equal_v1,eer_source_disjoint_mixed_v1
0,3.0360784018039704,1.6242705583572388,0.49913043478260866,0.505,0.48571428571428577,0.48,0.54
1,1.4806181764602662,1.4458640813827515,0.5217391304347826,0.52,0.4971428571428571,0.54,0.54
2,1.4106439363956451,1.3960254192352295,0.52,0.505,0.5371428571428571,0.53,0.52
3,1.3888551700115204,1.3917036056518555,0.4869565217391304,0.48,0.48,0.47,0.49
4,1.3728606688976288,1.367944359779358,0.5060869565217392,0.485,0.56,0.51,0.51
5,1.3661954605579376,1.3682923316955566,0.5391304347826087,0.515,0.5314285714285714,0.54,0.5700000000000001
6,1.3585959482192993,1.3565187454223633,0.5060869565217392,0.5,0.4971428571428571,0.52,0.51
7,1.3554568314552307,1.3644413948059082,0.511304347826087,0.54,0.5142857142857142,0.48,0.51
8,1.3521209609508515,1.3513151407241821,0.4939130434782608,0.485,0.4971428571428571,0.48,0.51
9,1.350563291311264,1.3489716053009033,0.49043478260869566,0.48,0.49142857142857144,0.49,0.5
