MIX,FILE_W,VOICE_W,DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
s09,0.0,0.0,dev,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
s09,0.0,0.0,factorial,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
s09,0.0,0.0,phone,1200,1200,800,800,0.16828571428571432,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8411071428571428,0.9703312500000001,0.8540295535714286
s09,0.0,0.0,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.0,0.0,combined,1600,1600,1150,1150,0.18065641025641022,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.823758751393534,0.9742396135265701,0.8388068376068376
s09,0.0,0.025,dev,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
s09,0.0,0.025,factorial,400,400,350,350,0.21709090909090906,0.22857142857142854,0.20571428571428574,0.9928,0.9989142857142856,0.7840259740259741,0.9958571428571428,0.805209090909091
s09,0.0,0.025,phone,1200,1200,800,800,0.16828571428571432,0.16500000000000004,0.13749999999999998,0.956603125,0.9840593750000001,0.8416071428571428,0.9703312500000001,0.8544795535714286
s09,0.0,0.025,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.0,0.025,combined,1600,1600,1150,1150,0.18065641025641022,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.823758751393534,0.9742396135265701,0.8388068376068376
s09,0.0,0.05,dev,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
s09,0.0,0.05,factorial,400,400,350,350,0.21709090909090906,0.21714285714285717,0.20571428571428574,0.9928,0.9989142857142856,0.7863116883116883,0.9958571428571428,0.8072662337662337
s09,0.0,0.05,phone,1200,1200,800,800,0.16828571428571432,0.16500000000000004,0.13749999999999998,0.956603125,0.9840593750000001,0.8416071428571428,0.9703312500000001,0.8544795535714286
s09,0.0,0.05,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.0,0.05,combined,1600,1600,1150,1150,0.18065641025641022,0.1878260869565217,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8241065774804905,0.9742396135265701,0.8391198810850986
s09,0.0,0.075,dev,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
s09,0.0,0.075,factorial,400,400,350,350,0.21709090909090906,0.21714285714285717,0.20571428571428574,0.9928,0.9989142857142856,0.7863116883116883,0.9958571428571428,0.8072662337662337
