MODEL,PARENT_ID,CHANNEL,TASK,LABEL,CLEAN_PROB,CHANNEL_PROB,SCORE_DELTA,SIGNED_DELTA
v47,cmbv8_0000,g711_ulaw,FILE,0,0.4059783601,0.1993078495,-0.2066705106,0.2066705106
v47,cmbv8_0001,g711_ulaw,FILE,0,0.7875303261,0.2745030806,-0.5130272455,0.5130272455
v47,cmbv8_0002,g711_ulaw,FILE,0,0.5564775297,0.4863769961,-0.07010053359999996,0.07010053359999996
v47,cmbv8_0003,g711_ulaw,FILE,0,0.347931885,0.5570155852,0.20908370020000006,-0.20908370020000006
v47,cmbv8_0004,g711_ulaw,FILE,0,0.3744890743,0.078797277,-0.2956917973,0.2956917973
v47,cmbv8_0005,g711_ulaw,FILE,0,0.5907384713,0.3674094523,-0.22332901900000002,0.22332901900000002
v47,cmbv8_0006,g711_ulaw,FILE,1,0.7447081425,0.8772280394,0.1325198969000001,0.1325198969000001
v47,cmbv8_0007,g711_ulaw,FILE,1,0.4743784148,0.2080028317,-0.2663755831,-0.2663755831
v47,cmbv8_0008,g711_ulaw,FILE,1,0.6867127256,0.1759712525,-0.5107414731,-0.5107414731
v47,cmbv8_0009,g711_ulaw,FILE,1,0.9756966219,0.8580157478,-0.11768087409999994,-0.11768087409999994
v47,cmbv8_0010,g711_ulaw,FILE,1,0.7197684677,0.2970579538,-0.42271051390000003,-0.42271051390000003
v47,cmbv8_0011,g711_ulaw,FILE,1,0.8674167553,0.6714806819,-0.19593607339999997,-0.19593607339999997
v47,cmbv8_0012,g711_ulaw,FILE,1,0.5150990897,0.2479019629,-0.26719712679999996,-0.26719712679999996
v47,cmbv8_0013,g711_ulaw,FILE,1,0.8591823119,0.6151016215,-0.24408069040000002,-0.24408069040000002
v47,cmbv8_0014,g711_ulaw,FILE,1,0.9440889945,0.9402510102,-0.0038379842999999303,-0.0038379842999999303
v47,cmbv8_0015,g711_ulaw,FILE,1,0.7709330469,0.5039011128,-0.2670319340999999,-0.2670319340999999
v47,cmbv8_0016,g711_ulaw,FILE,1,0.7258969741,0.7521703089,0.026273334800000048,0.026273334800000048
v47,cmbv8_0017,g711_ulaw,FILE,1,0.9607549883,0.9509003277,-0.009854660599999954,-0.009854660599999954
v47,cmbv8_0018,g711_ulaw,FILE,1,0.9735128739,0.9407180898,-0.03279478409999992,-0.03279478409999992
v47,cmbv8_0019,g711_ulaw,FILE,1,0.9744799096,0.9550755742,-0.019404335399999972,-0.019404335399999972
v47,cmbv8_0020,g711_ulaw,FILE,1,0.9523457254,0.8123059277,-0.14003979769999997,-0.14003979769999997
v47,cmbv8_0021,g711_ulaw,FILE,1,0.9785810019,0.9434703097,-0.03511069219999996,-0.03511069219999996
v47,cmbv8_0022,g711_ulaw,FILE,1,0.9445686544,0.5118242046,-0.43274444980000004,-0.43274444980000004
v47,cmbv8_0023,g711_ulaw,FILE,1,0.9748495429,0.8236433889,-0.15120615400000004,-0.15120615400000004
v47,cmbv8_0024,g711_ulaw,FILE,0,0.3954971682,0.6185488228,0.22305165459999998,-0.22305165459999998
v47,cmbv8_0025,g711_ulaw,FILE,0,0.9279841645,0.8626016172,-0.06538254730000004,0.06538254730000004
v47,cmbv8_0026,g711_ulaw,FILE,0,0.8709626913,0.9347015504,0.06373885909999999,-0.06373885909999999
v47,cmbv8_0027,g711_ulaw,FILE,0,0.8491456406,0.5192217142,-0.3299239264,0.3299239264
v47,cmbv8_0028,g711_ulaw,FILE,0,0.6456376321,0.8362023474,0.19056471529999996,-0.19056471529999996
v47,cmbv8_0029,g711_ulaw,FILE,0,0.6325506229,0.6842024619,0.05165183900000003,-0.05165183900000003
v47,cmbv8_0030,g711_ulaw,FILE,1,0.9282434667,0.891509661,-0.036733805700000066,-0.036733805700000066
v47,cmbv8_0031,g711_ulaw,FILE,1,0.9400230483,0.8057979854,-0.13422506290000003,-0.13422506290000003
v47,cmbv8_0032,g711_ulaw,FILE,1,0.8090131851,0.8998221061,0.09080892100000004,0.09080892100000004
v47,cmbv8_0033,g711_ulaw,FILE,1,0.8268365275,0.507758806,-0.3190777215,-0.3190777215
v47,cmbv8_0034,g711_ulaw,FILE,1,0.9345009734,0.7068503568,-0.22765061660000008,-0.22765061660000008
v47,cmbv8_0035,g711_ulaw,FILE,1,0.934497985,0.9390216584,0.004523673399999928,0.004523673399999928
v47,cmbv8_0036,g711_ulaw,FILE,1,0.4975451697,0.4769217081,-0.020623461600000004,-0.020623461600000004
v47,cmbv8_0037,g711_ulaw,FILE,1,0.6595631105,0.6803761298,0.020813019299999902,0.020813019299999902
v47,cmbv8_0038,g711_ulaw,FILE,1,0.8674623274,0.8000321812,-0.06743014619999999,-0.06743014619999999
v47,cmbv8_0039,g711_ulaw,FILE,1,0.9884312596,0.9109436125,-0.0774876471,-0.0774876471
v47,cmbv8_0040,g711_ulaw,FILE,1,0.9162544313,0.6844399553,-0.23181447599999994,-0.23181447599999994
v47,cmbv8_0041,g711_ulaw,FILE,1,0.9013412359,0.9257677527,0.024426516799999964,0.024426516799999964
v47,cmbv8_0042,g711_ulaw,FILE,1,0.9889115612,0.9731219578,-0.01578960340000002,-0.01578960340000002
v47,cmbv8_0043,g711_ulaw,FILE,1,0.9890638248,0.9523884414,-0.03667538339999998,-0.03667538339999998
