DATASET,MUSIC_WEIGHT,FILE_RATIO,FILE_UPDATE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,0.0,0.0,0.75,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.1,0.0,0.75,400,400,350,350,0.22472727272727272,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7687792207792208,0.9947428571428572,0.7913755844155844
dev,0.2,0.0,0.75,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7743116883116884,0.9947428571428572,0.7963548051948053
dev,0.3,0.0,0.75,400,400,350,350,0.21527272727272728,0.2857142857142857,0.19428571428571428,0.9962285714285715,0.993257142857143,0.776935064935065,0.9947428571428572,0.7987158441558443
dev,0.4,0.0,0.75,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,0.5,0.0,0.75,400,400,350,350,0.21527272727272728,0.2857142857142857,0.19428571428571428,0.9962285714285715,0.993257142857143,0.776935064935065,0.9947428571428572,0.7987158441558443
dev,0.6,0.0,0.75,400,400,350,350,0.21709090909090906,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7725974025974027,0.9947428571428572,0.7948119480519482
dev,0.7,0.0,0.75,400,400,350,350,0.21709090909090906,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7725974025974027,0.9947428571428572,0.7948119480519482
dev,0.8,0.0,0.75,400,400,350,350,0.2229090909090909,0.2857142857142857,0.2114285714285714,0.9962285714285715,0.993257142857143,0.767974025974026,0.9947428571428572,0.7906509090909092
dev,0.9,0.0,0.75,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7743116883116884,0.9947428571428572,0.7963548051948053
dev,1.0,0.0,0.75,400,400,350,350,0.21709090909090906,0.2857142857142857,0.2114285714285714,0.9962285714285715,0.993257142857143,0.770883116883117,0.9947428571428572,0.793269090909091
factorial,0.0,0.0,0.75,400,400,350,350,0.23818181818181816,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7694805194805194,0.9958571428571428,0.7921181818181818
factorial,0.1,0.0,0.75,400,400,350,350,0.23818181818181816,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7711948051948052,0.9958571428571428,0.793661038961039
factorial,0.2,0.0,0.75,400,400,350,350,0.23236363636363638,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7775324675324675,0.9958571428571428,0.7993649350649351
factorial,0.3,0.0,0.75,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
factorial,0.4,0.0,0.75,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
factorial,0.5,0.0,0.75,400,400,350,350,0.21527272727272728,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7843636363636364,0.9958571428571428,0.805512987012987
factorial,0.6,0.0,0.75,400,400,350,350,0.21527272727272728,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7843636363636364,0.9958571428571428,0.805512987012987
factorial,0.7,0.0,0.75,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416
