variant,channel,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
official_anchor,all,600,600,600,600,0.2333333333333333,0.20666666666666667,0.2533333333333333,,,0.766,,
official_anchor,clean,120,120,120,120,0.09999999999999999,0.11666666666666668,0.11666666666666668,,,0.8916666666666666,,
official_anchor,g711_ulaw,120,120,120,120,0.19999999999999998,0.09999999999999999,0.19999999999999998,,,0.8200000000000001,,
official_anchor,g722_wb,120,120,120,120,0.16666666666666663,0.09999999999999999,0.08333333333333334,,,0.8716666666666666,,
official_anchor,opus_nb_8k,120,120,120,120,0.33333333333333337,0.35,0.3666666666666667,,,0.6533333333333333,,
official_anchor,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.31666666666666665,0.4,,,0.6666666666666667,,
adapted_all_outputs,all,600,600,600,600,0.2466666666666667,0.2633333333333333,0.21333333333333337,,,0.76,,
adapted_all_outputs,clean,120,120,120,120,0.1333333333333333,0.25,0.06666666666666665,,,0.8633333333333333,,
adapted_all_outputs,g711_ulaw,120,120,120,120,0.2333333333333333,0.2666666666666667,0.11666666666666668,,,0.7949999999999999,,
adapted_all_outputs,g722_wb,120,120,120,120,0.1333333333333333,0.2666666666666667,0.08333333333333334,,,0.855,,
adapted_all_outputs,opus_nb_8k,120,120,120,120,0.30000000000000004,0.2666666666666667,0.2833333333333333,,,0.7116666666666667,,
adapted_all_outputs,transcode_g711_opus,120,120,120,120,0.3055555555555556,0.25,0.33333333333333337,,,0.6972222222222222,,
adapted_music_only,all,600,600,600,600,0.2333333333333333,0.20666666666666667,0.21333333333333337,,,0.778,,
adapted_music_only,clean,120,120,120,120,0.09999999999999999,0.11666666666666668,0.06666666666666665,,,0.9066666666666667,,
adapted_music_only,g711_ulaw,120,120,120,120,0.19999999999999998,0.09999999999999999,0.11666666666666668,,,0.845,,
adapted_music_only,g722_wb,120,120,120,120,0.16666666666666663,0.09999999999999999,0.08333333333333334,,,0.8716666666666666,,
adapted_music_only,opus_nb_8k,120,120,120,120,0.33333333333333337,0.35,0.2833333333333333,,,0.6783333333333333,,
adapted_music_only,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.31666666666666665,0.33333333333333337,,,0.6866666666666666,,
