weight,pure,mixed,selection
0.0,0.9924289772727273,0.9639375000000001,0.9710603693181818
0.025,0.9931676136363636,0.9752208333333333,0.9797075284090908
0.05,0.9933948863636364,0.9820458333333333,0.984883096590909
0.075,0.9936221590909091,0.9859791666666666,0.9878899147727273
0.1,0.9938068181818182,0.9883083333333333,0.9896829545454545
0.15,0.9941193181818182,0.9904916666666667,0.9913985795454545
0.2,0.9943892045454545,0.9913375000000001,0.9921004261363637
0.25,0.9945738636363636,0.9918125,0.9925028409090909
0.3,0.9947585227272727,0.9921958333333334,0.9928365056818182
0.35,0.9949289772727272,0.9924916666666667,0.9931009943181819
0.4,0.9950142045454545,0.9927750000000001,0.9933348011363636
0.45,0.9950142045454545,0.9930375,0.9935316761363636
0.5,0.9950426136363636,0.9933125,0.993745028409091
