DATASET,ID,MODERN_FAKEPRINT_PROB
phone_factorial_1200_v1,sdxeq_0000__phonefact_resample8k,0.00019973516464233398
phone_factorial_1200_v1,sdxeq_0000__phonefact_g711_ulaw,2.6851892471313477e-05
phone_factorial_1200_v1,sdxeq_0000__phonefact_g726_24k,1.2367963790893555e-05
phone_factorial_1200_v1,sdxeq_0000__phonefact_opus_nb_8k,0.0
phone_factorial_1200_v1,sdxeq_0001__phonefact_resample8k,1.1920928955078125e-07
phone_factorial_1200_v1,sdxeq_0001__phonefact_g711_ulaw,0.0
phone_factorial_1200_v1,sdxeq_0001__phonefact_g726_24k,2.384185791015625e-07
phone_factorial_1200_v1,sdxeq_0001__phonefact_opus_nb_8k,2.980232238769531e-07
phone_factorial_1200_v1,sdxeq_0002__phonefact_resample8k,5.960464477539063e-08
phone_factorial_1200_v1,sdxeq_0002__phonefact_g711_ulaw,2.980232238769531e-07
phone_factorial_1200_v1,sdxeq_0002__phonefact_g726_24k,2.9802322387695312e-08
phone_factorial_1200_v1,sdxeq_0002__phonefact_opus_nb_8k,5.27501106262207e-06
phone_factorial_1200_v1,sdxeq_0003__phonefact_resample8k,4.315376281738281e-05
phone_factorial_1200_v1,sdxeq_0003__phonefact_g711_ulaw,5.364418029785156e-07
phone_factorial_1200_v1,sdxeq_0003__phonefact_g726_24k,2.682209014892578e-06
phone_factorial_1200_v1,sdxeq_0003__phonefact_opus_nb_8k,3.2186508178710938e-06
phone_factorial_1200_v1,sdxeq_0004__phonefact_resample8k,4.172325134277344e-07
phone_factorial_1200_v1,sdxeq_0004__phonefact_g711_ulaw,9.238719940185547e-07
phone_factorial_1200_v1,sdxeq_0004__phonefact_g726_24k,3.647804260253906e-05
phone_factorial_1200_v1,sdxeq_0004__phonefact_opus_nb_8k,4.589557647705078e-06
phone_factorial_1200_v1,sdxeq_0005__phonefact_resample8k,0.0
phone_factorial_1200_v1,sdxeq_0005__phonefact_g711_ulaw,0.0
phone_factorial_1200_v1,sdxeq_0005__phonefact_g726_24k,7.748603820800781e-07
phone_factorial_1200_v1,sdxeq_0005__phonefact_opus_nb_8k,2.980232238769531e-07
phone_factorial_1200_v1,sdxeq_0006__phonefact_resample8k,0.0
phone_factorial_1200_v1,sdxeq_0006__phonefact_g711_ulaw,0.0
phone_factorial_1200_v1,sdxeq_0006__phonefact_g726_24k,2.9802322387695312e-08
phone_factorial_1200_v1,sdxeq_0006__phonefact_opus_nb_8k,8.940696716308594e-08
phone_factorial_1200_v1,sdxeq_0007__phonefact_resample8k,2.384185791015625e-07
phone_factorial_1200_v1,sdxeq_0007__phonefact_g711_ulaw,1.7881393432617188e-07
phone_factorial_1200_v1,sdxeq_0007__phonefact_g726_24k,3.6656856536865234e-06
phone_factorial_1200_v1,sdxeq_0007__phonefact_opus_nb_8k,0.0
phone_factorial_1200_v1,sdxeq_0008__phonefact_resample8k,0.0
phone_factorial_1200_v1,sdxeq_0008__phonefact_g711_ulaw,2.9802322387695312e-08
phone_factorial_1200_v1,sdxeq_0008__phonefact_g726_24k,8.940696716308594e-08
phone_factorial_1200_v1,sdxeq_0008__phonefact_opus_nb_8k,1.1920928955078125e-06
phone_factorial_1200_v1,sdxeq_0009__phonefact_resample8k,1.8537044525146484e-05
phone_factorial_1200_v1,sdxeq_0009__phonefact_g711_ulaw,4.1961669921875e-05
phone_factorial_1200_v1,sdxeq_0009__phonefact_g726_24k,8.26418399810791e-05
phone_factorial_1200_v1,sdxeq_0009__phonefact_opus_nb_8k,6.258487701416016e-07
phone_factorial_1200_v1,sdxeq_0010__phonefact_resample8k,2.980232238769531e-07
phone_factorial_1200_v1,sdxeq_0010__phonefact_g711_ulaw,2.592802047729492e-06
phone_factorial_1200_v1,sdxeq_0010__phonefact_g726_24k,2.193450927734375e-05
phone_factorial_1200_v1,sdxeq_0010__phonefact_opus_nb_8k,8.940696716308594e-08
phone_factorial_1200_v1,sdxeq_0011__phonefact_resample8k,2.9802322387695312e-08
phone_factorial_1200_v1,sdxeq_0011__phonefact_g711_ulaw,8.940696716308594e-08
phone_factorial_1200_v1,sdxeq_0011__phonefact_g726_24k,9.119510650634766e-06
phone_factorial_1200_v1,sdxeq_0011__phonefact_opus_nb_8k,2.980232238769531e-07
phone_factorial_1200_v1,sdxeq_0012__phonefact_resample8k,9.328126907348633e-06
phone_factorial_1200_v1,sdxeq_0012__phonefact_g711_ulaw,1.0639429092407227e-05
phone_factorial_1200_v1,sdxeq_0012__phonefact_g726_24k,7.539987564086914e-06
phone_factorial_1200_v1,sdxeq_0012__phonefact_opus_nb_8k,4.6193599700927734e-05
phone_factorial_1200_v1,sdxeq_0013__phonefact_resample8k,2.384185791015625e-06
phone_factorial_1200_v1,sdxeq_0013__phonefact_g711_ulaw,5.960464477539063e-08
phone_factorial_1200_v1,sdxeq_0013__phonefact_g726_24k,0.0
phone_factorial_1200_v1,sdxeq_0013__phonefact_opus_nb_8k,2.473592758178711e-06
phone_factorial_1200_v1,sdxeq_0014__phonefact_resample8k,0.0
phone_factorial_1200_v1,sdxeq_0014__phonefact_g711_ulaw,5.960464477539063e-08
phone_factorial_1200_v1,sdxeq_0014__phonefact_g726_24k,4.470348358154297e-06
phone_factorial_1200_v1,sdxeq_0014__phonefact_opus_nb_8k,1.5497207641601562e-06
phone_factorial_1200_v1,sdxeq_0015__phonefact_resample8k,2.9206275939941406e-06
phone_factorial_1200_v1,sdxeq_0015__phonefact_g711_ulaw,2.244114875793457e-05
phone_factorial_1200_v1,sdxeq_0015__phonefact_g726_24k,3.2186508178710938e-06
phone_factorial_1200_v1,sdxeq_0015__phonefact_opus_nb_8k,0.0
phone_factorial_1200_v1,sdxeq_0016__phonefact_resample8k,0.0
phone_factorial_1200_v1,sdxeq_0016__phonefact_g711_ulaw,2.682209014892578e-07
phone_factorial_1200_v1,sdxeq_0016__phonefact_g726_24k,6.854534149169922e-07
phone_factorial_1200_v1,sdxeq_0016__phonefact_opus_nb_8k,2.4139881134033203e-06
phone_factorial_1200_v1,sdxeq_0017__phonefact_resample8k,0.0
phone_factorial_1200_v1,sdxeq_0017__phonefact_g711_ulaw,0.0
phone_factorial_1200_v1,sdxeq_0017__phonefact_g726_24k,6.079673767089844e-06
phone_factorial_1200_v1,sdxeq_0017__phonefact_opus_nb_8k,1.1026859283447266e-06
phone_factorial_1200_v1,sdxeq_0018__phonefact_resample8k,2.9802322387695312e-08
phone_factorial_1200_v1,sdxeq_0018__phonefact_g711_ulaw,2.682209014892578e-07
phone_factorial_1200_v1,sdxeq_0018__phonefact_g726_24k,1.4901161193847656e-07
phone_factorial_1200_v1,sdxeq_0018__phonefact_opus_nb_8k,0.0
phone_factorial_1200_v1,sdxeq_0019__phonefact_resample8k,0.0
phone_factorial_1200_v1,sdxeq_0019__phonefact_g711_ulaw,0.0
phone_factorial_1200_v1,sdxeq_0019__phonefact_g726_24k,2.9802322387695312e-08
phone_factorial_1200_v1,sdxeq_0019__phonefact_opus_nb_8k,5.841255187988281e-06
phone_factorial_1200_v1,sdxeq_0020__phonefact_resample8k,1.004338264465332e-05
phone_factorial_1200_v1,sdxeq_0020__phonefact_g711_ulaw,1.341104507446289e-06
phone_factorial_1200_v1,sdxeq_0020__phonefact_g726_24k,2.086162567138672e-07
phone_factorial_1200_v1,sdxeq_0020__phonefact_opus_nb_8k,2.9921531677246094e-05
phone_factorial_1200_v1,sdxeq_0021__phonefact_resample8k,2.9802322387695312e-08
phone_factorial_1200_v1,sdxeq_0021__phonefact_g711_ulaw,5.364418029785156e-07
phone_factorial_1200_v1,sdxeq_0021__phonefact_g726_24k,1.1920928955078125e-07
phone_factorial_1200_v1,sdxeq_0021__phonefact_opus_nb_8k,1.4901161193847656e-07
phone_factorial_1200_v1,sdxeq_0022__phonefact_resample8k,0.0
phone_factorial_1200_v1,sdxeq_0022__phonefact_g711_ulaw,2.9802322387695312e-08
phone_factorial_1200_v1,sdxeq_0022__phonefact_g726_24k,8.344650268554688e-07
phone_factorial_1200_v1,sdxeq_0022__phonefact_opus_nb_8k,1.4901161193847656e-07
phone_factorial_1200_v1,sdxeq_0023__phonefact_resample8k,2.9206275939941406e-06
phone_factorial_1200_v1,sdxeq_0023__phonefact_g711_ulaw,5.9604644775390625e-06
phone_factorial_1200_v1,sdxeq_0023__phonefact_g726_24k,4.172325134277344e-07
phone_factorial_1200_v1,sdxeq_0023__phonefact_opus_nb_8k,7.596611976623535e-05
phone_factorial_1200_v1,sdxeq_0024__phonefact_resample8k,0.0
phone_factorial_1200_v1,sdxeq_0024__phonefact_g711_ulaw,0.0
phone_factorial_1200_v1,sdxeq_0024__phonefact_g726_24k,0.0
phone_factorial_1200_v1,sdxeq_0024__phonefact_opus_nb_8k,8.940696716308594e-08
phone_factorial_1200_v1,sdxeq_0025__phonefact_resample8k,0.004942119121551514
phone_factorial_1200_v1,sdxeq_0025__phonefact_g711_ulaw,0.24658095836639404
phone_factorial_1200_v1,sdxeq_0025__phonefact_g726_24k,0.06478065252304077
phone_factorial_1200_v1,sdxeq_0025__phonefact_opus_nb_8k,5.960464477539063e-08
phone_factorial_1200_v1,sdxeq_0026__phonefact_resample8k,0.00031194090843200684
phone_factorial_1200_v1,sdxeq_0026__phonefact_g711_ulaw,0.000655829906463623
phone_factorial_1200_v1,sdxeq_0026__phonefact_g726_24k,0.003954082727432251
phone_factorial_1200_v1,sdxeq_0026__phonefact_opus_nb_8k,0.0007079541683197021
phone_factorial_1200_v1,sdxeq_0027__phonefact_resample8k,2.682209014892578e-07
phone_factorial_1200_v1,sdxeq_0027__phonefact_g711_ulaw,1.1920928955078125e-07
phone_factorial_1200_v1,sdxeq_0027__phonefact_g726_24k,9.301304817199707e-05
phone_factorial_1200_v1,sdxeq_0027__phonefact_opus_nb_8k,3.874301910400391e-06
phone_factorial_1200_v1,sdxeq_0028__phonefact_resample8k,0.0032588839530944824
phone_factorial_1200_v1,sdxeq_0028__phonefact_g711_ulaw,0.006523430347442627
phone_factorial_1200_v1,sdxeq_0028__phonefact_g726_24k,0.0010377168655395508
phone_factorial_1200_v1,sdxeq_0028__phonefact_opus_nb_8k,0.0
phone_factorial_1200_v1,sdxeq_0029__phonefact_resample8k,3.129243850708008e-05
phone_factorial_1200_v1,sdxeq_0029__phonefact_g711_ulaw,0.00020244717597961426
phone_factorial_1200_v1,sdxeq_0029__phonefact_g726_24k,0.0002639293670654297
