BASE_ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,VOICE_SOURCE_KIND,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_CONTENT_ID,VOICE_REFERENCE_ID,VOICE_REFERENCE_SPEAKER,VOICE_GENERATOR,VOICE_ARCHIVE_ID,VOICE_ARCHIVE_MEMBER,VOICE_PARQUET_SHARD,REPLAY_PLAYER,REPLAY_RECORDER,REPLAY_DISTANCE,MUSIC_SOURCE_KIND,MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_PLATFORM,MUSIC_ARCHIVE_ID,MUSIC_ARCHIVE_MEMBER,SONICS_ORIGINAL_ARCHIVE_MEMBER,MUSIC_VOCAL_SCREEN,SNR_DB,OVERLAP_FRACTION,ORDER,GAP_SECONDS,SOURCE_DATASET,PROVENANCE_MODE
atbv9_0000,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_00280,2059341fb6a5628be0273fca2975b42d697353b13bae7df02efc44fa89f3c0f3c1924fda985773e613312354f700edbec7f8f10bee555308e666885094059543,common_voice_en_23944857.mp3,,,bonafide,EF_O_00280,echofake_voice/EF_O_00280.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,music_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv9_0001,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_02238,48001eaf2b6f8ca6e618f062a0d4939c93ce23dc433e6cbc8941c5b9f3c1f7943f534b40bfe42f661fad1c645e3c607e6faaaed21092a9dbbd5974239baf938a,common_voice_en_27160560.mp3,,,bonafide,EF_O_02238,echofake_voice/EF_O_02238.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,music_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv9_0002,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_01904,3c9d94093b88b178118bb3be8de72d64c0423a0b8e32bfd799ce83e1e54249d8552205c1a9407bc11a3a0400d934b0277042caeb24e90b8087a83d884591e5b5,common_voice_en_25973368.mp3,,,bonafide,EF_O_01904,echofake_voice/EF_O_01904.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv9_0003,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_02857,db6a3e2b6f0f1cdb7fb165c9caa15a38ac3b3acd00ff92c89f6edeee32121b7936fd0a149d4fbf2a5f16b94c404ee34e37608a33b93f3f3045e4d6132bb61973,common_voice_en_27074825.mp3,,,bonafide,EF_O_02857,echofake_voice/EF_O_02857.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv9_0004,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_05297,9c90a299428f1da803e729d00af865d99a95041b4ab13dcaf8d8b5f676c76e5a0b84e55958346fb301a78f8cf246bde510c84698561b45ff7344e6b92bc90dbc,common_voice_en_26997278.mp3,,,bonafide,EF_O_05297,echofake_voice/EF_O_05297.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv9_0005,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_04541,a48d6a74f94ae8ae1329b7fcbd8d150afb9dd10c0931d426e41502ae39b76d487976656753d34421f8e5eb6ffb24cf01d834860987c26f3912ba110a5d670a6e,common_voice_en_26135320.mp3,,,bonafide,EF_O_04541,echofake_voice/EF_O_04541.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv9_0006,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_D_00395,3a514fe586566363d54c70c7893a3a4e9771637b9a2bdc56849f0fec83ebaca43320f5ae892a0de220a88468f54bd8216cb31cd7d424c0e125645971eb7b48e8,common_voice_en_24017317.mp3,,,bonafide,EF_D_00395,echofake_voice/EF_D_00395.flac,dev-00000-of-00001.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv9_0007,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_04262,04e7f24ca9b790190c064a667d1f05f7050ba26e6f3133dccb9c506ce8ea8c3a91e85b82c1c46ed25839e7b212957bfb1469eb5944a86eaab9d7470110d39f04,common_voice_en_19463017.mp3,,,bonafide,EF_O_04262,echofake_voice/EF_O_04262.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,music_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv9_0008,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_00794,a5003ca911ae119d076424a073f2f929cc25357362bd4f825133c2521d6b5598365810d3c58577538ea7ea9fa7b9f7abc81ca788c3ac7afb653ed22fa307de67,common_voice_en_25486434.mp3,,,bonafide,EF_O_00794,echofake_voice/EF_O_00794.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,music_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
atbv9_0009,0,0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,echofake_real,echofake:EF_O_03525,46a8a6df28a00baedc1282a8208a4c036b5e40893a0f34388ec932cdfbbc45e0ac939d64e69802997b0f0b39c1316a7cbf91e5c654ebee9abf34cf18d5bf74e7,common_voice_en_20582316.mp3,,,bonafide,EF_O_03525,echofake_voice/EF_O_03525.flac,open_set_eval-00000-of-00003.parquet,,,,,,,,,,,,not_applicable_voice_only_v9,,0.0,voice_first,0.0,EchoFake_replay+MixFake_FMC_FMA_SONICS,all_prior_truth_speaker_song_source_and_render_hash_disjoint
