DATASET,CANDIDATE,GROUP,VALUE,N,MUSIC_EER
factorial,anchor,AUDIO_TYPE,mixed,300,0.21999999999999997
factorial,anchor,AUDIO_TYPE,music,50,0.19999999999999998
factorial,anchor,MIX_MODE,concurrent,100,0.18000000000000002
factorial,anchor,MIX_MODE,music_only,50,0.19999999999999998
factorial,anchor,MIX_MODE,partial_overlap,100,0.21999999999999997
factorial,anchor,MIX_MODE,sequential,100,0.21999999999999997
factorial,fixed_moe_020,AUDIO_TYPE,mixed,300,0.18666666666666665
factorial,fixed_moe_020,AUDIO_TYPE,music,50,0.19999999999999998
factorial,fixed_moe_020,MIX_MODE,concurrent,100,0.19999999999999998
factorial,fixed_moe_020,MIX_MODE,music_only,50,0.19999999999999998
factorial,fixed_moe_020,MIX_MODE,partial_overlap,100,0.18000000000000002
factorial,fixed_moe_020,MIX_MODE,sequential,100,0.18000000000000002
factorial,mixed_router_030_050,AUDIO_TYPE,mixed,300,0.18000000000000002
factorial,mixed_router_030_050,AUDIO_TYPE,music,50,0.16000000000000003
factorial,mixed_router_030_050,MIX_MODE,concurrent,100,0.19999999999999998
factorial,mixed_router_030_050,MIX_MODE,music_only,50,0.16000000000000003
factorial,mixed_router_030_050,MIX_MODE,partial_overlap,100,0.16000000000000003
factorial,mixed_router_030_050,MIX_MODE,sequential,100,0.18000000000000002
factorial,confidence_hard,AUDIO_TYPE,mixed,300,0.16666666666666663
factorial,confidence_hard,AUDIO_TYPE,music,50,0.12
factorial,confidence_hard,MIX_MODE,concurrent,100,0.24
factorial,confidence_hard,MIX_MODE,music_only,50,0.12
factorial,confidence_hard,MIX_MODE,partial_overlap,100,0.14
factorial,confidence_hard,MIX_MODE,sequential,100,0.18000000000000002
phone,anchor,AUDIO_TYPE,mixed,400,0.135
phone,anchor,AUDIO_TYPE,music,400,0.08499999999999999
phone,anchor,CONDITION,simultaneous,400,0.135
phone,anchor,CONDITION,source_disjoint,400,0.08499999999999999
phone,anchor,CODEC,common_flac16k,400,0.08499999999999999
phone,anchor,CODEC,flac16k,400,0.135
phone,fixed_moe_020,AUDIO_TYPE,mixed,400,0.09499999999999999
phone,fixed_moe_020,AUDIO_TYPE,music,400,0.05500000000000002
phone,fixed_moe_020,CONDITION,simultaneous,400,0.09499999999999999
phone,fixed_moe_020,CONDITION,source_disjoint,400,0.05500000000000002
phone,fixed_moe_020,CODEC,common_flac16k,400,0.05500000000000002
phone,fixed_moe_020,CODEC,flac16k,400,0.09499999999999999
phone,mixed_router_030_050,AUDIO_TYPE,mixed,400,0.09999999999999999
phone,mixed_router_030_050,AUDIO_TYPE,music,400,0.060000000000000026
phone,mixed_router_030_050,CONDITION,simultaneous,400,0.09999999999999999
phone,mixed_router_030_050,CONDITION,source_disjoint,400,0.060000000000000026
phone,mixed_router_030_050,CODEC,common_flac16k,400,0.060000000000000026
phone,mixed_router_030_050,CODEC,flac16k,400,0.09999999999999999
phone,confidence_hard,AUDIO_TYPE,mixed,400,0.09499999999999999
phone,confidence_hard,AUDIO_TYPE,music,400,0.06499999999999997
phone,confidence_hard,CONDITION,simultaneous,400,0.09499999999999999
phone,confidence_hard,CONDITION,source_disjoint,400,0.06499999999999997
phone,confidence_hard,CODEC,common_flac16k,400,0.06499999999999997
phone,confidence_hard,CODEC,flac16k,400,0.09499999999999999
yue,anchor,AUDIO_TYPE,mixed,108,0.1851851851851852
yue,anchor,AUDIO_TYPE,music,16,0.0
yue,anchor,MIX_MODE,concurrent,32,0.3125
yue,anchor,MIX_MODE,music_only,16,0.0
yue,anchor,MIX_MODE,native_yue_vocal,12,0.0
yue,anchor,MIX_MODE,partial_overlap,32,0.125
yue,anchor,MIX_MODE,sequential,32,0.0625
yue,anchor,CONDITION,clean_separator_free,124,0.16129032258064513
yue,fixed_moe_020,AUDIO_TYPE,mixed,108,0.14814814814814814
yue,fixed_moe_020,AUDIO_TYPE,music,16,0.0
yue,fixed_moe_020,MIX_MODE,concurrent,32,0.25
yue,fixed_moe_020,MIX_MODE,music_only,16,0.0
yue,fixed_moe_020,MIX_MODE,native_yue_vocal,12,0.0
yue,fixed_moe_020,MIX_MODE,partial_overlap,32,0.125
yue,fixed_moe_020,MIX_MODE,sequential,32,0.0625
yue,fixed_moe_020,CONDITION,clean_separator_free,124,0.12903225806451613
yue,mixed_router_030_050,AUDIO_TYPE,mixed,108,0.14814814814814814
yue,mixed_router_030_050,AUDIO_TYPE,music,16,0.0
yue,mixed_router_030_050,MIX_MODE,concurrent,32,0.25
yue,mixed_router_030_050,MIX_MODE,music_only,16,0.0
yue,mixed_router_030_050,MIX_MODE,native_yue_vocal,12,0.0
yue,mixed_router_030_050,MIX_MODE,partial_overlap,32,0.125
yue,mixed_router_030_050,MIX_MODE,sequential,32,0.0625
yue,mixed_router_030_050,CONDITION,clean_separator_free,124,0.12903225806451613
yue,confidence_hard,AUDIO_TYPE,mixed,108,0.11111111111111113
yue,confidence_hard,AUDIO_TYPE,music,16,0.0
yue,confidence_hard,MIX_MODE,concurrent,32,0.25
yue,confidence_hard,MIX_MODE,music_only,16,0.0
yue,confidence_hard,MIX_MODE,native_yue_vocal,12,0.0
yue,confidence_hard,MIX_MODE,partial_overlap,32,0.0625
yue,confidence_hard,MIX_MODE,sequential,32,0.0625
yue,confidence_hard,CONDITION,clean_separator_free,124,0.09677419354838711
