EPOCH,LOSS,SELECTION,MEAN_VOICE_EER,WORST_VOICE_EER,WORST_GENERATOR_EER
0,0.811690232333015,0.6624634392366376,0.31250892857142853,0.39,0.4547619047619047
2,0.437196065836093,0.6866032746308242,0.280452380952381,0.3828571428571429,0.44093023255813957
4,0.34322288194123435,0.6975630637647552,0.26406845238095233,0.3771428571428571,0.44093023255813957
6,0.30221256131634994,0.70596183148343,0.25339285714285714,0.37142857142857144,0.4380730897009967
8,0.2766319175853449,0.7234968108109469,0.22880059523809523,0.36571428571428577,0.415016611295681
10,0.25329997697297263,0.713513185880727,0.23291666666666666,0.4,0.415016611295681
12,0.23647003577036016,0.7245614710620438,0.22298511904761903,0.3771428571428571,0.4178737541528239
14,0.2187124135739663,0.7282446440047836,0.2270833333333333,0.36,0.40053156146179403
16,0.20479902844218648,0.7270232459229501,0.22063988095238093,0.3828571428571429,0.4178737541528239
18,0.19550906801048448,0.7317920812459574,0.22148809523809526,0.36571428571428577,0.39481727574750836
20,0.18395677165073507,0.7257424416195241,0.23503869047619047,0.37142857142857144,0.3761904761904762
22,0.17727707194931366,0.7292019024188368,0.22618749999999999,0.36,0.4178737541528239
24,0.17044120501069462,0.7210488534826146,0.23829166666666665,0.36,0.4178737541528239
26,0.1618347047444652,0.7414228086940575,0.21567857142857144,0.3542857142857143,0.3746179401993356
28,0.14763583659249194,0.7267287453047019,0.23704166666666665,0.36,0.39481727574750836
30,0.14618826197350726,0.7204600836775695,0.22783928571428574,0.3771428571428571,0.4380730897009967
