ID,ARCHIVE_MEMBER,ROLE,FILE_FAKE,VOICE_PRESENT,MUSIC_PRESENT,VOICE_FAKE,MUSIC_FAKE,COMPONENT_CASE,VOICE_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,SNR_DB,SOURCE_SPLIT
FS-FM_LA_D_1048347_JvvnL7UnCGA,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1048347_JvvnL7UnCGA.wav,development,1,1,1,1,1,FF,LA_D_1048347,fmc:JvvnL7UnCGA,FakeMusicCaps:audioldm2,0.0,dev
FS-FM_LA_D_1048347_fake_23066_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1048347_fake_23066_suno_1.wav,development,1,1,1,1,1,FF,LA_D_1048347,sonics:23066,SONICS:Suno,5.0,dev
FS-FM_LA_D_1048347_fake_35696_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1048347_fake_35696_udio_0.wav,development,1,1,1,1,1,FF,LA_D_1048347,sonics:35696,SONICS:Udio,0.0,dev
FS-FM_LA_D_1048347_fake_49780_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1048347_fake_49780_udio_0.wav,development,1,1,1,1,1,FF,LA_D_1048347,sonics:49780,SONICS:Udio,-5.0,dev
FS-FM_LA_D_1059142_MkPhe7TLLZ0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1059142_MkPhe7TLLZ0.wav,development,1,1,1,1,1,FF,LA_D_1059142,fmc:MkPhe7TLLZ0,FakeMusicCaps:musicldm,15.0,dev
FS-FM_LA_D_1059142_fake_41879_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1059142_fake_41879_suno_1.wav,development,1,1,1,1,1,FF,LA_D_1059142,sonics:41879,SONICS:Suno,20.0,dev
FS-FM_LA_D_1059142_fake_43203_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1059142_fake_43203_udio_1.wav,development,1,1,1,1,1,FF,LA_D_1059142,sonics:43203,SONICS:Udio,15.0,dev
FS-FM_LA_D_1087236_fake_10961_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1087236_fake_10961_suno_1.wav,development,1,1,1,1,1,FF,LA_D_1087236,sonics:10961,SONICS:Suno,5.0,dev
FS-FM_LA_D_1087236_fake_12203_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1087236_fake_12203_suno_0.wav,development,1,1,1,1,1,FF,LA_D_1087236,sonics:12203,SONICS:Suno,20.0,dev
FS-FM_LA_D_1087236_fake_47201_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1087236_fake_47201_suno_1.wav,development,1,1,1,1,1,FF,LA_D_1087236,sonics:47201,SONICS:Suno,0.0,dev
FS-FM_LA_D_1107420_fake_09922_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1107420_fake_09922_suno_0.wav,development,1,1,1,1,1,FF,LA_D_1107420,sonics:9922,SONICS:Suno,-5.0,dev
FS-FM_LA_D_1107420_fake_19247_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1107420_fake_19247_udio_1.wav,development,1,1,1,1,1,FF,LA_D_1107420,sonics:19247,SONICS:Udio,15.0,dev
FS-FM_LA_D_1110227_fake_35787_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1110227_fake_35787_udio_0.wav,development,1,1,1,1,1,FF,LA_D_1110227,sonics:35787,SONICS:Udio,0.0,dev
FS-FM_LA_D_1110227_fake_49441_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1110227_fake_49441_suno_1.wav,development,1,1,1,1,1,FF,LA_D_1110227,sonics:49441,SONICS:Suno,0.0,dev
FS-FM_LA_D_1292781_MdsRmMxkF4k,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1292781_MdsRmMxkF4k.wav,development,1,1,1,1,1,FF,LA_D_1292781,fmc:MdsRmMxkF4k,FakeMusicCaps:MusicGen_medium,20.0,dev
FS-FM_LA_D_1292781_fake_43740_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1292781_fake_43740_udio_1.wav,development,1,1,1,1,1,FF,LA_D_1292781,sonics:43740,SONICS:Udio,20.0,dev
FS-FM_LA_D_1292781_fake_54084_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1292781_fake_54084_suno_0.wav,development,1,1,1,1,1,FF,LA_D_1292781,sonics:54084,SONICS:Suno,20.0,dev
FS-FM_LA_D_1350639_fake_23915_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1350639_fake_23915_suno_0.wav,development,1,1,1,1,1,FF,LA_D_1350639,sonics:23915,SONICS:Suno,20.0,dev
FS-FM_LA_D_1350639_fake_24256_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1350639_fake_24256_udio_0.wav,development,1,1,1,1,1,FF,LA_D_1350639,sonics:24256,SONICS:Udio,20.0,dev
FS-FM_LA_D_1350639_fake_41662_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1350639_fake_41662_suno_1.wav,development,1,1,1,1,1,FF,LA_D_1350639,sonics:41662,SONICS:Suno,10.0,dev
FS-FM_LA_D_1378434_fake_08747_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1378434_fake_08747_suno_1.wav,development,1,1,1,1,1,FF,LA_D_1378434,sonics:8747,SONICS:Suno,10.0,dev
FS-FM_LA_D_1378434_fake_21413_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1378434_fake_21413_suno_0.wav,development,1,1,1,1,1,FF,LA_D_1378434,sonics:21413,SONICS:Suno,5.0,dev
FS-FM_LA_D_1378434_fake_32179_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1378434_fake_32179_udio_1.wav,development,1,1,1,1,1,FF,LA_D_1378434,sonics:32179,SONICS:Udio,15.0,dev
FS-FM_LA_D_1378434_fake_38112_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1378434_fake_38112_udio_1.wav,development,1,1,1,1,1,FF,LA_D_1378434,sonics:38112,SONICS:Udio,5.0,dev
FS-FM_LA_D_1416122_eXrJL1VUQNE,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1416122_eXrJL1VUQNE.wav,development,1,1,1,1,1,FF,LA_D_1416122,fmc:eXrJL1VUQNE,FakeMusicCaps:musicldm,20.0,dev
FS-FM_LA_D_1416122_fake_20095_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1416122_fake_20095_suno_0.wav,development,1,1,1,1,1,FF,LA_D_1416122,sonics:20095,SONICS:Suno,-5.0,dev
FS-FM_LA_D_1416122_fake_29246_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1416122_fake_29246_udio_0.wav,development,1,1,1,1,1,FF,LA_D_1416122,sonics:29246,SONICS:Udio,20.0,dev
FS-FM_LA_D_1470065_6jZ8VNANHwM,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1470065_6jZ8VNANHwM.wav,development,1,1,1,1,1,FF,LA_D_1470065,fmc:6jZ8VNANHwM,FakeMusicCaps:mustango,-5.0,dev
