ID,ARCHIVE_MEMBER,ROLE,FILE_FAKE,VOICE_PRESENT,MUSIC_PRESENT,VOICE_FAKE,MUSIC_FAKE,COMPONENT_CASE,VOICE_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,SNR_DB,SOURCE_SPLIT
FS-FM_wav_LA_E_1015388_VS_stable_audio_open_-tpq_bzSKes_20dB,MixFake/mixed_dataset/eval/audio/FS-FM_wav_LA_E_1015388_VS_stable_audio_open_-tpq_bzSKes_20dB.wav,locked,1,1,1,1,1,FF,LA_E_1015388,fmc:-tpq_bzSKes,FakeMusicCaps:stable_audio_open,20.0,eval
FS-FM_wav_LA_E_1059523_VS_fake_songs_wav_fake_28322_udio_0_15dB,MixFake/mixed_dataset/eval/audio/FS-FM_wav_LA_E_1059523_VS_fake_songs_wav_fake_28322_udio_0_15dB.wav,locked,1,1,1,1,1,FF,LA_E_1059523,sonics:28322,SONICS:Udio,15.0,eval
FS-FM_wav_LA_E_1451802_VS_fake_songs_wav_fake_18310_udio_0_15dB,MixFake/mixed_dataset/eval/audio/FS-FM_wav_LA_E_1451802_VS_fake_songs_wav_fake_18310_udio_0_15dB.wav,locked,1,1,1,1,1,FF,LA_E_1451802,sonics:18310,SONICS:Udio,15.0,eval
FS-FM_wav_LA_E_1498385_VS_fake_songs_wav_fake_48535_suno_0_20dB,MixFake/mixed_dataset/eval/audio/FS-FM_wav_LA_E_1498385_VS_fake_songs_wav_fake_48535_suno_0_20dB.wav,locked,1,1,1,1,1,FF,LA_E_1498385,sonics:48535,SONICS:Suno,20.0,eval
FS-FM_wav_LA_E_1531639_VS_fake_songs_wav_fake_37446_udio_0_0dB,MixFake/mixed_dataset/eval/audio/FS-FM_wav_LA_E_1531639_VS_fake_songs_wav_fake_37446_udio_0_0dB.wav,locked,1,1,1,1,1,FF,LA_E_1531639,sonics:37446,SONICS:Udio,0.0,eval
FS-FM_wav_LA_E_1564083_VS_fake_songs_wav_fake_35370_suno_1_20dB,MixFake/mixed_dataset/eval/audio/FS-FM_wav_LA_E_1564083_VS_fake_songs_wav_fake_35370_suno_1_20dB.wav,locked,1,1,1,1,1,FF,LA_E_1564083,sonics:35370,SONICS:Suno,20.0,eval
FS-FM_wav_LA_E_1666770_VS_fake_songs_wav_fake_45007_udio_0_15dB,MixFake/mixed_dataset/eval/audio/FS-FM_wav_LA_E_1666770_VS_fake_songs_wav_fake_45007_udio_0_15dB.wav,locked,1,1,1,1,1,FF,LA_E_1666770,sonics:45007,SONICS:Udio,15.0,eval
FS-FM_wav_LA_E_1749969_VS_fake_songs_wav_fake_18982_suno_0_-5dB,MixFake/mixed_dataset/eval/audio/FS-FM_wav_LA_E_1749969_VS_fake_songs_wav_fake_18982_suno_0_-5dB.wav,locked,1,1,1,1,1,FF,LA_E_1749969,sonics:18982,SONICS:Suno,-5.0,eval
FS-FM_wav_LA_E_1754539_VS_fake_songs_wav_fake_37282_suno_0_20dB,MixFake/mixed_dataset/eval/audio/FS-FM_wav_LA_E_1754539_VS_fake_songs_wav_fake_37282_suno_0_20dB.wav,locked,1,1,1,1,1,FF,LA_E_1754539,sonics:37282,SONICS:Suno,20.0,eval
FS-FM_wav_LA_E_1920266_VS_fake_songs_wav_fake_13553_udio_0_20dB,MixFake/mixed_dataset/eval/audio/FS-FM_wav_LA_E_1920266_VS_fake_songs_wav_fake_13553_udio_0_20dB.wav,locked,1,1,1,1,1,FF,LA_E_1920266,sonics:13553,SONICS:Udio,20.0,eval
