ID,ARCHIVE_MEMBER,ROLE,FILE_FAKE,VOICE_PRESENT,MUSIC_PRESENT,VOICE_FAKE,MUSIC_FAKE,COMPONENT_CASE,VOICE_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,SNR_DB,SOURCE_SPLIT
FS-FM_LA_T_1026727_fake_06098_suno_1,MixFake/mixed_dataset/train/audio/FS-FM_LA_T_1026727_fake_06098_suno_1.wav,train,1,1,1,1,1,FF,LA_T_1026727,sonics:6098,SONICS:Suno,0.0,train
FS-FM_LA_T_1026727_fake_49069_udio_1,MixFake/mixed_dataset/train/audio/FS-FM_LA_T_1026727_fake_49069_udio_1.wav,train,1,1,1,1,1,FF,LA_T_1026727,sonics:49069,SONICS:Udio,20.0,train
FS-FM_LA_T_1034308_fake_04325_suno_0,MixFake/mixed_dataset/train/audio/FS-FM_LA_T_1034308_fake_04325_suno_0.wav,train,1,1,1,1,1,FF,LA_T_1034308,sonics:4325,SONICS:Suno,15.0,train
FS-FM_LA_T_1034308_fake_04332_udio_1,MixFake/mixed_dataset/train/audio/FS-FM_LA_T_1034308_fake_04332_udio_1.wav,train,1,1,1,1,1,FF,LA_T_1034308,sonics:4332,SONICS:Udio,-5.0,train
FS-FM_LA_T_1034416_DZ3EShJzOOc,MixFake/mixed_dataset/train/audio/FS-FM_LA_T_1034416_DZ3EShJzOOc.wav,train,1,1,1,1,1,FF,LA_T_1034416,fmc:DZ3EShJzOOc,FakeMusicCaps:audioldm2,5.0,train
FS-FM_LA_T_1034416_Euu6zlJQSD0,MixFake/mixed_dataset/train/audio/FS-FM_LA_T_1034416_Euu6zlJQSD0.wav,train,1,1,1,1,1,FF,LA_T_1034416,fmc:Euu6zlJQSD0,FakeMusicCaps:audioldm2,-5.0,train
FS-FM_LA_T_1034416_fake_07546_udio_0,MixFake/mixed_dataset/train/audio/FS-FM_LA_T_1034416_fake_07546_udio_0.wav,train,1,1,1,1,1,FF,LA_T_1034416,sonics:7546,SONICS:Udio,10.0,train
FS-FM_LA_T_1034416_fake_23298_suno_1,MixFake/mixed_dataset/train/audio/FS-FM_LA_T_1034416_fake_23298_suno_1.wav,train,1,1,1,1,1,FF,LA_T_1034416,sonics:23298,SONICS:Suno,5.0,train
FS-FM_LA_T_1037879_fake_04778_suno_0,MixFake/mixed_dataset/train/audio/FS-FM_LA_T_1037879_fake_04778_suno_0.wav,train,1,1,1,1,1,FF,LA_T_1037879,sonics:4778,SONICS:Suno,-5.0,train
FS-FM_LA_T_1037879_fake_15803_suno_1,MixFake/mixed_dataset/train/audio/FS-FM_LA_T_1037879_fake_15803_suno_1.wav,train,1,1,1,1,1,FF,LA_T_1037879,sonics:15803,SONICS:Suno,15.0,train
