ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,VOICE_CASE,CONVERSATION_MODE,MUSIC_CASE,MUSIC_LAYOUT,SPLIT,FAKE_VOICE_FRACTION,MUSIC_FRACTION,VOICE_RANGES,MUSIC_RANGES,VOICE_FAKE_RANGES,MUSIC_FAKE_RANGES,FIRST_SOURCE_ID,FIRST_SOURCE_BANK,FIRST_GENERATOR,FIRST_GROUP,SECOND_SOURCE_ID,SECOND_SOURCE_BANK,SECOND_GENERATOR,SECOND_GROUP,MUSIC_SOURCE_ID,MUSIC_SOURCE_BANK,MUSIC_GENERATOR,MUSIC_GROUP,PARENT_ID,DURATION,ROLE,DATASET,PATH,MIX_MODE,COMPONENT_CASE,PAIR_GROUP,VOICE_SOURCE_ID,VOICE_SOURCE_BANK,VOICE_GENERATOR,VOICE_GROUP,SNR_DB,VOICE_START,VOICE_END,MUSIC_START,MUSIC_END,CONDITION,SOURCE,CODEC,ORIGINAL_SPLIT,SOURCE_FILE,STRESS_VARIANT,SOURCE_BANK,MIXTURE_ID,CHANNEL,OVERLAP_FRACTION,ORDER,EXCLUDE_VOICE_PRESENCE
forensic_train_00000,0,0.0,,1,0,voice,real_real,balanced_turns,absent,absent,train,0.0,0.0,"[[0.0, 3.9], [4.14, 7.04], [7.17, 9.97], [10.24, 14.14], [14.33, 17.53], [17.65, 21.05]]",[],[],[],echofake_bonafide_0231,echofake_dev_v1,bonafide,5d2916fe242c011726946b77d1731e516e8006c4bf9a8e31f2d134e84f51585637760c2dea94e69e5b17551d4554f8964614ae9018888caecaef1dd3d30cad34,echofake_replay_bonafide_1254,echofake_dev_v1,bonafide,7754981a705ee3effac5cc16ab61e28e75f1d3a7df6c7b8ecbeeed89637f203fe6e6f9071558580b3d9ca84d9e280c3be529af1350d19593a5bf942a086aa159,,,,,forensic_train_00000,21.05,train_or_development_sparse_call_mil,forensic_call_train_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00000.flac,,,,,,,,,,,,,,,,,,,,,,,,False
forensic_train_00001,0,0.0,,1,0,voice,real_real,balanced_turns,absent,absent,train,0.0,0.0,"[[0.0, 3.9], [4.38, 7.18], [7.61, 10.709938], [11.169937, 14.869938], [15.259937, 18.659938], [18.979937, 22.379938]]",[],[],[],echofake_replay_bonafide_1332,echofake_dev_v1,bonafide,865778f1744844aa7b89f4089f79922d4ddf91fea2c0aed1e9bbe9b012d427722563a98a6e4ebb988bf8dff457f001f1e6b32d8a1986cd4811fd61827dae0feb,echofake_replay_bonafide_1313,echofake_dev_v1,bonafide,6f008f76e112454c7db1ca4ec51ac285889dba840e90390f0321f83b8fb346d01d70cb6f0c5a748d9ea112b13a502a496211b3796eee499640af71c6b06a2aa5,,,,,forensic_train_00001,22.3799375,train_or_development_sparse_call_mil,forensic_call_train_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00001.flac,,,,,,,,,,,,,,,,,,,,,,,,False
forensic_train_00002,0,0.0,,1,0,voice,real_real,balanced_turns,absent,absent,train,0.0,0.0,"[[0.0, 2.4], [2.59, 6.29], [6.51, 9.91], [10.15, 12.849937], [13.259937, 16.959937], [17.209937, 20.409938]]",[],[],[],echofake_bonafide_0190,echofake_v2,bonafide,b0718c81f3e624c6d30cee68fe8aab28620803041c3fca4beb9898f1c507d0b7f3c98aed46db33c100a89297f3bc90303549c1fc30bce46e995e38c456dc34c3,echofake_bonafide_0232,echofake_dev_v1,bonafide,b15e81b74f3a01152401371744ce17a419c45a9415478075dd9d5dab5818374ad025c732871b55b1d5242f40357f577ab2dfd02950081c195bf04dd7b8aa7910,,,,,forensic_train_00002,20.4099375,train_or_development_sparse_call_mil,forensic_call_train_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00002.flac,,,,,,,,,,,,,,,,,,,,,,,,False
forensic_train_00003,0,0.0,,1,0,voice,real_real,balanced_turns,absent,absent,train,0.0,0.0,"[[0.0, 2.4], [2.71, 6.01], [6.239937, 9.139938], [9.629938, 12.629938], [12.929937, 16.529875], [17.029875, 19.529875]]",[],[],[],echofake_replay_bonafide_0515,echofake_v2,bonafide,f7d8f4abf2d3cb896c6b0ba2a6aa4349097000d1306b8220f56bad6f1018c0b1f7fbb3986dd433ce33d76f33cda7dcc213b306ddedab44d2b247ffb4863e9248,echofake_bonafide_0299,echofake_dev_v1,bonafide,1744cff9d33b70420c7e5517881e81ec4bab1ac475e3b8a679a9a6fbd46953075741df42b0c6c0b80d66dc72c01297c3cc55e5e5fc7f53e84a435bf555987863,,,,,forensic_train_00003,19.529875,train_or_development_sparse_call_mil,forensic_call_train_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00003.flac,,,,,,,,,,,,,,,,,,,,,,,,False
forensic_train_00004,0,0.0,,1,0,voice,real_real,balanced_turns,absent,absent,train,0.0,0.0,"[[0.0, 3.2], [3.32, 6.72], [7.22, 10.22], [10.63, 13.43], [13.759937, 16.159938], [16.379938, 19.979875]]",[],[],[],echofake_replay_bonafide_1444,echofake_dev_v1,bonafide,9db555e24714069bdfaf68dbd96c7115cd8203cf20336f2b240d4523fa12df35a9248232f0ad0ecf0f40b6a8901ca752f64e153d6ca57725ac6635566725c80f,echofake_replay_bonafide_1122,echofake_dev_v1,bonafide,606d776f6b51933b4eda7227f21ae2fd68a48d1798bd9cfe0029a8bd1c50b5baef367cef82421629f8449700adef847428f6ccec41fd79ede270cb83cc1aba85,,,,,forensic_train_00004,19.979875,train_or_development_sparse_call_mil,forensic_call_train_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00004.flac,,,,,,,,,,,,,,,,,,,,,,,,False
forensic_train_00005,0,0.0,,1,0,voice,real_real,balanced_turns,absent,absent,train,0.0,0.0,"[[0.0, 3.8], [4.25, 7.45], [7.789937, 11.189937], [11.599937, 15.499937], [15.679937, 18.279937], [18.679938, 21.879938]]",[],[],[],echofake_replay_bonafide_1030,echofake_dev_v1,bonafide,2bbc4b0a38b3b43b09cee1dcdfc5a537bdaa4b3412f62faffe998077e7d7f3b8b221ba57affb8a370febca7f1e7537eb19b3c4f11d64599d28ed5b2f22f1d8cb,echofake_bonafide_0376,echofake_dev_v1,bonafide,30d8532cb4eaf720f5b7b5be31778fc97030ea8f8ea04611c61b8e14535334877855e0f35203ee73c261a807538cd2c3d37f7ff361d7b6111c84423b228218db,,,,,forensic_train_00005,21.8799375,train_or_development_sparse_call_mil,forensic_call_train_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00005.flac,,,,,,,,,,,,,,,,,,,,,,,,False
forensic_train_00006,0,0.0,,1,0,voice,real_real,balanced_turns,absent,absent,train,0.0,0.0,"[[0.0, 3.8], [4.129937, 7.329937], [7.759938, 11.159937], [11.579937, 14.879938], [15.059938, 18.459937], [18.629875, 21.229875]]",[],[],[],echofake_replay_bonafide_1023,echofake_dev_v1,bonafide,ba83aa5a73001f8b2e37bd815d0ca28ebb93054ac0d1207e352b0e3ca55a63466211c578794c6b9f9e4ae193c9347dff7ea9ff80fe5be3149603a668d87b2ce3,echofake_replay_bonafide_0434,echofake_v2,bonafide,d7b8bd57a847b9f6a92eb975f2fe0a8686ee95a9e71b0168d5ee36090c94b373186a93d864491807465a14b0cb0cd867c6a52509095f73cb3c58490f0fb7f149,,,,,forensic_train_00006,21.229875,train_or_development_sparse_call_mil,forensic_call_train_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00006.flac,,,,,,,,,,,,,,,,,,,,,,,,False
forensic_train_00007,0,0.0,,1,0,voice,real_real,balanced_turns,absent,absent,train,0.0,0.0,"[[0.0, 3.8], [4.2, 7.1], [7.28, 9.78], [10.109937, 13.009937], [13.139938, 15.739937], [15.899938, 19.499875]]",[],[],[],echofake_bonafide_0246,echofake_dev_v1,bonafide,9d88acb05dcf97b13b5dc8de4cfa50b565c4366a4171e90f8954cb0f9985899671029076593c41131c2c8f0a832c1e93f4c4fc06ca46189504a01aa5c9dbba1d,echofake_bonafide_0190,echofake_dev_v1,bonafide,72404613ee6ef1e254dcd8b23b7802c2b9f3e6d2d56c789f5b785ccd01a64b876c459381c88654dba45ad81824e034f9e2ee24580147c3a9b56bf167524568d5,,,,,forensic_train_00007,19.499875,train_or_development_sparse_call_mil,forensic_call_train_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00007.flac,,,,,,,,,,,,,,,,,,,,,,,,False
forensic_train_00008,0,0.0,,1,0,voice,real_real,balanced_turns,absent,absent,train,0.0,0.0,"[[0.0, 3.599937], [3.799937, 7.299938], [7.599938, 11.299938], [11.419937, 14.119875], [14.519875, 17.419875], [17.589813, 19.989812]]",[],[],[],echofake_replay_bonafide_1443,echofake_dev_v1,bonafide,e5d3f8891da2b3a75a449c8ac08fc03f3132107de8053a4b375f770b9cb790e0058e1862a0a42bda46edf939f998be0a55421b9f96a08a29b65ad0dea1496089,echofake_bonafide_0042,echofake_v2,bonafide,a0c8e2723ce5107d9750aa59130cb600b8b81f4d01796d95d3ce91700595e3e49920c08d19dc304111154f0c1f6baa3f78c5d57a2259192f54fe4b946ecf7022,,,,,forensic_train_00008,19.9898125,train_or_development_sparse_call_mil,forensic_call_train_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00008.flac,,,,,,,,,,,,,,,,,,,,,,,,False
forensic_train_00009,0,0.0,,1,0,voice,real_real,balanced_turns,absent,absent,train,0.0,0.0,"[[0.0, 3.4], [3.56, 5.96], [6.16, 9.86], [10.25, 12.949938], [13.379938, 16.379938], [16.549875, 19.649812]]",[],[],[],echofake_bonafide_0368,echofake_dev_v1,bonafide,dc108398e5dab573fff568f0021a80228f01006cb0726f1c95f22151f4286a2f085ebf94271f749621abd3a0fa1e378fd0bca901dd615ca6d3f395017b149d29,echofake_replay_bonafide_1297,echofake_dev_v1,bonafide,cf658764e695270837ad8af4462cb4fdaeec21a451e3c9ee585dcec3b999e0ac6f0a5f2de7548e919d2ffa1cc94d7f78fb8dbc1eba8bfe3cf0875c9c50235b63,,,,,forensic_train_00009,19.6498125,train_or_development_sparse_call_mil,forensic_call_train_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00009.flac,,,,,,,,,,,,,,,,,,,,,,,,False
