DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,FAKE_OVER_HALF,MUSIC_OVER_HALF
multigen_music_presence_train_v1,474,474,0,474,0.012660256410256388,,0.012660256410256388,,,,,,280,252
phone_presence_factorial_train_v1,2400,2400,2000,2000,0.09253138349610775,0.15350634370236696,0.0459983993597439,0.98236375,0.9992675000000001,0.9092335197035495,0.990815625,0.9173917302331945,1539,1008
mixfake_music_dev_v1,1600,1600,1600,1600,0.08499999999999999,0.07999999999999999,0.07999999999999999,,,0.9175000000000001,,,1215,803
external_mixed_v1,400,400,400,400,0.18999999999999997,0.21999999999999997,0.16000000000000003,,,0.8130000000000001,,,311,209
source_disjoint_mixed_v1,200,200,200,200,0.19999999999999998,0.22999999999999998,0.10999999999999999,,,0.8210000000000001,,,172,128
source_disjoint_mixed_equal_v1,200,200,200,200,0.16000000000000003,0.18999999999999997,0.09999999999999999,,,0.8520000000000001,,,180,128
source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.03500000000000002,,,,,,277,220
factorial_eval_1200_v2_dev,400,400,350,350,0.23236363636363638,0.3314285714285714,0.23428571428571432,0.9579428571428571,0.9964,0.7472467532467533,0.9771714285714286,0.7702392207792208,318,222
telephone_mixed_dev_v1,600,600,600,600,0.21333333333333337,0.22333333333333336,0.19333333333333336,,,0.7906666666666666,,,494,333
factorial_eval_1200_v2_holdout,400,400,350,350,0.26472727272727276,0.36,0.16000000000000003,0.9865142857142857,0.9936,0.7476363636363637,0.9900571428571429,0.7718784415584415,303,203
phone_factorial_1200_v1,1200,1200,800,800,0.15171428571428575,0.25,0.09250000000000001,0.999328125,0.9997562499999999,0.8463928571428572,0.9995421874999999,0.8617077901785715,790,431
yue_cross_component_audit_v1,124,124,108,124,0.2126358695652174,0.3979166666666667,0.09677419354838711,0.9525462962962963,,0.7850664738195419,,,112,76
