MODEL,PARENT_ID,CHANNEL,TASK,LABEL,CLEAN_PROB,CHANNEL_PROB,SCORE_DELTA,SIGNED_DELTA
v47,cmbv7_0000,g711_ulaw,FILE,0,0.1645910521,0.0474461518,-0.1171449003,0.1171449003
v47,cmbv7_0001,g711_ulaw,FILE,0,0.2322726599,0.7153671871,0.4830945272,-0.4830945272
v47,cmbv7_0002,g711_ulaw,FILE,0,0.4049642214,0.1676096111,-0.2373546103,0.2373546103
v47,cmbv7_0003,g711_ulaw,FILE,0,0.4368684498,0.4600013507,0.023132900899999975,-0.023132900899999975
v47,cmbv7_0004,g711_ulaw,FILE,0,0.0160148537,0.1423150672,0.1263002135,-0.1263002135
v47,cmbv7_0005,g711_ulaw,FILE,0,0.1885556002,0.3042049102,0.11564931,-0.11564931
v47,cmbv7_0006,g711_ulaw,FILE,1,0.9796367528,0.9055212342,-0.07411551859999999,-0.07411551859999999
v47,cmbv7_0007,g711_ulaw,FILE,1,0.8563437335,0.6181926173,-0.23815111620000007,-0.23815111620000007
v47,cmbv7_0008,g711_ulaw,FILE,1,0.7494643496,0.7205736621,-0.028890687500000012,-0.028890687500000012
v47,cmbv7_0009,g711_ulaw,FILE,1,0.673972078,0.7187892515,0.04481717349999992,0.04481717349999992
v47,cmbv7_0010,g711_ulaw,FILE,1,0.8426602617,0.6884893996,-0.15417086209999997,-0.15417086209999997
v47,cmbv7_0011,g711_ulaw,FILE,1,0.8971865694,0.8196217773,-0.0775647921,-0.0775647921
v47,cmbv7_0012,g711_ulaw,FILE,1,0.9986939517,0.9800269345,-0.01866701719999997,-0.01866701719999997
v47,cmbv7_0013,g711_ulaw,FILE,1,0.9930240578,0.8420239102,-0.15100014760000002,-0.15100014760000002
v47,cmbv7_0014,g711_ulaw,FILE,1,0.9099836365,0.7571711028,-0.15281253370000003,-0.15281253370000003
v47,cmbv7_0015,g711_ulaw,FILE,1,0.9380448797,0.9059214453,-0.032123434399999984,-0.032123434399999984
