MODEL,CHANNEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
v47,clean,72,72,0.2222222222222222,72,0.055555555555555566,72,0.13888888888888887,,,0.836111111111111,,False,
v47,g711_ulaw,72,72,0.16666666666666663,72,0.16666666666666663,72,0.3055555555555556,,,0.7916666666666667,,False,
v47,g722_wb,72,72,0.16666666666666663,72,0.055555555555555566,72,0.13888888888888887,,,0.8638888888888889,,False,
v47,opus_nb_8k,72,72,0.26851851851851855,72,0.3055555555555556,72,0.4444444444444444,,,0.6712962962962962,,False,
v47,transcode_g711_opus,72,72,0.32407407407407407,72,0.33333333333333337,72,0.4444444444444444,,,0.637962962962963,,False,
v48,clean,72,72,0.16666666666666663,72,0.055555555555555566,72,0.11111111111111113,,,0.8722222222222222,,False,
v48,g711_ulaw,72,72,0.21296296296296297,72,0.16666666666666663,72,0.2222222222222222,,,0.7935185185185185,,False,
v48,g722_wb,72,72,0.16666666666666663,72,0.055555555555555566,72,0.13888888888888887,,,0.8638888888888889,,False,
v48,opus_nb_8k,72,72,0.2777777777777778,72,0.3055555555555556,72,0.4722222222222222,,,0.6583333333333333,,False,
v48,transcode_g711_opus,72,72,0.32407407407407407,72,0.33333333333333337,72,0.38888888888888884,,,0.6546296296296297,,False,
