DATASET,ID,MIXTURE_ID,MUSIC_SOURCE_ID,CHANNEL,MUSIC_FAKE,VOICE_PRESENT,MUSIC_SOURCE,MUSIC_GENERATOR,MUSIC_GROUP_ID,PATH,AUDIO_SHA256,EAT_VOICE,PANNS_VOICE,EAT_MUSIC,PANNS_MUSIC,LEARNED_VOICE_PRESENT,BOTH_VOICE_REVIEW,SEMANTIC_LEARNED_DISAGREEMENT
channel_invariant_factorial_train_v1,channel_inv_0000__clean,channel_inv_0000,mgm_real_0064,clean,0.0,0,FMA,real,107030,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0000__clean.flac,8554be6e178524ad98105c5ce453449765f24c899862882020ee96f02adc407c,0.48602697253227234,0.38830286264419556,0.917569637298584,0.9134544134140015,0.055824361741542816,False,False
channel_invariant_factorial_train_v1,channel_inv_0000__g711_ulaw,channel_inv_0000,mgm_real_0064,g711_ulaw,0.0,0,FMA,real,107030,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0000__g711_ulaw.flac,9e7520ec8bea075f8d76a0bb584ce93e48e860c07b60d7f9d1c02b3edbbcf3b2,0.32822325825691223,0.4303457736968994,0.9669910669326782,0.944656252861023,0.004218042828142643,False,False
channel_invariant_factorial_train_v1,channel_inv_0000__g711_alaw,channel_inv_0000,mgm_real_0064,g711_alaw,0.0,0,FMA,real,107030,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0000__g711_alaw.flac,caf1801a5f9c69a2e38a736226d5eb380a98a9d376b1c53b02d74082ee543230,0.3623325824737549,0.424487829208374,0.9680283069610596,0.9448599219322205,0.00423956336453557,False,False
channel_invariant_factorial_train_v1,channel_inv_0001__clean,channel_inv_0001,mgm_fake_0167,clean,1.0,0,SONICS-udio,udio-120s,sonics_4401,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0001__clean.flac,6e9fb6f353e3d1b7ccd06c84f9c6367cceace87add799c22b4ae08e28d1253aa,0.052512027323246,0.16874152421951294,0.8598269820213318,0.8681111335754395,0.01866939291357994,False,False
channel_invariant_factorial_train_v1,channel_inv_0001__resample8k,channel_inv_0001,mgm_fake_0167,resample8k,1.0,0,SONICS-udio,udio-120s,sonics_4401,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0001__resample8k.flac,0333595f6b6862ccdc570010a70edd5c0d3f92840bc1078588be4e201342ee83,0.0741003230214119,0.21043908596038818,0.9070953130722046,0.855320394039154,0.00491158664226532,False,False
channel_invariant_factorial_train_v1,channel_inv_0001__pstn_bandpass,channel_inv_0001,mgm_fake_0167,pstn_bandpass,1.0,0,SONICS-udio,udio-120s,sonics_4401,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0001__pstn_bandpass.flac,2e1c87ea6e4ae0069db176e70cbd832ec2b730c9d95c686aab00935fe083e7c5,0.22030013799667358,0.18503554165363312,0.932602047920227,0.9185154438018799,0.010995080694556236,False,False
channel_invariant_factorial_train_v1,channel_inv_0002__clean,channel_inv_0002,mgm_real_0091,clean,0.0,0,FMA,real,089485,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0002__clean.flac,5a98f49fc3594b4237481c6871c6b1e6dbdd53678a5b40035b968b3b88db042d,0.11890050768852234,0.27502909302711487,0.9003928303718567,0.83296799659729,0.11703013628721237,False,False
channel_invariant_factorial_train_v1,channel_inv_0002__g711_ulaw,channel_inv_0002,mgm_real_0091,g711_ulaw,0.0,0,FMA,real,089485,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0002__g711_ulaw.flac,6bf524e55a74c6bd4306caaf9e6c529c7a97a717aa5ea6473a881b3c56a0d17d,0.11148033291101456,0.195710226893425,0.8787458539009094,0.8527314066886902,0.005782631225883961,False,False
channel_invariant_factorial_train_v1,channel_inv_0002__g711_alaw,channel_inv_0002,mgm_real_0091,g711_alaw,0.0,0,FMA,real,089485,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0002__g711_alaw.flac,3f8eface152510834a3780b4dec6c9ba282e11b488d7943231b73e52efe24fc4,0.12413863837718964,0.16888540983200073,0.883680522441864,0.8550394177436829,0.005845641251653433,False,False
channel_invariant_factorial_train_v1,channel_inv_0003__clean,channel_inv_0003,mgm_fake_0225,clean,1.0,0,SONICS-udio,udio-120s,sonics_5377,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0003__clean.flac,1e91194bb35132c2f1648e4756923d6bb0892602d9dbc63ed2b592124901db1c,0.20203351974487305,0.3879014253616333,0.9050089716911316,0.8720621466636658,0.05490012839436531,False,False
