COMBINED_ID,DATASET_KEY,ROLE,ROW_INDEX,ORIGINAL_ID,AUDIO_FILENAME,SOURCE_AUDIO,AUDIO_SHA256
v47c_000_0000000_6ad30a97f8c78ab2bbdc,multigen_voice_v2,development,0,voice_real_dohyun_extra_00,v47c_000_0000000_6ad30a97f8c78ab2bbdc.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_dohyun_extra_00.flac,f6dabd877307cb9fbcf3739b77f695a77e5dd45036ce962ea906f13af52e1dc2
v47c_000_0000001_12587e8cf6184f8939f0,multigen_voice_v2,development,1,voice_real_dohyun_extra_01,v47c_000_0000001_12587e8cf6184f8939f0.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_dohyun_extra_01.flac,ae014939dc1cf7f04bfe534e1f670a6c4f2139a0d983ff0aec5dc364d71feabd
v47c_000_0000002_868f480fea21d01de9a3,multigen_voice_v2,development,2,voice_real_dohyun_extra_02,v47c_000_0000002_868f480fea21d01de9a3.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_dohyun_extra_02.flac,824b689db17316021fb675e7f1c52f2c69cc0c5c4623df8bf4150cfc3e6ad553
v47c_000_0000003_b2b8c479a87f10388e19,multigen_voice_v2,development,3,voice_real_dohyun_target_00,v47c_000_0000003_b2b8c479a87f10388e19.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_dohyun_target_00.flac,19eac95f5f5a9fd803b3abe49084d6e74735110a321af3cea3a2b42328044f1f
v47c_000_0000004_544280ad6f05712a225e,multigen_voice_v2,development,4,voice_real_dohyun_target_01,v47c_000_0000004_544280ad6f05712a225e.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_dohyun_target_01.flac,b34b846da6c67c20899ac8e4c2cc2477cc0dfb902dcfcf74ad8b58fb065f2fad
v47c_000_0000005_e12dc871e63ba7de3ff3,multigen_voice_v2,development,5,voice_real_dohyun_target_02,v47c_000_0000005_e12dc871e63ba7de3ff3.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_dohyun_target_02.flac,78f65f7feea23a86e1cd55a13bcaac81c7dc1df4b3617fe4edfc9247c1dc8e31
v47c_000_0000006_96e237cb618fb91216c9,multigen_voice_v2,development,6,voice_real_eunju_extra_00,v47c_000_0000006_96e237cb618fb91216c9.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_eunju_extra_00.flac,1286ff81f25dc097bb90b1deeaa178005633528b971f4815a14883c886a5e74a
v47c_000_0000007_e56ba825763ec61d1856,multigen_voice_v2,development,7,voice_real_eunju_extra_01,v47c_000_0000007_e56ba825763ec61d1856.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_eunju_extra_01.flac,04f8c5307f3d45c63d19737d64a7aa258833ba30c3e867865775516746f3699a
v47c_000_0000008_088ded1bbd5f376950ec,multigen_voice_v2,development,8,voice_real_eunju_extra_02,v47c_000_0000008_088ded1bbd5f376950ec.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_eunju_extra_02.flac,6a5ce76088e1ec0efa1372f57fd83d04481ad5dac1fd662f0467da8997263678
v47c_000_0000009_910b1be7825dcb33c97d,multigen_voice_v2,development,9,voice_real_eunju_target_00,v47c_000_0000009_910b1be7825dcb33c97d.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_eunju_target_00.flac,91ab100fccb883fe41222cfb801ca2fa2e16c0dee8d42b98ce25ac1d4f70b40a
v47c_000_0000010_c97d180876bcd7170fe2,multigen_voice_v2,development,10,voice_real_eunju_target_01,v47c_000_0000010_c97d180876bcd7170fe2.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_eunju_target_01.flac,17c7b7690c38cbc1fac0b07d6dc76e561def3396a3e3560a9244ce3ea1e4822e
v47c_000_0000011_ff3d7318a1fbd00d25f6,multigen_voice_v2,development,11,voice_real_eunju_target_02,v47c_000_0000011_ff3d7318a1fbd00d25f6.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_eunju_target_02.flac,458c9d2ff42b3382e71474b00c0cbb7dad1acb6d30d7ca9d18a7dd77601aa910
v47c_000_0000012_20cfeee409d98cb73d97,multigen_voice_v2,development,12,voice_real_mansu_extra_00,v47c_000_0000012_20cfeee409d98cb73d97.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_mansu_extra_00.flac,2cdda26661b110bcc745c2bef25d7b946dff916443e5b22015e0289b6143bbf7
v47c_000_0000013_9778db464ca2d4db4f7f,multigen_voice_v2,development,13,voice_real_mansu_extra_01,v47c_000_0000013_9778db464ca2d4db4f7f.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_mansu_extra_01.flac,105fe7a206cb645d8f950fa6bc983c1dee10221c9f8c146ffb254e091933dec5
v47c_000_0000014_64d9744549da919e7183,multigen_voice_v2,development,14,voice_real_mansu_extra_02,v47c_000_0000014_64d9744549da919e7183.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_mansu_extra_02.flac,8c3a0ab3002660f3c219921e021113b90d78ea06244b7334d69f094e64592e6d
v47c_000_0000015_af5fb3ccf1cbc0aedb5a,multigen_voice_v2,development,15,voice_real_mansu_target_00,v47c_000_0000015_af5fb3ccf1cbc0aedb5a.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_mansu_target_00.flac,a4c7fa8ed1424cced7d718fa949548b104dc708d8341c9b545731c98f91f1bd6
v47c_000_0000016_b8c5b9e93eb52f50a59b,multigen_voice_v2,development,16,voice_real_mansu_target_01,v47c_000_0000016_b8c5b9e93eb52f50a59b.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_mansu_target_01.flac,3e80db6cf36a4990c4fbb638fefb66b8c5f2fee041514fcd18622069ee921eb9
v47c_000_0000017_18af2d13969361f35bda,multigen_voice_v2,development,17,voice_real_mansu_target_02,v47c_000_0000017_18af2d13969361f35bda.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_mansu_target_02.flac,050869b511154102469d86f8242914346e30284bde39889c8ab8f4e37aa93082
v47c_000_0000018_85fe4584cd55ef1d5d66,multigen_voice_v2,development,18,voice_real_seoa_extra_00,v47c_000_0000018_85fe4584cd55ef1d5d66.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_seoa_extra_00.flac,5eb2f44390c4dab18e18601600163146c10b26bf077da50cd06b550020dc8a2b
v47c_000_0000019_a18c28b3135ef10e54d5,multigen_voice_v2,development,19,voice_real_seoa_extra_01,v47c_000_0000019_a18c28b3135ef10e54d5.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_seoa_extra_01.flac,be9cf74421e70c50a54f4fb7ecf6467124487a2519e7f366ea700cf842f663e4
v47c_000_0000020_357cae4d7aef617eaae1,multigen_voice_v2,development,20,voice_real_seoa_extra_02,v47c_000_0000020_357cae4d7aef617eaae1.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_seoa_extra_02.flac,d89c46f9e642955dae95b70a91e1bbbe983138388b2ff94795968d686b2f6baa
v47c_000_0000021_5feb13e2a1bd0f22059d,multigen_voice_v2,development,21,voice_real_seoa_target_00,v47c_000_0000021_5feb13e2a1bd0f22059d.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_seoa_target_00.flac,43471d8a0c464c3ac2cc9f9c4448cf90288baa42259f415721b452d7e88d2f2b
v47c_000_0000022_e4fd353bbf11e5636de1,multigen_voice_v2,development,22,voice_real_seoa_target_01,v47c_000_0000022_e4fd353bbf11e5636de1.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_seoa_target_01.flac,4bdf28c0dc13172894315c8f6c377f6e403fab68b630cb3e560947072cfc170b
v47c_000_0000023_64eaaac895f5b06c16f2,multigen_voice_v2,development,23,voice_real_seoa_target_02,v47c_000_0000023_64eaaac895f5b06c16f2.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_seoa_target_02.flac,b7db00fa7d592982bf2922508181e50ac5aa9645b178aa67ddc47fdb4f79bf84
v47c_000_0000024_2f1de6bd8e07ae0cb3c2,multigen_voice_v2,development,24,voice_real_siwoo_extra_00,v47c_000_0000024_2f1de6bd8e07ae0cb3c2.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_siwoo_extra_00.flac,e9e8ae7551f5b6da804756d88e7f050b978558e7e5e8ee83fab127e55d3bc3be
v47c_000_0000025_f9e1aa96abf0b74b3fd7,multigen_voice_v2,development,25,voice_real_siwoo_extra_01,v47c_000_0000025_f9e1aa96abf0b74b3fd7.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_siwoo_extra_01.flac,df06fda7881be0c4b1e1020635971e89114ea231559acb1bb22d0b493bad9533
v47c_000_0000026_0b10ff8a8353b866248b,multigen_voice_v2,development,26,voice_real_siwoo_extra_02,v47c_000_0000026_0b10ff8a8353b866248b.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_siwoo_extra_02.flac,de5902483478a4bddbe5ab35665c056bf344fa1d1fe951aeb8fb6da842a836f4
v47c_000_0000027_5336e74a7a35961e768c,multigen_voice_v2,development,27,voice_real_siwoo_target_00,v47c_000_0000027_5336e74a7a35961e768c.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_siwoo_target_00.flac,98a9694d2ac6cddd93c6138378a5b930497d16498c3c087d342237ac8e40985b
v47c_000_0000028_c4f3268bd094b5272e06,multigen_voice_v2,development,28,voice_real_siwoo_target_01,v47c_000_0000028_c4f3268bd094b5272e06.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_siwoo_target_01.flac,01a0ca4aa202d0db05f6c27073b35fabcbe775a6461c5ee013550600a088ba3e
v47c_000_0000029_aed78a4ab759a8c51b89,multigen_voice_v2,development,29,voice_real_siwoo_target_02,v47c_000_0000029_aed78a4ab759a8c51b89.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_real_siwoo_target_02.flac,65ab13bccc2baecbfd458124b9759f0b7aab170aedd1c0ae415d4a1f6a1af5ae
v47c_000_0000030_d3968b6991a440f11a2d,multigen_voice_v2,development,30,voice_fake_qwen3tts_finetuned_1.7b_dohyun_target_00,v47c_000_0000030_d3968b6991a440f11a2d.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_dohyun_target_00.flac,af5ebea3dabc8d59359cca79e3e6726122dbc314b7e6d8455bfc2e803ac9c6ba
v47c_000_0000031_a1984dacb4204997463a,multigen_voice_v2,development,31,voice_fake_qwen3tts_finetuned_1.7b_dohyun_target_01,v47c_000_0000031_a1984dacb4204997463a.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_dohyun_target_01.flac,aebfb9b5e117987aed8c1e21bfe7ee9ff9cea41c64af39581fc11290dc7caa23
v47c_000_0000032_e4c02c7407d9c6ccc0a0,multigen_voice_v2,development,32,voice_fake_qwen3tts_finetuned_1.7b_dohyun_target_02,v47c_000_0000032_e4c02c7407d9c6ccc0a0.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_dohyun_target_02.flac,51ee65a7abab69c50b38aaa079597af52b001ead68b460bd3dc1b0813da8c418
v47c_000_0000033_ad3e5556050be35ec7ae,multigen_voice_v2,development,33,voice_fake_qwen3tts_finetuned_1.7b_eunju_target_00,v47c_000_0000033_ad3e5556050be35ec7ae.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_eunju_target_00.flac,45c0671070370e7aad02732eb7e0d448088dc95f17dee49408ce14459c224d70
v47c_000_0000034_7e5ceab66b98b5da8bb0,multigen_voice_v2,development,34,voice_fake_qwen3tts_finetuned_1.7b_eunju_target_01,v47c_000_0000034_7e5ceab66b98b5da8bb0.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_eunju_target_01.flac,b5359666d17b4499aa04685a22263f598c8c002a85f7e22a84d7c9387662023d
v47c_000_0000035_5ed5f6bd700f775d838b,multigen_voice_v2,development,35,voice_fake_qwen3tts_finetuned_1.7b_eunju_target_02,v47c_000_0000035_5ed5f6bd700f775d838b.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_eunju_target_02.flac,57e37decddb85937a6466c4267b99238555358898f1c9bef4f4ebfbd0e75a7d9
v47c_000_0000036_28f4fef7361084cba1b0,multigen_voice_v2,development,36,voice_fake_qwen3tts_finetuned_1.7b_mansu_target_00,v47c_000_0000036_28f4fef7361084cba1b0.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_mansu_target_00.flac,2e6327307a4ff95525f89e41951df529ecbeec5f711b2ae402c13601e2248ba6
v47c_000_0000037_15e9f7c9e7c3d4d729c1,multigen_voice_v2,development,37,voice_fake_qwen3tts_finetuned_1.7b_mansu_target_01,v47c_000_0000037_15e9f7c9e7c3d4d729c1.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_mansu_target_01.flac,caf16469ea5e1c384ae2eb37154c14e27d1cdc10a2392722464659b7f5e55a9e
v47c_000_0000038_618ca443c592e89fd3d7,multigen_voice_v2,development,38,voice_fake_qwen3tts_finetuned_1.7b_mansu_target_02,v47c_000_0000038_618ca443c592e89fd3d7.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_mansu_target_02.flac,f2df8cef794663dfdd1f1a0aa380418f1bb67c9ff3814c6c3adaa0c16e6a099f
v47c_000_0000039_94905d33880d7f99f5f1,multigen_voice_v2,development,39,voice_fake_qwen3tts_finetuned_1.7b_seoa_target_00,v47c_000_0000039_94905d33880d7f99f5f1.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_seoa_target_00.flac,b372fc46acc960995bf75a8738f8668a9419987a1a66fc1a2cd18f29d996f55f
v47c_000_0000040_65f911f7a4f743864701,multigen_voice_v2,development,40,voice_fake_qwen3tts_finetuned_1.7b_seoa_target_01,v47c_000_0000040_65f911f7a4f743864701.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_seoa_target_01.flac,f549bbd9731d8f0e83704b4de228fdb04c5e2544ba356d9bbda186d0c8a01d8c
v47c_000_0000041_20f357d40432cfea9ba9,multigen_voice_v2,development,41,voice_fake_qwen3tts_finetuned_1.7b_seoa_target_02,v47c_000_0000041_20f357d40432cfea9ba9.flac,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/multigen_tts_pool_v1/audio/voice_fake_qwen3tts_finetuned_1.7b_seoa_target_02.flac,4f698365ec8e19fc1d1b4b4b02d05f82ba2936a23096e401a9155d7716f423c1
