ID,FAKE_LOGIT_MEAN,FAKE_LOGIT_MAX,FAKE_LOGIT_LME5,WINDOWS
voice_0000__telephone8k,-4.158854007720947,-2.1796875,-2.399409287106265,3
voice_0002__telephone8k,-7.583333492279053,-4.921875,-5.1415974567248925,3
voice_0004__telephone8k,6.734375,7.796875,7.577291361334465,3
voice_0005__telephone8k,-10.8125,-10.71875,-10.786138457826741,3
voice_0006__telephone8k,2.030670166015625,4.375,4.155277551561127,3
voice_0007__telephone8k,-2.1126301288604736,0.494140625,0.2744223651386689,3
voice_0008__telephone8k,-9.78125,-9.125,-9.331010062613561,3
voice_0009__telephone8k,2.8693034648895264,5.171875,4.969159518968938,3
voice_0011__telephone8k,-8.666666984558105,-7.265625,-7.485017398826841,3
voice_0012__telephone8k,-7.010416507720947,-4.734375,-4.954097440264912,3
voice_0013__telephone8k,-2.548828125,0.486328125,0.2666057849646761,3
voice_0014__telephone8k,-0.8912760615348816,3.4765625,3.2568400422739727,3
voice_0015__telephone8k,2.8515625,2.8515625,2.8515625,3
voice_0016__telephone8k,-8.677083015441895,-8.203125,-8.364702216019047,3
voice_0017__telephone8k,-2.0234375,-0.35546875,-0.5751897156983297,3
voice_0018__telephone8k,-3.4765625,2.1953125,1.9755900422663786,3
voice_0019__telephone8k,5.709635257720947,7.65625,7.440830981299707,3
voice_0020__telephone8k,-11.1875,-11.0625,-11.156944465870959,3
voice_0021__telephone8k,2.0035808086395264,4.046875,3.830371844266858,3
voice_0022__telephone8k,2.9140625,6.40625,6.186528155357695,3
voice_0023__telephone8k,-5.283854007720947,-3.9140625,-4.133092409813935,3
voice_0024__telephone8k,-2.6783854961395264,0.56640625,0.346683792626013,3
voice_0025__telephone8k,3.3619792461395264,4.5546875,4.357034615282479,3
voice_0026__telephone8k,-6.473958492279053,-4.046875,-4.266597324056996,3
voice_0027__telephone8k,-8.932291984558105,-8.546875,-8.744548521790328,3
voice_0028__telephone8k,-2.9147136211395264,-1.623046875,-1.8213039828190254,3
voice_0029__telephone8k,-9.15625,-6.78125,-7.0009724455338755,3
voice_0030__telephone8k,6.321614742279053,8.21875,8.007627358114105,3
voice_0031__telephone8k,-5.223958492279053,-4.984375,-5.101566155213131,3
voice_0032__telephone8k,-4.821614742279053,0.45703125,0.23730879226638066,3
voice_0033__telephone8k,-9.104166984558105,-8.6875,-8.768400069314431,3
voice_0034__telephone8k,-9.864583015441895,-8.875,-9.09444676603705,3
voice_0035__telephone8k,5.296875,5.828125,5.6417122001058,3
voice_0036__telephone8k,-10.020833015441895,-9.4375,-9.647932878472679,3
voice_0037__telephone8k,-9.479166984558105,-9.1875,-9.295434022154543,3
voice_0040__telephone8k,-0.970703125,2.09375,1.8740897043584215,3
voice_0041__telephone8k,-8.15625,-6.109375,-6.329092597245181,3
voice_0042__telephone8k,-9.286458015441895,-6.796875,-7.016597453623296,3
voice_0043__telephone8k,3.5208332538604736,6.234375,6.025463321133822,3
voice_0045__telephone8k,-8.807291984558105,-8.015625,-8.234265819020681,3
voice_0046__telephone8k,-8.619791984558105,-7.609375,-7.828305682813578,3
voice_0047__telephone8k,5.158854007720947,7.578125,7.3584030465954555,3
voice_0048__telephone8k,-2.0494792461395264,4.3359375,4.1162150422663775,3
voice_0049__telephone8k,-4.981770992279053,-4.2109375,-4.310608339776892,3
voice_0050__telephone8k,-1.624481201171875,-0.4140625,-0.6311636423301235,3
voice_0051__telephone8k,-10.052083015441895,-9.90625,-10.014636124134555,3
voice_0052__telephone8k,-5.640625,-4.5,-4.719623211252676,3
voice_0053__telephone8k,-7.15625,-6.859375,-6.960898694419322,3
voice_0054__telephone8k,0.5288289189338684,5.0703125,4.8505900443986745,3
voice_0055__telephone8k,3.4544270038604736,6.703125,6.483402565307152,3
voice_0056__telephone8k,-9.328125,-6.328125,-6.547847457664079,3
voice_0058__telephone8k,-8.760416984558105,-8.25,-8.444435047241084,3
voice_0059__telephone8k,-5.790364742279053,-0.41796875,-0.637691207733622,3
voice_0060__telephone8k,5.3125,5.3125,5.3125,3
voice_0061__telephone8k,-2.5390625,-2.5390625,-2.5390625,3
voice_0062__telephone8k,-4.8203125,-2.4765625,-2.6962846295035185,3
voice_0063__telephone8k,-9.114583015441895,-8.6875,-8.89154930165133,3
voice_0064__telephone8k,-9.625,-9.375,-9.520180871308792,3
voice_0066__telephone8k,-8.776041984558105,-7.28125,-7.500555411604855,3
voice_0067__telephone8k,-7.703125,-6.78125,-6.998640713954815,3
voice_0068__telephone8k,-4.460286617279053,1.650390625,1.430668167266378,3
voice_0069__telephone8k,-8.817708015441895,-8.0,-8.165747451604792,3
voice_0070__telephone8k,-7.640625,-5.703125,-5.922846851918269,3
voice_0071__telephone8k,2.7662761211395264,6.15625,5.9367690059119145,3
voice_0073__telephone8k,5.234375,5.234375,5.234375,3
voice_0074__telephone8k,-3.8304035663604736,0.5556640625,0.3359416047663864,3
