DATASET,METHOD,GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,v34,ALL,ALL,400,400.0,350.0,350.0,0.23236363636363638,0.26857142857142857,0.22285714285714286,0.9962285714285715,0.993257142857143,0.7632467532467533,0.9947428571428572,0.7863963636363637
dev,v34,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.2666666666666667,0.29333333333333333,0.2333333333333333,,,0.738,,
dev,v34,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.19999999999999998,,0.16000000000000003,,,,,
dev,v34,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,v34,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.31999999999999995,0.4,0.19999999999999998,,,0.7,,
dev,v34,MIX_MODE,music_only,50,50.0,0.0,50.0,0.19999999999999998,,0.16000000000000003,,,,,
dev,v34,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.24666666666666665,0.21999999999999997,0.26,,,0.7546666666666667,,
dev,v34,MIX_MODE,sequential,100,100.0,100.0,100.0,0.12666666666666665,0.12,0.12,,,0.8766666666666667,,
dev,v34,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,v34,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.19782608695652174,0.2068965517241379,0.20714285714285713,1.0,0.9935344827586207,0.7975647890340545,0.9967672413793103,0.8174850342685801
dev,v34,CHANNEL,mp3_64k,67,67.0,58.0,59.0,0.13664596273291926,0.27586206896551724,0.16954022988505746,0.9942528735632183,0.9957627118644068,0.8256425358749198,0.9950077927138126,0.842579061558809
dev,v34,CHANNEL,noisy_flac,66,66.0,58.0,58.0,0.1492063492063492,0.27586206896551724,0.17261904761904762,0.9913793103448276,0.9935344827586207,0.8184386973180077,0.9924568965517242,0.8358405172413793
