presence_w,file_w,dev,factorial,phone,yue,min,mean
0.0,0.5,0.007636363636363663,0.008545454545454523,0.005857142857142783,0.013247282608695787,0.005857142857142783,0.008821560911914189
0.0,0.3,0.012363636363636354,0.0038181818181818317,0.003285714285714114,0.01596467391304346,0.003285714285714114,0.00885805159514394
0.25,0.5,0.015272727272727216,0.006727272727272693,0.007928571428571285,0.0027173913043478937,0.0027173913043478937,0.008161490683229772
0.25,0.4,0.016181818181818075,0.0038181818181818317,0.004999999999999893,0.0027173913043478937,0.0027173913043478937,0.0069293478260869235
0.25,0.3,0.016181818181818075,0.0038181818181818317,0.004142857142857004,0.0027173913043478937,0.0027173913043478937,0.006715062111801201
0.5,0.5,0.008545454545454412,0.0038181818181818317,0.007928571428571285,0.0027173913043478937,0.0027173913043478937,0.0057523997741388555
1.0,0.4,0.008545454545454412,0.0038181818181818317,0.004142857142857004,0.0027173913043478937,0.0027173913043478937,0.004805971202710285
0.0,0.2,0.012363636363636354,0.0,0.004142857142857004,0.01596467391304346,0.0,0.008117791854884204
0.0,0.4,0.012363636363636354,0.0,0.003285714285714114,0.01596467391304346,0.0,0.007903506140598482
0.0,0.15,0.011454545454545384,0.0,0.0029285714285713915,0.013247282608695787,0.0,0.006907599872953141
0.75,0.4,0.016181818181818075,0.0038181818181818317,0.004142857142857004,0.0,0.0,0.006035714285714228
0.5,0.4,0.012363636363636354,0.0038181818181818317,0.006214285714285728,0.0,0.0,0.0055990259740259785
1.0,0.3,0.012363636363636354,0.0038181818181818317,0.004142857142857004,0.0,0.0,0.0050811688311687975
0.5,0.3,0.011454545454545384,0.0029090909090909722,0.004999999999999893,0.0,0.0,0.004840909090909062
0.25,0.2,0.008545454545454412,0.0038181818181818317,0.006214285714285728,0.0,0.0,0.004644480519480493
0.75,0.3,0.008545454545454412,0.0038181818181818317,0.006214285714285728,0.0,0.0,0.004644480519480493
0.5,0.2,0.004727272727272691,0.0038181818181818317,0.006214285714285728,0.0,0.0,0.0036899350649350626
0.75,0.2,0.004727272727272691,0.0038181818181818317,0.005857142857142783,0.0,0.0,0.0036006493506493265
1.0,0.2,0.004727272727272691,0.0029090909090909722,0.006214285714285728,0.0,0.0,0.0034626623376623478
0.75,0.5,0.0038181818181817206,0.0038181818181818317,0.005857142857142783,0.0,0.0,0.003373376623376584
1.0,0.5,0.0038181818181817206,0.0038181818181818317,0.004142857142857004,0.0,0.0,0.002944805194805139
0.25,0.15,0.0038181818181817206,0.0029090909090909722,0.004999999999999893,0.0,0.0,0.0029318181818181466
0.5,0.15,0.004727272727272691,0.0,0.006214285714285728,0.0,0.0,0.0027353896103896047
0.75,0.15,0.004727272727272691,0.0,0.006214285714285728,0.0,0.0,0.0027353896103896047
0.0,0.1,0.007636363636363663,0.0,0.0012142857142856123,0.0,0.0,0.002212662337662319
0.75,0.1,0.0038181818181817206,0.0,0.004999999999999893,0.0,0.0,0.0022045454545454035
1.0,0.15,0.0009090909090907484,0.0,0.007071428571428395,0.0,0.0,0.001995129870129786
0.5,0.1,0.0038181818181817206,0.0,0.004142857142857004,0.0,0.0,0.001990259740259681
0.25,0.1,0.0038181818181817206,0.0,0.0029285714285713915,0.0,0.0,0.001686688311688278
1.0,0.1,0.0009090909090907484,0.0,0.004999999999999893,0.0,0.0,0.0014772727272726605
0.5,0.075,0.0038181818181817206,0.0,0.002071428571428502,0.0,0.0,0.0014724025974025556
0.0,0.075,0.0038181818181817206,0.0,0.0008571428571426676,0.0,0.0,0.001168831168831097
0.75,0.075,0.0,0.0,0.0029285714285713915,0.0,0.0,0.0007321428571428479
1.0,0.075,0.0,0.0,0.0029285714285713915,0.0,0.0,0.0007321428571428479
0.25,0.075,0.0009090909090907484,0.0,0.0012142857142856123,0.0,0.0,0.0005308441558440902
0.25,0.05,0.0,0.0,0.0012142857142856123,0.0,0.0,0.00030357142857140307
0.5,0.025,0.0,0.0,0.0012142857142856123,0.0,0.0,0.00030357142857140307
0.75,0.025,0.0,0.0,0.0012142857142856123,0.0,0.0,0.00030357142857140307
1.0,0.025,0.0,0.0,0.0008571428571426676,0.0,0.0,0.0002142857142856669
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.025,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.025,0.0,0.0,-0.0008571428571428896,0.0,-0.0008571428571428896,-0.0002142857142857224
0.0,0.05,0.0,0.0,-0.0008571428571428896,0.0,-0.0008571428571428896,-0.0002142857142857224
0.5,0.05,0.0,-0.0009090909090908594,0.0012142857142856123,0.0,-0.0009090909090908594,7.629870129868821e-05
0.75,0.05,-0.0029090909090909722,0.0,0.002071428571428502,0.0,-0.0029090909090909722,-0.00020941558441561758
1.0,0.05,-0.0029090909090909722,0.0,0.002071428571428502,0.0,-0.0029090909090909722,-0.00020941558441561758
