DATASET,METHOD,GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,v33,ALL,ALL,400,400.0,350.0,350.0,0.24,0.2857142857142857,0.22857142857142854,0.9962285714285715,0.993257142857143,0.7542857142857143,0.9947428571428572,0.7783314285714287
dev,v33,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.28,0.31333333333333335,0.22666666666666668,,,0.7293333333333333,,
dev,v33,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.19999999999999998,,0.19999999999999998,,,,,
dev,v33,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,v33,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.36,0.4,0.26,,,0.662,,
dev,v33,MIX_MODE,music_only,50,50.0,0.0,50.0,0.19999999999999998,,0.19999999999999998,,,,,
dev,v33,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.2733333333333334,0.33999999999999997,0.21999999999999997,,,0.7293333333333333,,
dev,v33,MIX_MODE,sequential,100,100.0,100.0,100.0,0.12666666666666665,0.18000000000000002,0.16000000000000003,,,0.8526666666666667,,
dev,v33,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,v33,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.2554347826086957,0.2068965517241379,0.20714285714285713,1.0,0.9935344827586207,0.7687604412079675,0.9967672413793103,0.7915611212251018
dev,v33,CHANNEL,mp3_64k,67,67.0,58.0,59.0,0.10196687370600416,0.27586206896551724,0.16954022988505746,0.9942528735632183,0.9957627118644068,0.8429820803883772,0.9950077927138126,0.8581846516209207
dev,v33,CHANNEL,noisy_flac,66,66.0,58.0,58.0,0.1492063492063492,0.31034482758620685,0.17261904761904762,0.9913793103448276,0.9935344827586207,0.8115421455938697,0.9924568965517242,0.8296336206896552
dev,v33,CHANNEL,ogg_48k,67,67.0,59.0,58.0,0.23861283643892336,0.271264367816092,0.17261904761904762,0.9978813559322034,1.0,0.7746549939316056,0.9989406779661016,0.7970835623350553
dev,v33,CHANNEL,stereo_wav,67,67.0,59.0,58.0,0.2808080808080808,0.271264367816092,0.20714285714285716,1.0,0.9942528735632185,0.743200228889884,0.9971264367816093,0.7685928496790565
dev,v33,CHANNEL,telephone_flac,67,67.0,58.0,59.0,0.298936170212766,0.27586206896551724,0.32200460829493094,0.9885057471264367,0.9639830508474576,0.6987581186120343,0.9762443989869471,0.7265067466495256
dev,v33,VOICE_EER_GIVEN_MUSIC_FAKE,0,150,,,,,0.28,,,,,,
dev,v33,VOICE_EER_GIVEN_MUSIC_FAKE,1,150,,,,,0.3466666666666667,,,,,,
dev,v33,MUSIC_EER_GIVEN_VOICE_FAKE,0,150,,,,,,0.21333333333333337,,,,,
dev,v33,MUSIC_EER_GIVEN_VOICE_FAKE,1,150,,,,,,0.24,,,,,
dev,v33,FILE_EER_REAL_REAL_VS,fake_voice_real_music,150,,,,0.3466666666666667,,,,,,,
dev,v33,FILE_EER_REAL_REAL_VS,real_voice_fake_music,150,,,,0.29333333333333333,,,,,,,
dev,v33,FILE_EER_REAL_REAL_VS,both_fake,150,,,,0.21333333333333337,,,,,,,
dev,v34_invariant_f125_v200_m100,ALL,ALL,400,400.0,350.0,350.0,0.23236363636363638,0.26857142857142857,0.22285714285714286,0.9962285714285715,0.993257142857143,0.7632467532467533,0.9947428571428572,0.7863963636363637
dev,v34_invariant_f125_v200_m100,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.2666666666666667,0.29333333333333333,0.2333333333333333,,,0.738,,
dev,v34_invariant_f125_v200_m100,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.19999999999999998,,0.16000000000000003,,,,,
dev,v34_invariant_f125_v200_m100,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,v34_invariant_f125_v200_m100,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.31999999999999995,0.4,0.19999999999999998,,,0.7,,
dev,v34_invariant_f125_v200_m100,MIX_MODE,music_only,50,50.0,0.0,50.0,0.19999999999999998,,0.16000000000000003,,,,,
dev,v34_invariant_f125_v200_m100,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.24666666666666665,0.21999999999999997,0.26,,,0.7546666666666667,,
dev,v34_invariant_f125_v200_m100,MIX_MODE,sequential,100,100.0,100.0,100.0,0.12666666666666665,0.12,0.12,,,0.8766666666666667,,
dev,v34_invariant_f125_v200_m100,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,v34_invariant_f125_v200_m100,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.19782608695652174,0.2068965517241379,0.20714285714285713,1.0,0.9935344827586207,0.7975647890340545,0.9967672413793103,0.8174850342685801
dev,v34_invariant_f125_v200_m100,CHANNEL,mp3_64k,67,67.0,58.0,59.0,0.13664596273291926,0.27586206896551724,0.16954022988505746,0.9942528735632183,0.9957627118644068,0.8256425358749198,0.9950077927138126,0.842579061558809
dev,v34_invariant_f125_v200_m100,CHANNEL,noisy_flac,66,66.0,58.0,58.0,0.1492063492063492,0.27586206896551724,0.17261904761904762,0.9913793103448276,0.9935344827586207,0.8184386973180077,0.9924568965517242,0.8358405172413793
dev,v34_invariant_f125_v200_m100,CHANNEL,ogg_48k,67,67.0,59.0,58.0,0.19306418219461696,0.20344827586206893,0.1380952380952381,0.9978813559322034,1.0,0.8213496823017062,0.9989406779661016,0.8391087818681457
dev,v34_invariant_f125_v200_m100,CHANNEL,stereo_wav,67,67.0,59.0,58.0,0.3257575757575758,0.30517241379310345,0.17261904761904762,1.0,0.9942528735632185,0.7243010150768772,0.9971264367816093,0.7515835572473504
dev,v34_invariant_f125_v200_m100,CHANNEL,telephone_flac,67,67.0,58.0,59.0,0.2526595744680851,0.27586206896551724,0.2880184331797235,0.9885057471264367,0.9639830508474576,0.732092269018937,0.9762443989869471,0.756507482015738
dev,v34_invariant_f125_v200_m100,VOICE_EER_GIVEN_MUSIC_FAKE,0,150,,,,,0.2533333333333333,,,,,,
dev,v34_invariant_f125_v200_m100,VOICE_EER_GIVEN_MUSIC_FAKE,1,150,,,,,0.31999999999999995,,,,,,
dev,v34_invariant_f125_v200_m100,MUSIC_EER_GIVEN_VOICE_FAKE,0,150,,,,,,0.24,,,,,
dev,v34_invariant_f125_v200_m100,MUSIC_EER_GIVEN_VOICE_FAKE,1,150,,,,,,0.24,,,,,
dev,v34_invariant_f125_v200_m100,FILE_EER_REAL_REAL_VS,fake_voice_real_music,150,,,,0.33333333333333337,,,,,,,
dev,v34_invariant_f125_v200_m100,FILE_EER_REAL_REAL_VS,real_voice_fake_music,150,,,,0.2666666666666667,,,,,,,
dev,v34_invariant_f125_v200_m100,FILE_EER_REAL_REAL_VS,both_fake,150,,,,0.19999999999999998,,,,,,,
factorial,v33,ALL,ALL,400,400.0,350.0,350.0,0.21527272727272728,0.22285714285714286,0.23428571428571432,0.9928,0.9989142857142856,0.7775064935064935,0.9958571428571428,0.7993415584415584
factorial,v33,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.3044444444444444,0.26,0.2533333333333333,,,0.7197777777777777,,
factorial,v33,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.12,,0.12,,,,,
factorial,v33,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,v33,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.36666666666666664,0.30000000000000004,0.21999999999999997,,,0.6906666666666667,,
factorial,v33,MIX_MODE,music_only,50,50.0,0.0,50.0,0.12,,0.12,,,,,
factorial,v33,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.19999999999999998,0.30000000000000004,0.21999999999999997,,,0.774,,
factorial,v33,MIX_MODE,sequential,100,100.0,100.0,100.0,0.2866666666666667,0.18000000000000002,0.19999999999999998,,,0.7606666666666667,,
factorial,v33,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,v33,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.24126984126984127,0.24137931034482762,0.20714285714285716,1.0,1.0,0.7689463601532567,1.0,0.792051724137931
factorial,v33,CHANNEL,mp3_64k,67,67.0,59.0,58.0,0.17979797979797982,0.20344827586206896,0.17261904761904762,0.9936440677966102,1.0,0.817625640642882,0.9968220338983051,0.8355452799684244
factorial,v33,CHANNEL,noisy_flac,67,67.0,58.0,59.0,0.19574468085106386,0.1724137931034483,0.18605990783410142,1.0,1.0,0.811826928603548,1.0,0.8306442357431932
factorial,v33,CHANNEL,ogg_48k,67,67.0,58.0,59.0,0.23861283643892336,0.24137931034482762,0.16954022988505746,0.9885057471264368,1.0,0.7815556507460556,0.9942528735632183,0.8028253730277719
factorial,v33,CHANNEL,stereo_wav,66,66.0,58.0,58.0,0.19782608695652174,0.31034482758620685,0.13809523809523808,0.9762931034482759,0.9913793103448276,0.7975894195759263,0.9838362068965518,0.816214098307989
factorial,v33,CHANNEL,telephone_flac,67,67.0,59.0,58.0,0.24948240165631472,0.23735632183908045,0.32738095238095233,0.9915254237288136,0.9923371647509579,0.7295732490897409,0.9919312942398857,0.7558090536047554
factorial,v33,VOICE_EER_GIVEN_MUSIC_FAKE,0,150,,,,,0.28,,,,,,
factorial,v33,VOICE_EER_GIVEN_MUSIC_FAKE,1,150,,,,,0.22666666666666668,,,,,,
factorial,v33,MUSIC_EER_GIVEN_VOICE_FAKE,0,150,,,,,,0.22666666666666668,,,,,
factorial,v33,MUSIC_EER_GIVEN_VOICE_FAKE,1,150,,,,,,0.28,,,,,
factorial,v33,FILE_EER_REAL_REAL_VS,fake_voice_real_music,150,,,,0.3733333333333333,,,,,,,
factorial,v33,FILE_EER_REAL_REAL_VS,real_voice_fake_music,150,,,,0.28,,,,,,,
factorial,v33,FILE_EER_REAL_REAL_VS,both_fake,150,,,,0.24,,,,,,,
factorial,v34_invariant_f125_v200_m100,ALL,ALL,400,400.0,350.0,350.0,0.21527272727272728,0.19999999999999998,0.22285714285714286,0.9928,0.9989142857142856,0.7855064935064935,0.9958571428571428,0.8065415584415584
factorial,v34_invariant_f125_v200_m100,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.29333333333333333,0.22666666666666668,0.2333333333333333,,,0.738,,
factorial,v34_invariant_f125_v200_m100,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.12,,0.12,,,,,
factorial,v34_invariant_f125_v200_m100,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,v34_invariant_f125_v200_m100,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.36666666666666664,0.28,0.19999999999999998,,,0.7006666666666667,,
factorial,v34_invariant_f125_v200_m100,MIX_MODE,music_only,50,50.0,0.0,50.0,0.12,,0.12,,,,,
factorial,v34_invariant_f125_v200_m100,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.19999999999999998,0.26,0.19999999999999998,,,0.788,,
factorial,v34_invariant_f125_v200_m100,MIX_MODE,sequential,100,100.0,100.0,100.0,0.24,0.18000000000000002,0.18000000000000002,,,0.79,,
factorial,v34_invariant_f125_v200_m100,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,v34_invariant_f125_v200_m100,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.24126984126984127,0.1724137931034483,0.17261904761904762,1.0,1.0,0.7930966064586754,1.0,0.8137869458128079
factorial,v34_invariant_f125_v200_m100,CHANNEL,mp3_64k,67,67.0,59.0,58.0,0.17979797979797982,0.20344827586206896,0.1380952380952381,0.9936440677966102,1.0,0.8279827835000249,0.9968220338983051,0.8448667085398529
factorial,v34_invariant_f125_v200_m100,CHANNEL,noisy_flac,67,67.0,58.0,59.0,0.16010638297872343,0.13793103448275865,0.1359447004608295,1.0,1.0,0.8515771914758377,1.0,0.8664194723282539
factorial,v34_invariant_f125_v200_m100,CHANNEL,ogg_48k,67,67.0,58.0,59.0,0.19306418219461696,0.2068965517241379,0.13563218390804596,0.9885057471264368,1.0,0.8213989433854502,0.9942528735632183,0.838684336403227
factorial,v34_invariant_f125_v200_m100,CHANNEL,stereo_wav,66,66.0,58.0,58.0,0.19782608695652174,0.27586206896551724,0.17261904761904762,0.9762931034482759,0.9913793103448276,0.7941288284429214,0.9838362068965518,0.8130995662882845
factorial,v34_invariant_f125_v200_m100,CHANNEL,telephone_flac,67,67.0,59.0,58.0,0.23861283643892336,0.23735632183908045,0.39642857142857146,0.9915254237288136,0.9923371647509579,0.7142937459841507,0.9919312942398857,0.7420575008097243
factorial,v34_invariant_f125_v200_m100,VOICE_EER_GIVEN_MUSIC_FAKE,0,150,,,,,0.2533333333333333,,,,,,
