ID,MUSIC_FAKE_PROB
FS-FM_LA_D_1023711_XzwhTltRQcM,0.7389239203048206
FS-FM_LA_D_1023711_cf-IIqhveKw,0.4127695974835258
FS-FM_LA_D_1023711_fake_15050_udio_0,0.9812748943477865
FS-FM_LA_D_1053530_kOREaTKeyZw,0.9191898238008861
FS-FM_LA_D_1062960_k4kbpRRRgcQ,0.027281154823929735
FS-FM_LA_D_1084765_fake_19732_udio_1,0.7337248927401373
FS-FM_LA_D_1097191_fake_53079_suno_0,0.9956240367377783
FS-FM_LA_D_1132441_fake_21612_udio_1,0.7130668343449877
FS-FM_LA_D_1143649_oh0EWEvJI90,0.9905221345064918
FS-FM_LA_D_1143649_xVab_CbwecE,0.9993163575407253
FS-FM_LA_D_1154251_YDBxdZchOuM,0.1413224476407763
FS-FM_LA_D_1154251_xiN6XwZNEJo,0.9314042540089337
FS-FM_LA_D_1227503_6TSluKI0X54,0.9978755799160902
FS-FM_LA_D_1234846_fake_22728_suno_1,0.9970103717184382
FS-FM_LA_D_1234846_fake_45879_udio_1,0.9744999969205729
FS-FM_LA_D_1252794_fake_23468_suno_1,0.9998095888483417
FS-FM_LA_D_1325941_L1fxVVl_1bM,0.9496457167224162
FS-FM_LA_D_1350597_rFE_bKOr1W0,0.9696939806597334
FS-FM_LA_D_1352656_ECP7EJka6N8,0.9974760275344169
FS-FM_LA_D_1354501_4ufDENm_ECk,0.9925964576170957
FS-FM_LA_D_1367292_hlHb9HwNxk8,0.7477190001407502
FS-FM_LA_D_1367292_k4ttuqKjiw0,0.9987917031894282
FS-FM_LA_D_1367292_ohikUtjUN7c,0.9732555448053476
FS-FM_LA_D_1579120_2CzfBZ1mYBs,0.99645456283527
FS-FM_LA_D_1630961_-oP-XX28B0s,0.9940615386431185
FS-FM_LA_D_1630961_ad6gQQ_0evk,0.9659617795191975
FS-FM_LA_D_1681095_fake_18248_udio_1,0.8442379027832675
FS-FM_LA_D_1681095_oXBGZoBYaLY,0.9857944626504047
FS-FM_LA_D_1685935_NwUJe24OxC8,0.5337867505999093
FS-FM_LA_D_1685935_OkcBJawiIHA,0.9512280266531619
FS-FM_LA_D_1685935_fake_09441_udio_0,0.9998864413956071
FS-FM_LA_D_1695224_u0lm58cet1g,0.11380190094756094
FS-FM_LA_D_1714107_GFJNgqcX7u0,0.8935770888506286
FS-FM_LA_D_1714907_fake_20874_udio_0,0.6168672522587717
FS-FM_LA_D_1714907_yOVaak2hemM,0.9182160991169864
FS-FM_LA_D_1734325_fake_35833_udio_0,0.9705219530850763
FS-FM_LA_D_1764899_KfLxBjl-aBU,0.9776972568285711
FS-FM_LA_D_1828116_YuiQRYaF9SA,0.9472604410813509
FS-FM_LA_D_1845654_XzTBNfQ7_GA,0.6696046484789125
FS-FM_LA_D_1848103_xgXd06kKFIQ,0.9996174484259734
FS-FM_LA_D_1862965_Y1ItBiA8nKU,0.8678840542213965
FS-FM_LA_D_1862965_ZwLfj7tvpdc,0.9992303829656437
FS-FM_LA_D_1869677_fake_10214_suno_1,0.8444068708448574
FS-FM_LA_D_1869677_fake_23757_suno_1,0.9467471826677454
FS-FM_LA_D_1949097_hRQJgZVxRX0,0.9530310650168086
FS-FM_LA_D_1951579_WJORWlj6BW8,0.9423193614454465
FS-FM_LA_D_1985217__AVegKwklcg,0.9773073233168739
FS-FM_LA_D_1992558_Uu8m1oOWkiE,0.07907790351052518
FS-FM_LA_D_2054506_gigxzYegRqM,0.9852032426571418
FS-FM_LA_D_2077190_wQN7fRaPl2A,0.9981703900273292
