ID,MUSIC_FAKE_PROB
FS-FM_LA_D_1023711_XzwhTltRQcM,0.6067963
FS-FM_LA_D_1023711_cf-IIqhveKw,0.4869725
FS-FM_LA_D_1023711_fake_15050_udio_0,0.98367494
FS-FM_LA_D_1053530_kOREaTKeyZw,0.880416
FS-FM_LA_D_1062960_k4kbpRRRgcQ,0.015269264
FS-FM_LA_D_1084765_fake_19732_udio_1,0.44385034
FS-FM_LA_D_1097191_fake_53079_suno_0,0.99745876
FS-FM_LA_D_1132441_fake_21612_udio_1,0.62955624
FS-FM_LA_D_1143649_oh0EWEvJI90,0.99290085
FS-FM_LA_D_1143649_xVab_CbwecE,0.9998305
FS-FM_LA_D_1154251_YDBxdZchOuM,0.019167088
FS-FM_LA_D_1154251_xiN6XwZNEJo,0.89150405
FS-FM_LA_D_1227503_6TSluKI0X54,0.9992267
FS-FM_LA_D_1234846_fake_22728_suno_1,0.99871945
FS-FM_LA_D_1234846_fake_45879_udio_1,0.97136164
FS-FM_LA_D_1252794_fake_23468_suno_1,0.99996614
FS-FM_LA_D_1325941_L1fxVVl_1bM,0.9447781
FS-FM_LA_D_1350597_rFE_bKOr1W0,0.96658516
FS-FM_LA_D_1352656_ECP7EJka6N8,0.9988741
FS-FM_LA_D_1354501_4ufDENm_ECk,0.9981269
FS-FM_LA_D_1367292_hlHb9HwNxk8,0.5740975
FS-FM_LA_D_1367292_k4ttuqKjiw0,0.99982303
FS-FM_LA_D_1367292_ohikUtjUN7c,0.97740364
FS-FM_LA_D_1579120_2CzfBZ1mYBs,0.99812216
FS-FM_LA_D_1630961_-oP-XX28B0s,0.9967353
FS-FM_LA_D_1630961_ad6gQQ_0evk,0.9883989
FS-FM_LA_D_1681095_fake_18248_udio_1,0.6840326
FS-FM_LA_D_1681095_oXBGZoBYaLY,0.98867315
FS-FM_LA_D_1685935_NwUJe24OxC8,0.65969807
FS-FM_LA_D_1685935_OkcBJawiIHA,0.95314175
FS-FM_LA_D_1685935_fake_09441_udio_0,0.99998283
FS-FM_LA_D_1695224_u0lm58cet1g,0.054726288
FS-FM_LA_D_1714107_GFJNgqcX7u0,0.87797046
FS-FM_LA_D_1714907_fake_20874_udio_0,0.32120663
FS-FM_LA_D_1714907_yOVaak2hemM,0.8959737
FS-FM_LA_D_1734325_fake_35833_udio_0,0.9672319
FS-FM_LA_D_1764899_KfLxBjl-aBU,0.97710013
FS-FM_LA_D_1828116_YuiQRYaF9SA,0.93282056
FS-FM_LA_D_1845654_XzTBNfQ7_GA,0.7464079
FS-FM_LA_D_1848103_xgXd06kKFIQ,0.99993587
FS-FM_LA_D_1862965_Y1ItBiA8nKU,0.7606198
FS-FM_LA_D_1862965_ZwLfj7tvpdc,0.9997861
FS-FM_LA_D_1869677_fake_10214_suno_1,0.70704937
FS-FM_LA_D_1869677_fake_23757_suno_1,0.92615956
FS-FM_LA_D_1949097_hRQJgZVxRX0,0.97096944
