axis,group,N,FILE_EER_control,VOICE_EER_control,MUSIC_EER_control,ADS_control,FILE_EER_adapted,VOICE_EER_adapted,MUSIC_EER_adapted,ADS_adapted,FILE_EER_delta,VOICE_EER_delta,MUSIC_EER_delta,ADS_delta
AUDIO_TYPE,mixed,1800,0.27555555555555555,0.27555555555555555,0.30000000000000004,0.717111111111111,0.2733333333333333,0.26111111111111107,0.29000000000000004,0.724111111111111,-0.0022222222222222365,-0.014444444444444482,-0.010000000000000009,0.007000000000000006
AUDIO_TYPE,music,180,0.28888888888888886,,0.25555555555555554,,0.19999999999999998,,0.19999999999999998,,-0.08888888888888888,,-0.05555555555555555,
AUDIO_TYPE,voice,180,0.09999999999999999,0.12222222222222223,,,0.09999999999999999,0.09999999999999999,,,0.0,-0.02222222222222224,,
DURATION|AUDIO_TYPE,10|mixed,600,0.25222222222222224,0.30000000000000004,0.30333333333333334,0.7228888888888888,0.24,0.26,0.31333333333333335,0.734,-0.012222222222222245,-0.040000000000000036,0.010000000000000009,0.011111111111111183
DURATION|AUDIO_TYPE,10|music,60,0.3666666666666667,,0.33333333333333337,,0.30000000000000004,,0.2333333333333333,,-0.06666666666666665,,-0.10000000000000006,
DURATION|AUDIO_TYPE,10|voice,60,0.06666666666666665,0.09999999999999999,,,0.1333333333333333,0.09999999999999999,,,0.06666666666666665,0.0,,
DURATION|AUDIO_TYPE,30|mixed,600,0.25222222222222224,0.24333333333333332,0.29000000000000004,0.7382222222222222,0.24777777777777782,0.2466666666666667,0.28,0.7427777777777778,-0.0044444444444444176,0.0033333333333333826,-0.010000000000000009,0.004555555555555535
DURATION|AUDIO_TYPE,30|music,60,0.2666666666666667,,0.2333333333333333,,0.19999999999999998,,0.2333333333333333,,-0.06666666666666674,,0.0,
DURATION|AUDIO_TYPE,30|voice,60,0.033333333333333326,0.06666666666666665,,,0.033333333333333326,0.033333333333333326,,,0.0,-0.033333333333333326,,
DURATION|AUDIO_TYPE,60|mixed,600,0.2533333333333333,0.24333333333333332,0.2866666666666666,0.7386666666666667,0.23888888888888887,0.22999999999999998,0.29333333333333333,0.7465555555555555,-0.014444444444444426,-0.013333333333333336,0.00666666666666671,0.007888888888888834
DURATION|AUDIO_TYPE,60|music,60,0.2666666666666667,,0.2666666666666667,,0.16666666666666663,,0.16666666666666663,,-0.10000000000000009,,-0.10000000000000009,
DURATION|AUDIO_TYPE,60|voice,60,0.06666666666666665,0.09999999999999999,,,0.06666666666666665,0.06666666666666665,,,0.0,-0.03333333333333334,,
DURATION|AUDIO_TYPE|CHANNEL,10|mixed|clean,200,0.23666666666666664,0.29000000000000004,0.18000000000000002,0.7696666666666667,0.21666666666666667,0.25,0.18000000000000002,0.7876666666666667,-0.019999999999999962,-0.040000000000000036,0.0,0.018000000000000016
DURATION|AUDIO_TYPE|CHANNEL,10|mixed|g711_ulaw,200,0.18333333333333332,0.31000000000000005,0.22999999999999998,0.7773333333333333,0.25666666666666665,0.26,0.24,0.7476666666666667,0.07333333333333333,-0.050000000000000044,0.010000000000000009,-0.02966666666666662
DURATION|AUDIO_TYPE|CHANNEL,10|mixed|opus_nb_8k,200,0.30000000000000004,0.31000000000000005,0.43999999999999995,0.656,0.28,0.27,0.45999999999999996,0.668,-0.020000000000000018,-0.040000000000000036,0.020000000000000018,0.01200000000000001
DURATION|AUDIO_TYPE|CHANNEL,10|music|clean,20,0.19999999999999998,,0.09999999999999999,,0.09999999999999999,,0.0,,-0.09999999999999999,,-0.09999999999999999,
DURATION|AUDIO_TYPE|CHANNEL,10|music|g711_ulaw,20,0.4,,0.19999999999999998,,0.30000000000000004,,0.09999999999999999,,-0.09999999999999998,,-0.09999999999999999,
DURATION|AUDIO_TYPE|CHANNEL,10|music|opus_nb_8k,20,0.5,,0.4,,0.5,,0.6,,0.0,,0.19999999999999996,
DURATION|AUDIO_TYPE|CHANNEL,10|voice|clean,20,0.09999999999999999,0.09999999999999999,,,0.09999999999999999,0.09999999999999999,,,0.0,0.0,,
DURATION|AUDIO_TYPE|CHANNEL,10|voice|g711_ulaw,20,0.0,0.0,,,0.09999999999999999,0.09999999999999999,,,0.09999999999999999,0.09999999999999999,,
DURATION|AUDIO_TYPE|CHANNEL,10|voice|opus_nb_8k,20,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
DURATION|AUDIO_TYPE|CHANNEL,30|mixed|clean,200,0.19999999999999998,0.21999999999999997,0.18000000000000002,0.802,0.18333333333333332,0.22999999999999998,0.18000000000000002,0.8083333333333333,-0.016666666666666663,0.010000000000000009,0.0,0.006333333333333302
DURATION|AUDIO_TYPE|CHANNEL,30|mixed|g711_ulaw,200,0.19666666666666668,0.18999999999999997,0.25,0.7886666666666667,0.21666666666666667,0.19999999999999998,0.21999999999999997,0.7856666666666667,0.01999999999999999,0.010000000000000009,-0.030000000000000027,-0.0030000000000000027
DURATION|AUDIO_TYPE|CHANNEL,30|mixed|opus_nb_8k,200,0.29666666666666663,0.26,0.4,0.6796666666666666,0.31999999999999995,0.25,0.43999999999999995,0.658,0.023333333333333317,-0.010000000000000009,0.039999999999999925,-0.021666666666666612
DURATION|AUDIO_TYPE|CHANNEL,30|music|clean,20,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
DURATION|AUDIO_TYPE|CHANNEL,30|music|g711_ulaw,20,0.09999999999999999,,0.09999999999999999,,0.19999999999999998,,0.19999999999999998,,0.09999999999999999,,0.09999999999999999,
DURATION|AUDIO_TYPE|CHANNEL,30|music|opus_nb_8k,20,0.4,,0.4,,0.30000000000000004,,0.19999999999999998,,-0.09999999999999998,,-0.20000000000000004,
DURATION|AUDIO_TYPE|CHANNEL,30|voice|clean,20,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
DURATION|AUDIO_TYPE|CHANNEL,30|voice|g711_ulaw,20,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
DURATION|AUDIO_TYPE|CHANNEL,30|voice|opus_nb_8k,20,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
DURATION|AUDIO_TYPE|CHANNEL,60|mixed|clean,200,0.18000000000000002,0.19999999999999998,0.16000000000000003,0.8220000000000001,0.16000000000000003,0.16000000000000003,0.18000000000000002,0.834,-0.01999999999999999,-0.03999999999999995,0.01999999999999999,0.0119999999999999
DURATION|AUDIO_TYPE|CHANNEL,60|mixed|g711_ulaw,200,0.19666666666666668,0.20999999999999996,0.18999999999999997,0.8026666666666668,0.19999999999999998,0.21999999999999997,0.18000000000000002,0.802,0.0033333333333332993,0.010000000000000009,-0.009999999999999953,-0.0006666666666667043
DURATION|AUDIO_TYPE|CHANNEL,60|mixed|opus_nb_8k,200,0.28,0.18999999999999997,0.42000000000000004,0.696,0.30000000000000004,0.19999999999999998,0.33999999999999997,0.708,0.020000000000000018,0.010000000000000009,-0.08000000000000007,0.01200000000000001
DURATION|AUDIO_TYPE|CHANNEL,60|music|clean,20,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
DURATION|AUDIO_TYPE|CHANNEL,60|music|g711_ulaw,20,0.09999999999999999,,0.0,,0.09999999999999999,,0.09999999999999999,,0.0,,0.09999999999999999,
DURATION|AUDIO_TYPE|CHANNEL,60|music|opus_nb_8k,20,0.4,,0.5,,0.19999999999999998,,0.19999999999999998,,-0.20000000000000004,,-0.30000000000000004,
DURATION|AUDIO_TYPE|CHANNEL,60|voice|clean,20,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
DURATION|AUDIO_TYPE|CHANNEL,60|voice|g711_ulaw,20,0.0,0.0,,,0.0,0.09999999999999999,,,0.0,0.09999999999999999,,
DURATION|AUDIO_TYPE|CHANNEL,60|voice|opus_nb_8k,20,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
DURATION|MIX_MODE|CHANNEL,10|concurrent|clean,40,0.18333333333333332,0.25,0.15000000000000002,0.8133333333333334,0.18333333333333332,0.15000000000000002,0.09999999999999999,0.8483333333333334,0.0,-0.09999999999999998,-0.05000000000000003,0.03500000000000003
DURATION|MIX_MODE|CHANNEL,10|concurrent|g711_ulaw,40,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.8,0.19999999999999998,0.09999999999999999,0.15000000000000002,0.8350000000000001,0.0,-0.09999999999999999,-0.04999999999999996,0.03500000000000003
DURATION|MIX_MODE|CHANNEL,10|concurrent|opus_nb_8k,40,0.19999999999999998,0.30000000000000004,0.44999999999999996,0.7050000000000001,0.19999999999999998,0.25,0.4,0.73,0.0,-0.050000000000000044,-0.04999999999999993,0.02499999999999991
DURATION|MIX_MODE|CHANNEL,10|fake_music|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|fake_music|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|fake_music|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|fake_voice|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|fake_voice|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|fake_voice|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|real_music|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|real_music|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|real_music|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|real_voice|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|real_voice|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|real_voice|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|sequential_music_first|clean,40,0.09999999999999999,0.25,0.15000000000000002,0.8550000000000001,0.09999999999999999,0.25,0.09999999999999999,0.8700000000000001,0.0,0.0,-0.05000000000000003,0.015000000000000013
DURATION|MIX_MODE|CHANNEL,10|sequential_music_first|g711_ulaw,40,0.18333333333333332,0.25,0.19999999999999998,0.7983333333333333,0.2833333333333333,0.25,0.25,0.7333333333333333,0.1,0.0,0.05000000000000002,-0.06500000000000006
DURATION|MIX_MODE|CHANNEL,10|sequential_music_first|opus_nb_8k,40,0.21666666666666665,0.25,0.5,0.6916666666666668,0.19999999999999998,0.25,0.5,0.7000000000000001,-0.016666666666666663,0.0,0.0,0.008333333333333304
DURATION|MIX_MODE|CHANNEL,10|sequential_voice_first|clean,40,0.18333333333333332,0.15000000000000002,0.15000000000000002,0.8333333333333334,0.09999999999999999,0.15000000000000002,0.15000000000000002,0.875,-0.08333333333333333,0.0,0.0,0.04166666666666663
DURATION|MIX_MODE|CHANNEL,10|sequential_voice_first|g711_ulaw,40,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.8,0.19999999999999998,0.15000000000000002,0.19999999999999998,0.81,0.0,-0.04999999999999996,0.0,0.010000000000000009
DURATION|MIX_MODE|CHANNEL,10|sequential_voice_first|opus_nb_8k,40,0.30000000000000004,0.19999999999999998,0.35,0.7050000000000001,0.21666666666666665,0.19999999999999998,0.44999999999999996,0.7166666666666668,-0.0833333333333334,0.0,0.09999999999999998,0.011666666666666714
DURATION|MIX_MODE|CHANNEL,10|sparse_music|clean,40,0.30000000000000004,0.35,0.44999999999999996,0.645,0.30000000000000004,0.15000000000000002,0.44999999999999996,0.685,0.0,-0.19999999999999996,0.0,0.040000000000000036
DURATION|MIX_MODE|CHANNEL,10|sparse_music|g711_ulaw,40,0.21666666666666665,0.25,0.5,0.6916666666666668,0.21666666666666665,0.15000000000000002,0.44999999999999996,0.7266666666666667,0.0,-0.09999999999999998,-0.050000000000000044,0.03499999999999992
