DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
mixfake_music_dev_v1,1600,1600,1600,1600,0.0675,0.09250000000000001,0.07250000000000001,,,0.926,,,0.926
factorial_eval_1200_v2,400,400,350,350,0.2018181818181818,0.26857142857142857,0.1885714285714286,0.9992571428571428,1.0,0.7888051948051948,0.9996285714285714,0.8098875324675325,0.7888051948051948
external_mixed_v1,400,400,400,400,0.15166666666666667,0.245,0.10499999999999998,,,0.8436666666666668,,,0.8436666666666668
source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.16000000000000003,0.10999999999999999,,,0.8250000000000001,,,0.8250000000000001
source_disjoint_mixed_equal_v1,200,200,200,200,0.12,0.08999999999999998,0.10999999999999999,,,0.889,,,0.889
source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.04500000000000002,,,,,,0.9643749999999999
asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
external_mixed_v1_telephone_v1,400,400,400,400,0.16000000000000003,0.245,0.11499999999999999,,,0.8365,,,0.8365
source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.28,0.16000000000000003,0.26,,,0.75,,,0.75
telephone_mixed_dev_v1,600,600,600,600,0.20666666666666667,0.20666666666666667,0.16333333333333333,,,0.8063333333333333,,,0.8063333333333333
multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
codec_mixed_dev_v4,600,600,600,600,0.2333333333333333,0.22333333333333336,0.26,,,0.7606666666666666,,,0.7606666666666666
