MODEL,CELL,N,FILE_ERROR,FILE_THRESHOLD,VOICE_ERROR,VOICE_THRESHOLD,MUSIC_ERROR,MUSIC_THRESHOLD,WEIGHTED_CELL_ERROR,DELTA_FILE_ERROR,DELTA_VOICE_ERROR,DELTA_MUSIC_ERROR,DELTA_WEIGHTED_CELL_ERROR
v50,FF,150,0.13333333333333333,0.7801337915,0.22666666666666666,0.7448721031,0.32,0.3024495449,0.20800000000000002,0.0,0.0,0.0,0.0
v50,FR,150,0.28,0.7801337915,0.18666666666666668,0.7448721031,0.29333333333333333,0.3024495449,0.2653333333333333,0.0,0.0,0.0,0.0
v50,RF,150,0.2866666666666667,0.7801337915,0.22666666666666666,0.7448721031,0.22666666666666666,0.3024495449,0.25666666666666665,0.0,0.0,0.0,0.0
v50,RR,150,0.23333333333333334,0.7801337915,0.18666666666666668,0.7448721031,0.25333333333333335,0.3024495449,0.22999999999999998,0.0,0.0,0.0,0.0
v1_strict__full,FF,150,0.14666666666666667,0.8680785190704647,0.25333333333333335,0.6022972053067338,0.28,0.5437366476601927,0.20800000000000002,0.013333333333333336,0.0266666666666667,-0.03999999999999998,0.0
v1_strict__full,FR,150,0.28,0.8680785190704647,0.3,0.6022972053067338,0.22,0.5437366476601927,0.266,0.0,0.11333333333333331,-0.07333333333333333,0.0006666666666667043
v1_strict__full,RF,150,0.2733333333333333,0.8680785190704647,0.36,0.6022972053067338,0.22666666666666666,0.5437366476601927,0.27666666666666667,-0.013333333333333364,0.13333333333333333,0.0,0.020000000000000018
v1_strict__full,RR,150,0.23333333333333334,0.8680785190704647,0.19333333333333333,0.6022972053067338,0.2866666666666667,0.5437366476601927,0.24133333333333334,0.0,0.006666666666666654,0.033333333333333326,0.011333333333333362
v1_strict__voice_only,FF,150,0.13333333333333333,0.7801337915,0.25333333333333335,0.6022972053067338,0.32,0.3024495449,0.21333333333333335,0.0,0.0266666666666667,0.0,0.005333333333333329
v1_strict__voice_only,FR,150,0.28,0.7801337915,0.3,0.6022972053067338,0.29333333333333333,0.3024495449,0.28800000000000003,0.0,0.11333333333333331,0.0,0.022666666666666724
v1_strict__voice_only,RF,150,0.2866666666666667,0.7801337915,0.36,0.6022972053067338,0.22666666666666666,0.3024495449,0.2833333333333333,0.0,0.13333333333333333,0.0,0.026666666666666672
v1_strict__voice_only,RR,150,0.23333333333333334,0.7801337915,0.19333333333333333,0.6022972053067338,0.25333333333333335,0.3024495449,0.23133333333333334,0.0,0.006666666666666654,0.0,0.001333333333333353
v1_strict__music_only,FF,150,0.13333333333333333,0.7801337915,0.22666666666666666,0.7448721031,0.28,0.5437366476601927,0.196,0.0,0.0,-0.03999999999999998,-0.01200000000000001
v1_strict__music_only,FR,150,0.28,0.7801337915,0.18666666666666668,0.7448721031,0.22,0.5437366476601927,0.24333333333333335,0.0,0.0,-0.07333333333333333,-0.021999999999999964
v1_strict__music_only,RF,150,0.2866666666666667,0.7801337915,0.22666666666666666,0.7448721031,0.22666666666666666,0.5437366476601927,0.25666666666666665,0.0,0.0,0.0,0.0
v1_strict__music_only,RR,150,0.23333333333333334,0.7801337915,0.18666666666666668,0.7448721031,0.2866666666666667,0.5437366476601927,0.24,0.0,0.0,0.033333333333333326,0.010000000000000009
v1_strict__file_only,FF,150,0.16,0.8667992490959707,0.22666666666666666,0.7448721031,0.32,0.3024495449,0.22133333333333335,0.026666666666666672,0.0,0.0,0.013333333333333336
v1_strict__file_only,FR,150,0.24666666666666667,0.8667992490959707,0.18666666666666668,0.7448721031,0.29333333333333333,0.3024495449,0.24866666666666667,-0.033333333333333354,0.0,0.0,-0.016666666666666635
v1_strict__file_only,RF,150,0.29333333333333333,0.8667992490959707,0.22666666666666666,0.7448721031,0.22666666666666666,0.3024495449,0.26,0.006666666666666654,0.0,0.0,0.003333333333333355
v1_strict__file_only,RR,150,0.23333333333333334,0.8667992490959707,0.18666666666666668,0.7448721031,0.25333333333333335,0.3024495449,0.22999999999999998,0.0,0.0,0.0,0.0
v2_strict__full,FF,150,0.17333333333333334,0.8080823707468873,0.17333333333333334,0.6303690805165222,0.31333333333333335,0.4153228542280601,0.21533333333333335,0.04000000000000001,-0.053333333333333316,-0.006666666666666654,0.007333333333333331
v2_strict__full,FR,150,0.29333333333333333,0.8080823707468873,0.2733333333333333,0.6303690805165222,0.2733333333333333,0.4153228542280601,0.2833333333333333,0.013333333333333308,0.08666666666666664,-0.020000000000000018,0.018000000000000016
v2_strict__full,RF,150,0.31333333333333335,0.8080823707468873,0.24,0.6303690805165222,0.24,0.4153228542280601,0.27666666666666667,0.026666666666666672,0.013333333333333336,0.013333333333333336,0.020000000000000018
v2_strict__full,RR,150,0.26,0.8080823707468873,0.20666666666666667,0.6303690805165222,0.28,0.4153228542280601,0.25533333333333336,0.026666666666666672,0.01999999999999999,0.026666666666666672,0.025333333333333374
v2_strict__voice_only,FF,150,0.13333333333333333,0.7801337915,0.17333333333333334,0.6303690805165222,0.32,0.3024495449,0.19733333333333333,0.0,-0.053333333333333316,0.0,-0.010666666666666685
v2_strict__voice_only,FR,150,0.28,0.7801337915,0.2733333333333333,0.6303690805165222,0.29333333333333333,0.3024495449,0.2826666666666667,0.0,0.08666666666666664,0.0,0.017333333333333367
v2_strict__voice_only,RF,150,0.2866666666666667,0.7801337915,0.24,0.6303690805165222,0.22666666666666666,0.3024495449,0.25933333333333336,0.0,0.013333333333333336,0.0,0.002666666666666706
v2_strict__voice_only,RR,150,0.23333333333333334,0.7801337915,0.20666666666666667,0.6303690805165222,0.25333333333333335,0.3024495449,0.23399999999999999,0.0,0.01999999999999999,0.0,0.0040000000000000036
v2_strict__music_only,FF,150,0.13333333333333333,0.7801337915,0.22666666666666666,0.7448721031,0.31333333333333335,0.4153228542280601,0.20600000000000002,0.0,0.0,-0.006666666666666654,-0.0020000000000000018
v2_strict__music_only,FR,150,0.28,0.7801337915,0.18666666666666668,0.7448721031,0.2733333333333333,0.4153228542280601,0.2593333333333333,0.0,0.0,-0.020000000000000018,-0.006000000000000005
v2_strict__music_only,RF,150,0.2866666666666667,0.7801337915,0.22666666666666666,0.7448721031,0.24,0.4153228542280601,0.26066666666666666,0.0,0.0,0.013333333333333336,0.0040000000000000036
v2_strict__music_only,RR,150,0.23333333333333334,0.7801337915,0.18666666666666668,0.7448721031,0.28,0.4153228542280601,0.238,0.0,0.0,0.026666666666666672,0.008000000000000007
v2_strict__file_only,FF,150,0.18,0.8131422875441918,0.22666666666666666,0.7448721031,0.32,0.3024495449,0.23133333333333334,0.04666666666666666,0.0,0.0,0.023333333333333317
v2_strict__file_only,FR,150,0.2866666666666667,0.8131422875441918,0.18666666666666668,0.7448721031,0.29333333333333333,0.3024495449,0.26866666666666666,0.006666666666666654,0.0,0.0,0.003333333333333355
v2_strict__file_only,RF,150,0.3333333333333333,0.8131422875441918,0.22666666666666666,0.7448721031,0.22666666666666666,0.3024495449,0.27999999999999997,0.046666666666666634,0.0,0.0,0.023333333333333317
