MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_SOURCE_KIND,MUSIC_AUDIO_SHA256,SEMANTIC_RULE,PANNS_ANY_VOICE_MAX,DEMUCS_VOCAL_TO_MIX_DB,INSTRUMENTAL_PANNS_MAX,DEMUCS_MAX_DB,JOINT_PANNS_MIN,JOINT_DEMUCS_MIN_DB,SEMANTIC_SCREEN_PASS
081194,fma:81194,FMA,fma_instrumental,7697e82afe5d7d1459a383f3c7e8013e2ee8ef07ba2d88b47557401c9310d932,instrumental_voice_absence,0.028505336493253708,-60.7101903986079,0.2,-1.5,0.2,-20.0,True
148984,fma:148984,FMA,fma_instrumental,54fdde6e9230027178fc77bbf1cc9ff808290059baee0884565c02a53cebdbae,instrumental_voice_absence,0.02734951488673687,-61.64032034615353,0.2,-1.5,0.2,-20.0,True
064739,fma:64739,FMA,fma_instrumental,d47ade1b2e488e1912478460cb4325bbb61a057703af16078486f3f598640eff,instrumental_voice_absence,0.27773186564445496,-10.441367645347558,0.2,-1.5,0.2,-20.0,False
139458,fma:139458,FMA,fma_instrumental,41487fa6b34fa3c95b180d16525c4914798a1c428cef436d116a69550821ea8c,instrumental_voice_absence,0.09059400111436844,-9.230529414894871,0.2,-1.5,0.2,-20.0,True
146149,fma:146149,FMA,fma_instrumental,326ff77f4503caa06b710d817fb0cb2b4c2b5e544889491012a087e0bd404f8a,instrumental_voice_absence,0.3720354735851288,-10.523818160466616,0.2,-1.5,0.2,-20.0,False
003519,fma:3519,FMA,fma_instrumental,0ea59f0860d20107bc32cb672d5343f30f670676634d4937d67cb794dbd0ac91,instrumental_voice_absence,0.27513107657432556,-19.450790077112828,0.2,-1.5,0.2,-20.0,False
028426,fma:28426,FMA,fma_instrumental,27aac8a90d0ec52dd47f9302596b25d9a5da9648593e82494180ea08892defa3,instrumental_voice_absence,0.164790540933609,-8.277114972778513,0.2,-1.5,0.2,-20.0,True
060474,fma:60474,FMA,fma_instrumental,fd553e476a251fc0346b10d3d25d4be9fcc2e0a844094c6d176f112e900fbd2f,instrumental_voice_absence,0.19565443694591522,-15.886904550589666,0.2,-1.5,0.2,-20.0,True
003618,fma:3618,FMA,fma_instrumental,c08a35609b7da1c53ff8b822958f48d890702ac278056eb8dde54c8b44e9a886,instrumental_voice_absence,0.18694402277469635,-3.509655594473844,0.2,-1.5,0.2,-20.0,True
044895,fma:44895,FMA,fma_instrumental,ec2c9cb6c9aeeda6de960604583272b9223322ddb5d35c5cbb14befaabee2920,instrumental_voice_absence,0.3695371747016907,-5.7850343277553575,0.2,-1.5,0.2,-20.0,False
004782,fma:4782,FMA,fma_instrumental,20bdecf2c784a2d00ec6b0a73f84bb8282fc42776457b540f51e1af295130c72,instrumental_voice_absence,0.2889898419380188,-4.554969138249531,0.2,-1.5,0.2,-20.0,False
047708,fma:47708,FMA,fma_instrumental,db77466ea314768685db0247d9602b4240e0a5767eb49e1d5aa47915aea46d30,instrumental_voice_absence,0.06791173666715622,-14.823824477698658,0.2,-1.5,0.2,-20.0,True
FM_audioldm2_Ou2rEaq28PM,fmc:Ou2rEaq28PM,audioldm2,fakemusiccaps_instrumental,a17d8996234fe05b7e0ab5cbddea1a0679a480f25647794106637c65e24eff1d,instrumental_voice_absence,0.050866130739450455,-45.306491292809795,0.2,-1.5,0.2,-20.0,True
FM_mustango_SCcryBmDGPw,fmc:SCcryBmDGPw,mustango,fakemusiccaps_instrumental,fcc46d22b87c33a6c4f4e311f81d3726d00464f54f97222cb49b1446cd654387,instrumental_voice_absence,0.130798801779747,-7.566575380228516,0.2,-1.5,0.2,-20.0,True
FM_stable_audio_open_RUUZzoeVrK4,fmc:RUUZzoeVrK4,stable_audio_open,fakemusiccaps_instrumental,674d8afc5a1e53e48d3e96d1b45da270f2b7db557353bb05ba4a803d5c09bf08,instrumental_voice_absence,0.03780146688222885,-61.12360254975842,0.2,-1.5,0.2,-20.0,True
FM_MusicGen_medium_2wGkbHl3IUE,fmc:2wGkbHl3IUE,MusicGen_medium,fakemusiccaps_instrumental,59634dd0f7b4bb14594fb92db29de6649ca4744137deb47f9cec9cbdfa1b2052,instrumental_voice_absence,0.03122350201010704,-50.903055316072106,0.2,-1.5,0.2,-20.0,True
FM_musicldm_sH_nDqYVq5E,fmc:sH_nDqYVq5E,musicldm,fakemusiccaps_instrumental,1ba6f7ba069bdfeb10539b2dda91bd5d63b675286e7afbdf395e1c43ef8c6f6f,instrumental_voice_absence,0.037488363683223724,-36.271390359616326,0.2,-1.5,0.2,-20.0,True
FM_audioldm2_NDJEKij2qOg,fmc:NDJEKij2qOg,audioldm2,fakemusiccaps_instrumental,26237681cbc11a1dd932a2786470ada94342c9aeb240d836faa993ab7fbd0bdc,instrumental_voice_absence,0.04369930177927017,-46.25612433766044,0.2,-1.5,0.2,-20.0,True
FM_mustango_iCHskFoUvbw,fmc:iCHskFoUvbw,mustango,fakemusiccaps_instrumental,0547d9c8b803a5dda90eb0f02a63912fee27928ee8c00c06ff4fc58017985000,instrumental_voice_absence,0.035824794322252274,-54.887627438188666,0.2,-1.5,0.2,-20.0,True
