DATASET,ID,WINDOW_COUNT,MEDIAN,MEAN,MAX,TOP3,LME_T2,LME_T5,Q75,WINDOW_SCORES
factorial_eval_1200_v2,factorial_0001,3,0.8135865926742554,0.7515498797098795,0.9494754672050476,0.7515498797098795,0.7857392874674713,0.824778829351463,0.8815310299396515,"[0.4915875792503357,0.9494754672050476,0.8135865926742554]"
factorial_eval_1200_v2,factorial_0005,2,0.14997726678848267,0.14997726678848267,0.23288536071777344,0.14997726678848267,0.15681974888933325,0.16669091451626616,0.19143131375312805,"[0.23288536071777344,0.0670691728591919]"
factorial_eval_1200_v2,factorial_0009,2,7.474422454833984e-05,7.474422454833984e-05,8.153915405273438e-05,7.474422454833984e-05,7.474427071941074e-05,7.474433997599572e-05,7.814168930053711e-05,"[6.794929504394531e-05,8.153915405273438e-05]"
factorial_eval_1200_v2,factorial_0013,2,0.5661974847316742,0.5661974847316742,0.5887731313705444,0.5661974847316742,0.5667069714781645,0.567468937680817,0.5774853080511093,"[0.5887731313705444,0.543621838092804]"
factorial_eval_1200_v2,factorial_0017,2,0.0002650618553161621,0.0002650618553161621,0.000265657901763916,0.0002650618553161621,0.000265061855671434,0.00026506185620434405,0.00026535987854003906,"[0.000265657901763916,0.0002644658088684082]"
factorial_eval_1200_v2,factorial_0021,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5,0.5]"
factorial_eval_1200_v2,factorial_0025,3,0.9999783039093018,0.9997637669245402,0.9999972581863403,0.9997637669245402,0.9997638673341055,0.9997640178922802,0.999987781047821,"[0.9999972581863403,0.9993157386779785,0.9999783039093018]"
factorial_eval_1200_v2,factorial_0029,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5,0.5]"
factorial_eval_1200_v2,factorial_0033,3,1.6689300537109375e-06,1.5099843343098958e-06,1.9073486328125e-06,1.5099843343098958e-06,1.5099844985243895e-06,1.5099847448467757e-06,1.7881393432617188e-06,"[1.6689300537109375e-06,1.9073486328125e-06,9.5367431640625e-07]"
factorial_eval_1200_v2,factorial_0037,4,0.9957858026027679,0.9622978717088699,0.9998125433921814,0.9971280495325724,0.965777601752156,0.9703538810120284,0.9998096823692322,"[0.9917628765106201,0.8578073382377625,0.9998087286949158,0.9998125433921814]"
factorial_eval_1200_v2,factorial_0041,4,0.9984728991985321,0.996666669845581,0.9993711113929749,0.9987723032633463,0.996680336008158,0.9967007004562465,0.9992449581623077,"[0.9977428913116455,0.9992029070854187,0.9993711113929749,0.9903497695922852]"
factorial_eval_1200_v2,factorial_0045,3,0.00010597705841064453,0.00027008851369222003,0.0006041526794433594,0.00027008851369222003,0.0002701443250224625,0.00027022806529088426,0.00035506486892700195,"[0.0006041526794433594,0.00010013580322265625,0.00010597705841064453]"
factorial_eval_1200_v2,factorial_0049,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5,0.5]"
factorial_eval_1200_v2,factorial_0053,2,0.36514413356781006,0.36514413356781006,0.5522980093955994,0.36514413356781006,0.3993821146216653,0.4422957673102613,0.4587210714817047,"[0.5522980093955994,0.17799025774002075]"
