ID,ARCHIVE_MEMBER,ROLE,FILE_FAKE,VOICE_PRESENT,MUSIC_PRESENT,VOICE_FAKE,MUSIC_FAKE,COMPONENT_CASE,VOICE_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,SNR_DB,SOURCE_SPLIT
FS-FM_LA_D_1087236_fake_47201_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1087236_fake_47201_suno_1.wav,development,1,1,1,1,1,FF,LA_D_1087236,sonics:47201,SONICS:Suno,0.0,dev
FS-FM_LA_D_1110227_fake_35787_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1110227_fake_35787_udio_0.wav,development,1,1,1,1,1,FF,LA_D_1110227,sonics:35787,SONICS:Udio,0.0,dev
FS-FM_LA_D_1292781_fake_43740_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1292781_fake_43740_udio_1.wav,development,1,1,1,1,1,FF,LA_D_1292781,sonics:43740,SONICS:Udio,20.0,dev
FS-FM_LA_D_1378434_fake_38112_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1378434_fake_38112_udio_1.wav,development,1,1,1,1,1,FF,LA_D_1378434,sonics:38112,SONICS:Udio,5.0,dev
FS-FM_LA_D_1416122_fake_29246_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1416122_fake_29246_udio_0.wav,development,1,1,1,1,1,FF,LA_D_1416122,sonics:29246,SONICS:Udio,20.0,dev
FS-FM_LA_D_1655868_fake_17486_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1655868_fake_17486_udio_1.wav,development,1,1,1,1,1,FF,LA_D_1655868,sonics:17486,SONICS:Udio,10.0,dev
FS-FM_LA_D_1939085_fake_34279_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1939085_fake_34279_udio_0.wav,development,1,1,1,1,1,FF,LA_D_1939085,sonics:34279,SONICS:Udio,10.0,dev
FS-FM_LA_D_1974894_fake_28023_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1974894_fake_28023_udio_0.wav,development,1,1,1,1,1,FF,LA_D_1974894,sonics:28023,SONICS:Udio,5.0,dev
FS-FM_LA_D_1985966_fake_15739_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_1985966_fake_15739_udio_0.wav,development,1,1,1,1,1,FF,LA_D_1985966,sonics:15739,SONICS:Udio,-5.0,dev
FS-FM_LA_D_2460718_PqTTIfja0y8,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_2460718_PqTTIfja0y8.wav,development,1,1,1,1,1,FF,LA_D_2460718,fmc:PqTTIfja0y8,FakeMusicCaps:MusicGen_medium,5.0,dev
FS-FM_LA_D_2761884_SlnjJv305Vg,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_2761884_SlnjJv305Vg.wav,development,1,1,1,1,1,FF,LA_D_2761884,fmc:SlnjJv305Vg,FakeMusicCaps:musicldm,0.0,dev
FS-FM_LA_D_2939027_fake_37983_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_2939027_fake_37983_suno_0.wav,development,1,1,1,1,1,FF,LA_D_2939027,sonics:37983,SONICS:Suno,-5.0,dev
