axis,group,comparison,model,real_n,fake_n,eer,real_fpr_at_05,fake_fnr_at_05,fake_score_median
ALL,ALL,RR_vs_FR,actual_anchor,150,150,0.26,0.7066666666666667,0.08666666666666667,0.8942340693999999
ALL,ALL,RR_vs_FR,v73_composed,150,150,0.1266666666666667,0.08666666666666667,0.24,0.8255284456098835
ALL,ALL,RR_vs_RF,actual_anchor,150,150,0.2666666666666667,0.7066666666666667,0.03333333333333333,0.87727474855
ALL,ALL,RR_vs_RF,v73_composed,150,150,0.21999999999999997,0.08666666666666667,0.37333333333333335,0.7615772216591616
ALL,ALL,RR_vs_FF,actual_anchor,150,150,0.17333333333333334,0.7066666666666667,0.013333333333333334,0.9399583088
ALL,ALL,RR_vs_FF,v73_composed,150,150,0.1266666666666667,0.08666666666666667,0.18,0.9584087800575218
CHANNEL,clean,RR_vs_FR,actual_anchor,30,30,0.16666666666666663,0.5,0.1,0.9166021761500001
CHANNEL,clean,RR_vs_FR,v73_composed,30,30,0.1333333333333333,0.1,0.16666666666666666,0.9564605910163189
CHANNEL,clean,RR_vs_RF,actual_anchor,30,30,0.06666666666666665,0.5,0.0,0.91446302425
CHANNEL,clean,RR_vs_RF,v73_composed,30,30,0.06666666666666665,0.1,0.03333333333333333,0.9989952362865562
CHANNEL,clean,RR_vs_FF,actual_anchor,30,30,0.033333333333333326,0.5,0.0,0.9735664091
CHANNEL,clean,RR_vs_FF,v73_composed,30,30,0.033333333333333326,0.1,0.0,0.9997322807174815
CHANNEL,g711_ulaw,RR_vs_FR,actual_anchor,30,30,0.16666666666666663,0.5,0.03333333333333333,0.89135593745
CHANNEL,g711_ulaw,RR_vs_FR,v73_composed,30,30,0.09999999999999999,0.06666666666666667,0.2,0.8680854654680621
CHANNEL,g711_ulaw,RR_vs_RF,actual_anchor,30,30,0.2666666666666667,0.5,0.1,0.753273666
CHANNEL,g711_ulaw,RR_vs_RF,v73_composed,30,30,0.16666666666666663,0.06666666666666667,0.36666666666666664,0.6136364571910745
CHANNEL,g711_ulaw,RR_vs_FF,actual_anchor,30,30,0.1333333333333333,0.5,0.03333333333333333,0.91128256855
CHANNEL,g711_ulaw,RR_vs_FF,v73_composed,30,30,0.06666666666666665,0.06666666666666667,0.06666666666666667,0.944328037061638
CHANNEL,g722_wb,RR_vs_FR,actual_anchor,30,30,0.2333333333333333,0.7,0.1,0.9215340940000001
CHANNEL,g722_wb,RR_vs_FR,v73_composed,30,30,0.09999999999999999,0.1,0.16666666666666666,0.9491722057531751
CHANNEL,g722_wb,RR_vs_RF,actual_anchor,30,30,0.16666666666666663,0.7,0.0,0.91557417265
CHANNEL,g722_wb,RR_vs_RF,v73_composed,30,30,0.06666666666666665,0.1,0.03333333333333333,0.9978094146050801
CHANNEL,g722_wb,RR_vs_FF,actual_anchor,30,30,0.06666666666666665,0.7,0.0,0.9685642024000001
CHANNEL,g722_wb,RR_vs_FF,v73_composed,30,30,0.033333333333333326,0.1,0.0,0.9991825638825231
CHANNEL,opus_nb_8k,RR_vs_FR,actual_anchor,30,30,0.3666666666666667,0.9,0.1,0.8457206286500001
CHANNEL,opus_nb_8k,RR_vs_FR,v73_composed,30,30,0.16666666666666663,0.1,0.3333333333333333,0.6912617726115505
CHANNEL,opus_nb_8k,RR_vs_RF,actual_anchor,30,30,0.3666666666666667,0.9,0.03333333333333333,0.8609274177499999
CHANNEL,opus_nb_8k,RR_vs_RF,v73_composed,30,30,0.3666666666666667,0.1,0.7333333333333333,0.2461654081408602
CHANNEL,opus_nb_8k,RR_vs_FF,actual_anchor,30,30,0.2666666666666667,0.9,0.0,0.8989677944500001
CHANNEL,opus_nb_8k,RR_vs_FF,v73_composed,30,30,0.19999999999999998,0.1,0.4,0.551896348603015
CHANNEL,transcode_g711_opus,RR_vs_FR,actual_anchor,30,30,0.30000000000000004,0.9333333333333333,0.1,0.8636513960500001
CHANNEL,transcode_g711_opus,RR_vs_FR,v73_composed,30,30,0.19999999999999998,0.06666666666666667,0.3333333333333333,0.7075651312011527
CHANNEL,transcode_g711_opus,RR_vs_RF,actual_anchor,30,30,0.33333333333333337,0.9333333333333333,0.03333333333333333,0.8495576737
CHANNEL,transcode_g711_opus,RR_vs_RF,v73_composed,30,30,0.4,0.06666666666666667,0.7,0.25421455945862703
CHANNEL,transcode_g711_opus,RR_vs_FF,actual_anchor,30,30,0.30000000000000004,0.9333333333333333,0.03333333333333333,0.9023794057500001
CHANNEL,transcode_g711_opus,RR_vs_FF,v73_composed,30,30,0.2666666666666667,0.06666666666666667,0.43333333333333335,0.6039435325081557
MIX_MODE,concurrent,RR_vs_FR,actual_anchor,50,50,0.4,0.58,0.22,0.71387328745
MIX_MODE,concurrent,RR_vs_FR,v73_composed,50,50,0.09999999999999999,0.0,0.5,0.5282963656736676
MIX_MODE,concurrent,RR_vs_RF,actual_anchor,50,50,0.24,0.58,0.04,0.8716962858
MIX_MODE,concurrent,RR_vs_RF,v73_composed,50,50,0.09999999999999999,0.0,0.38,0.8219063469549948
MIX_MODE,concurrent,RR_vs_FF,actual_anchor,50,50,0.19999999999999998,0.58,0.0,0.9530715009999999
MIX_MODE,concurrent,RR_vs_FF,v73_composed,50,50,0.060000000000000026,0.0,0.14,0.9613001043074266
MIX_MODE,partial_overlap,RR_vs_FR,actual_anchor,50,50,0.24,0.78,0.04,0.9245177495000001
MIX_MODE,partial_overlap,RR_vs_FR,v73_composed,50,50,0.14,0.14,0.16,0.9133749323398546
MIX_MODE,partial_overlap,RR_vs_RF,actual_anchor,50,50,0.33999999999999997,0.78,0.06,0.84538576565
MIX_MODE,partial_overlap,RR_vs_RF,v73_composed,50,50,0.26,0.14,0.44,0.6503503053356103
MIX_MODE,partial_overlap,RR_vs_FF,actual_anchor,50,50,0.21999999999999997,0.78,0.02,0.92793431305
MIX_MODE,partial_overlap,RR_vs_FF,v73_composed,50,50,0.16000000000000003,0.14,0.26,0.95196341800309
MIX_MODE,sequential,RR_vs_FR,actual_anchor,50,50,0.09999999999999999,0.76,0.0,0.96558459995
MIX_MODE,sequential,RR_vs_FR,v73_composed,50,50,0.12,0.12,0.06,0.9950699519184552
