ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,SPLIT,VOICE_SOURCE_ID,MUSIC_SOURCE_ID,VOICE_GENERATOR,MUSIC_GENERATOR,CONDITION
yue_000_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_000690,,real,clean_separator_free
yue_000_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260832,,YuE,clean_separator_free
yue_000_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_extra_00,efp_extra_real_000690,bonafide,real,clean_separator_free
yue_000_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,efp_extra_real_000690,cosyvoice3_0.5b,real,clean_separator_free
yue_000_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_00,seed_20260832,bonafide,YuE,clean_separator_free
yue_000_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,seed_20260832,cosyvoice3_0.5b,YuE,clean_separator_free
yue_000_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_extra_00,efp_extra_real_000690,bonafide,real,clean_separator_free
yue_000_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,efp_extra_real_000690,cosyvoice3_0.5b,real,clean_separator_free
yue_000_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_00,seed_20260832,bonafide,YuE,clean_separator_free
yue_000_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,seed_20260832,cosyvoice3_0.5b,YuE,clean_separator_free
yue_000_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_extra_00,efp_extra_real_000690,bonafide,real,clean_separator_free
yue_000_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,efp_extra_real_000690,cosyvoice3_0.5b,real,clean_separator_free
yue_000_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_00,seed_20260832,bonafide,YuE,clean_separator_free
yue_000_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,seed_20260832,cosyvoice3_0.5b,YuE,clean_separator_free
yue_000_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260832_vtrack,efp_extra_real_000690,YuE,real,clean_separator_free
yue_000_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260832_vtrack,seed_20260832,YuE,YuE,clean_separator_free
yue_001_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_002096,,real,clean_separator_free
yue_001_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260833,,YuE,clean_separator_free
yue_001_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_extra_01,efp_extra_real_002096,bonafide,real,clean_separator_free
