METHOD,DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,DELTA_VS_V38
v37_anchor,factorial,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,-0.010285714285714342
v38_unified_w20,factorial,400,400,350,350,0.26472727272727276,0.22285714285714286,0.18285714285714283,0.9928,0.9989142857142856,0.7682077922077922,0.9958571428571428,0.7909727272727273,0.0
fixed_distinct_moe_w20,factorial,400,400,350,350,0.26472727272727276,0.22285714285714286,0.19999999999999998,0.9928,0.9989142857142856,0.7630649350649351,0.9958571428571428,0.7863441558441558,-0.005142857142857116
latent_router_w20,factorial,400,400,350,350,0.26472727272727276,0.22285714285714286,0.19428571428571428,0.9928,0.9989142857142856,0.7647792207792208,0.9958571428571428,0.787887012987013,-0.0034285714285714475
v37_anchor,phone,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.10750000000000001,0.956603125,0.9840593750000001,0.8604642857142857,0.9703312500000001,0.8714509821428572,-0.009750000000000147
v38_unified_w20,phone,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07499999999999998,0.956603125,0.9840593750000001,0.8702142857142858,0.9703312500000001,0.8802259821428573,0.0
fixed_distinct_moe_w20,phone,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.08250000000000002,0.956603125,0.9840593750000001,0.8679642857142857,0.9703312500000001,0.8782009821428572,-0.0022500000000000853
latent_router_w20,phone,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.08250000000000002,0.956603125,0.9840593750000001,0.8679642857142857,0.9703312500000001,0.8782009821428572,-0.0022500000000000853
v37_anchor,yue,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,-0.00967741935483879
v38_unified_w20,yue,124,124,108,124,0.14877717391304346,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8664850689574568,,,0.0
fixed_distinct_moe_w20,yue,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,-0.00967741935483879
latent_router_w20,yue,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,-0.00967741935483879
