model,axis,group,rows,real_n,fake_n,FILE_EER,FPR_at_05,FNR_at_05
parent,ALL,ALL,4577,1351,3226,0.19822484596149986,0.1695040710584752,0.21791692498450094
parent,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.05684754521963824,0.5,0.0
parent,DATASET,codec_mixed_dev_v4,600,150,450,0.2333333333333333,0.12666666666666668,0.3244444444444444
parent,DATASET,echoes_fma_paired_v3,111,56,55,0.1621753246753247,0.08928571428571429,0.21818181818181817
parent,DATASET,external_mixed_v1,400,100,300,0.17000000000000004,0.23,0.11
parent,DATASET,external_mixed_v1_telephone_v1,400,100,300,0.18000000000000002,0.28,0.10666666666666667
parent,DATASET,factorial_eval_1200_v2,400,125,275,0.20763636363636362,0.136,0.2727272727272727
parent,DATASET,mixfake_music_dev_v1,1600,400,1200,0.17000000000000004,0.06,0.29833333333333334
parent,DATASET,multigen_voice_v2,90,30,60,0.09999999999999999,0.06666666666666667,0.21666666666666667
parent,DATASET,source_disjoint_mixed_v1,200,50,150,0.18000000000000002,0.26,0.1
parent,DATASET,source_disjoint_mixed_v1_telephone_v1,200,50,150,0.18333333333333332,0.3,0.10666666666666667
parent,DATASET,source_disjoint_music_v1,400,200,200,0.04000000000000002,0.19,0.015
parent,AUDIO_TYPE,mixed,3700,925,2775,0.19783783783783782,0.14810810810810812,0.23963963963963963
parent,AUDIO_TYPE,music,561,281,280,0.0998220640569395,0.15658362989323843,0.07142857142857142
parent,AUDIO_TYPE,voice,316,145,171,0.1866706997378504,0.3310344827586207,0.10526315789473684
parent,CHANNEL,clean,120,30,90,0.19444444444444445,0.03333333333333333,0.23333333333333334
parent,CHANNEL,clean_flac,66,20,46,0.29130434782608694,0.2,0.2826086956521739
parent,CHANNEL,g711_ulaw,120,30,90,0.19444444444444445,0.06666666666666667,0.34444444444444444
parent,CHANNEL,g722_wb,120,30,90,0.19999999999999998,0.03333333333333333,0.24444444444444444
parent,CHANNEL,mp3_64k,67,21,46,0.13664596273291926,0.047619047619047616,0.21739130434782608
parent,CHANNEL,noisy_flac,66,21,45,0.1952380952380952,0.09523809523809523,0.28888888888888886
parent,CHANNEL,ogg_48k,67,21,46,0.23861283643892336,0.23809523809523808,0.1956521739130435
parent,CHANNEL,opus_nb_8k,120,30,90,0.3277777777777777,0.2,0.4
parent,CHANNEL,stereo_wav,67,22,45,0.22474747474747475,0.13636363636363635,0.28888888888888886
parent,CHANNEL,telephone_flac,67,20,47,0.24202127659574468,0.1,0.3617021276595745
parent,CHANNEL,transcode_g711_opus,120,30,90,0.3666666666666667,0.3,0.4
parent,CHANNEL_V57,clean,120,30,90,0.19444444444444445,0.03333333333333333,0.23333333333333334
parent,CHANNEL_V57,clean_flac,66,20,46,0.29130434782608694,0.2,0.2826086956521739
parent,CHANNEL_V57,common_flac16k,511,256,255,0.09001991421568628,0.16796875,0.058823529411764705
parent,CHANNEL_V57,flac16k,600,150,450,0.18000000000000002,0.24,0.10666666666666667
parent,CHANNEL_V57,g711_ulaw,120,30,90,0.19444444444444445,0.06666666666666667,0.34444444444444444
parent,CHANNEL_V57,g722_wb,120,30,90,0.19999999999999998,0.03333333333333333,0.24444444444444444
parent,CHANNEL_V57,mp3_64k,67,21,46,0.13664596273291926,0.047619047619047616,0.21739130434782608
parent,CHANNEL_V57,noisy_flac,66,21,45,0.1952380952380952,0.09523809523809523,0.28888888888888886
parent,CHANNEL_V57,ogg_48k,67,21,46,0.23861283643892336,0.23809523809523808,0.1956521739130435
parent,CHANNEL_V57,opus_nb_8k,120,30,90,0.3277777777777777,0.2,0.4
parent,CHANNEL_V57,stereo_wav,67,22,45,0.22474747474747475,0.13636363636363635,0.28888888888888886
parent,CHANNEL_V57,telephone8k,600,150,450,0.18000000000000002,0.2866666666666667,0.10666666666666667
parent,CHANNEL_V57,telephone_flac,67,20,47,0.24202127659574468,0.1,0.3617021276595745
parent,CHANNEL_V57,transcode_g711_opus,120,30,90,0.3666666666666667,0.3,0.4
parent,CHANNEL_V57,unknown,90,30,60,0.09999999999999999,0.06666666666666667,0.21666666666666667
parent,CHANNEL_V57,wav,176,90,86,0.05684754521963824,0.5,0.0
parent,CHANNEL_V57,wav16k,1600,400,1200,0.17000000000000004,0.06,0.29833333333333334
parent,MIX_MODE,concurrent,300,75,225,0.2644444444444445,0.06666666666666667,0.5288888888888889
parent,MIX_MODE,music_only,50,25,25,0.16000000000000003,0.04,0.2
parent,MIX_MODE,partial_overlap,300,75,225,0.21333333333333337,0.17333333333333334,0.2311111111111111
parent,MIX_MODE,sequential,300,75,225,0.19999999999999998,0.21333333333333335,0.17777777777777778
parent,MIX_MODE,voice_only,50,25,25,0.04000000000000002,0.04,0.2
parent,LAYOUT_V57,concurrent,1900,475,1425,0.18947368421052635,0.061052631578947365,0.33473684210526317
parent,LAYOUT_V57,music_only,50,25,25,0.16000000000000003,0.04,0.2
parent,LAYOUT_V57,partial_overlap,300,75,225,0.21333333333333337,0.17333333333333334,0.2311111111111111
parent,LAYOUT_V57,sequential,900,225,675,0.19481481481481483,0.27555555555555555,0.10074074074074074
parent,LAYOUT_V57,simultaneous,600,150,450,0.18000000000000002,0.22,0.1511111111111111
parent,LAYOUT_V57,source_disjoint,400,200,200,0.04000000000000002,0.19,0.015
parent,LAYOUT_V57,source_matched_instrumental,61,6,55,0.16515151515151516,0.0,0.21818181818181817
parent,LAYOUT_V57,speech_only,266,120,146,0.14275114155251142,0.39166666666666666,0.08904109589041095
parent,LAYOUT_V57,voice_only,50,25,25,0.04000000000000002,0.04,0.2
parent,LAYOUT_V57,voice_screened_instrumental,50,50,0,,0.1,
parent,FILE_CONTRAST,RR_vs_FR,1850,925,925,0.16216216216216217,0.14810810810810812,0.1772972972972973
parent,FILE_CONTRAST,RR_vs_RF,1850,925,925,0.3102702702702703,0.14810810810810812,0.4843243243243243
parent,FILE_CONTRAST,RR_vs_FF,1850,925,925,0.09189189189189187,0.14810810810810812,0.057297297297297295
global,ALL,ALL,4577,1351,3226,0.20428542977280723,0.23908216136195412,0.18381897086174828
global,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.02273901808785532,0.36666666666666664,0.0
global,DATASET,codec_mixed_dev_v4,600,150,450,0.2411111111111111,0.31333333333333335,0.20222222222222222
global,DATASET,echoes_fma_paired_v3,111,56,55,0.14415584415584418,0.375,0.10909090909090909
global,DATASET,external_mixed_v1,400,100,300,0.17833333333333332,0.29,0.10666666666666667
global,DATASET,external_mixed_v1_telephone_v1,400,100,300,0.18999999999999997,0.36,0.1
global,DATASET,factorial_eval_1200_v2,400,125,275,0.24763636363636365,0.224,0.26545454545454544
global,DATASET,mixfake_music_dev_v1,1600,400,1200,0.17000000000000004,0.065,0.2608333333333333
global,DATASET,multigen_voice_v2,90,30,60,0.09999999999999999,0.0,0.35
global,DATASET,source_disjoint_mixed_v1,200,50,150,0.18333333333333332,0.26,0.08666666666666667
global,DATASET,source_disjoint_mixed_v1_telephone_v1,200,50,150,0.19666666666666668,0.36,0.08
global,DATASET,source_disjoint_music_v1,400,200,200,0.04500000000000002,0.36,0.01
global,AUDIO_TYPE,mixed,3700,925,2775,0.20108108108108105,0.20432432432432432,0.1989189189189189
global,AUDIO_TYPE,music,561,281,280,0.08556176919166245,0.3594306049822064,0.03214285714285714
global,AUDIO_TYPE,voice,316,145,171,0.19941520467836257,0.22758620689655173,0.1871345029239766
global,CHANNEL,clean,120,30,90,0.17222222222222222,0.06666666666666667,0.2111111111111111
global,CHANNEL,clean_flac,66,20,46,0.29130434782608694,0.25,0.32608695652173914
global,CHANNEL,g711_ulaw,120,30,90,0.17222222222222222,0.13333333333333333,0.2222222222222222
global,CHANNEL,g722_wb,120,30,90,0.19444444444444445,0.03333333333333333,0.2222222222222222
global,CHANNEL,mp3_64k,67,21,46,0.22774327122153207,0.09523809523809523,0.2826086956521739
global,CHANNEL,noisy_flac,66,21,45,0.24126984126984127,0.19047619047619047,0.26666666666666666
global,CHANNEL,ogg_48k,67,21,46,0.23861283643892336,0.38095238095238093,0.17391304347826086
global,CHANNEL,opus_nb_8k,120,30,90,0.30000000000000004,0.6,0.17777777777777778
global,CHANNEL,stereo_wav,67,22,45,0.2696969696969697,0.2727272727272727,0.26666666666666666
global,CHANNEL,telephone_flac,67,20,47,0.2526595744680851,0.15,0.2765957446808511
global,CHANNEL,transcode_g711_opus,120,30,90,0.33333333333333337,0.7333333333333333,0.17777777777777778
global,CHANNEL_V57,clean,120,30,90,0.17222222222222222,0.06666666666666667,0.2111111111111111
global,CHANNEL_V57,clean_flac,66,20,46,0.29130434782608694,0.25,0.32608695652173914
global,CHANNEL_V57,common_flac16k,511,256,255,0.07827818627450983,0.36328125,0.03137254901960784
global,CHANNEL_V57,flac16k,600,150,450,0.18666666666666665,0.28,0.1
