MODEL,CHANNEL,TASK,PARENTS,POSITIVE_PARENTS,NEGATIVE_PARENTS,PAIRS,CLEAN_EER,CHANNEL_EER,CLEAN_PAIR_ERROR,CHANNEL_PAIR_ERROR,CORRECT_TO_INCORRECT,INCORRECT_TO_CORRECT,CLEAN_TIES,CHANNEL_TIES,RANK_STATE_FLIPS,MEAN_SCORE_DELTA,MEAN_SIGNED_DELTA,MEAN_PAIR_MARGIN_DELTA
anchor,g711_ulaw,FILE,48,36,12,432,0.16666666666666663,0.16666666666666663,0.06712962962962965,0.09490740740740744,20,8,0,0,28,-0.02359193723750001,-0.03645401177916668,-0.06575478176111112
anchor,g711_ulaw,VOICE,48,24,24,576,0.0,0.0,0.0,0.0,0,0,0,0,0,-0.0016365591270833355,-0.026206175893750006,-0.052412351787500006
anchor,g711_ulaw,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.08333333333333337,0.14583333333333337,48,12,0,0,60,-0.15506173405833332,-0.05693583410833334,-0.11387166821666667
anchor,g722_wb,FILE,48,36,12,432,0.16666666666666663,0.16666666666666663,0.06712962962962965,0.07407407407407407,9,6,0,0,15,0.02026115068333333,-0.004900427633333336,-0.04008267459999999
anchor,g722_wb,VOICE,48,24,24,576,0.0,0.0,0.0,0.0,0,0,0,0,0,0.018211907316666668,-0.020197318524999994,-0.040394637049999994
anchor,g722_wb,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.08333333333333337,0.09375,8,2,0,0,10,-0.004405527320833335,0.0005215468583333318,0.0010430937166666624
anchor,opus_nb_8k,FILE,48,36,12,432,0.16666666666666663,0.2361111111111111,0.06712962962962965,0.1342592592592593,45,16,0,0,61,0.04089836915833333,-0.05461602032499999,-0.20017387974444442
anchor,opus_nb_8k,VOICE,48,24,24,576,0.0,0.125,0.0,0.06770833333333337,39,0,0,0,39,0.13002186871875,-0.19144760359375002,-0.3828952071875
anchor,opus_nb_8k,MUSIC,48,24,24,576,0.16666666666666663,0.375,0.08333333333333337,0.31076388888888884,145,14,0,0,159,-0.11009679951666666,-0.16836856206249998,-0.33673712412500006
anchor,transcode_g711_opus,FILE,48,36,12,432,0.16666666666666663,0.25,0.06712962962962965,0.1435185185185185,50,17,0,0,67,0.04558530047916667,-0.058853940279166676,-0.21772424138333335
anchor,transcode_g711_opus,VOICE,48,24,24,576,0.0,0.20833333333333337,0.0,0.11805555555555558,68,0,0,0,68,0.1357073312208333,-0.19890411330000002,-0.3978082266
anchor,transcode_g711_opus,MUSIC,48,24,24,576,0.16666666666666663,0.33333333333333337,0.08333333333333337,0.27951388888888884,129,16,0,0,145,-0.09991892084583333,-0.16510882565833335,-0.3302176513166667
voice_mil_v53,g711_ulaw,FILE,48,36,12,432,0.16666666666666663,0.16666666666666663,0.06712962962962965,0.09490740740740744,20,8,0,0,28,-0.02359193723750001,-0.03645401177916668,-0.06575478176111112
voice_mil_v53,g711_ulaw,VOICE,48,24,24,576,0.0,0.08333333333333334,0.0,0.00694444444444442,4,0,0,0,4,0.008631376660407164,-0.03308661245396997,-0.06617322490793993
voice_mil_v53,g711_ulaw,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.08333333333333337,0.14583333333333337,48,12,0,0,60,-0.15506173405833332,-0.05693583410833334,-0.11387166821666667
voice_mil_v53,g722_wb,FILE,48,36,12,432,0.16666666666666663,0.16666666666666663,0.06712962962962965,0.07407407407407407,9,6,0,0,15,0.02026115068333333,-0.004900427633333336,-0.04008267459999999
voice_mil_v53,g722_wb,VOICE,48,24,24,576,0.0,0.0,0.0,0.0,0,0,0,0,0,0.024472141088303773,-0.02195178515899542,-0.04390357031799084
voice_mil_v53,g722_wb,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.08333333333333337,0.09375,8,2,0,0,10,-0.004405527320833335,0.0005215468583333318,0.0010430937166666624
voice_mil_v53,opus_nb_8k,FILE,48,36,12,432,0.16666666666666663,0.2361111111111111,0.06712962962962965,0.1342592592592593,45,16,0,0,61,0.04089836915833333,-0.05461602032499999,-0.20017387974444442
voice_mil_v53,opus_nb_8k,VOICE,48,24,24,576,0.0,0.16666666666666663,0.0,0.10590277777777779,61,0,0,0,61,0.09100700352580797,-0.1649859559451048,-0.3299719118902096
voice_mil_v53,opus_nb_8k,MUSIC,48,24,24,576,0.16666666666666663,0.375,0.08333333333333337,0.31076388888888884,145,14,0,0,159,-0.11009679951666666,-0.16836856206249998,-0.33673712412500006
voice_mil_v53,transcode_g711_opus,FILE,48,36,12,432,0.16666666666666663,0.25,0.06712962962962965,0.1435185185185185,50,17,0,0,67,0.04558530047916667,-0.058853940279166676,-0.21772424138333335
voice_mil_v53,transcode_g711_opus,VOICE,48,24,24,576,0.0,0.25,0.0,0.1527777777777778,88,0,0,0,88,0.09713278388856754,-0.16603321294222656,-0.3320664258844531
voice_mil_v53,transcode_g711_opus,MUSIC,48,24,24,576,0.16666666666666663,0.33333333333333337,0.08333333333333337,0.27951388888888884,129,16,0,0,145,-0.09991892084583333,-0.16510882565833335,-0.3302176513166667
