DATASET,TASK,MEMBER,MEAN,STD,MIN,MAX
factorial_eval_1200_v2_holdout,VOICE,0,0.19727981,0.028573493,0.18765068,0.42988014
factorial_eval_1200_v2_holdout,VOICE,1,0.26337144,0.06809193,0.1877172,0.4254602
factorial_eval_1200_v2_holdout,VOICE,2,0.1989854,0.031742442,0.18766093,0.37984654
factorial_eval_1200_v2_holdout,VOICE,3,0.34036332,0.064599074,0.19446266,0.43649626
factorial_eval_1200_v2_holdout,MUSIC,0,0.203106,0.029598337,0.18765037,0.41399893
factorial_eval_1200_v2_holdout,MUSIC,1,0.26320186,0.06454501,0.18779527,0.41584817
factorial_eval_1200_v2_holdout,MUSIC,2,0.19725247,0.024812363,0.18766071,0.37621152
factorial_eval_1200_v2_holdout,MUSIC,3,0.33643967,0.056743342,0.20841338,0.43644825
factorial_eval_1200_v2_holdout,FILE,0,0.2055436,0.031911694,0.1876507,0.42812458
factorial_eval_1200_v2_holdout,FILE,1,0.256907,0.07136781,0.18773048,0.42602786
factorial_eval_1200_v2_holdout,FILE,2,0.20893662,0.038134933,0.18766363,0.38746133
factorial_eval_1200_v2_holdout,FILE,3,0.32861283,0.059143204,0.19584405,0.43645832
phone_factorial_1200_v1,VOICE,0,0.19705687,0.020813767,0.18764775,0.35236153
phone_factorial_1200_v1,VOICE,1,0.23176046,0.061084416,0.18767495,0.41376624
phone_factorial_1200_v1,VOICE,2,0.21551234,0.04131787,0.1876555,0.39489225
phone_factorial_1200_v1,VOICE,3,0.35567036,0.05881439,0.18810296,0.4364697
phone_factorial_1200_v1,MUSIC,0,0.20989259,0.035917956,0.18764664,0.41354248
phone_factorial_1200_v1,MUSIC,1,0.24053642,0.06445766,0.18767811,0.42977914
phone_factorial_1200_v1,MUSIC,2,0.20987305,0.034488607,0.18765403,0.32638273
phone_factorial_1200_v1,MUSIC,3,0.33969796,0.057299778,0.19203465,0.43639156
phone_factorial_1200_v1,FILE,0,0.21093243,0.02729841,0.1876464,0.32792655
phone_factorial_1200_v1,FILE,1,0.23239334,0.06475902,0.1876712,0.41982046
phone_factorial_1200_v1,FILE,2,0.23403308,0.042134076,0.18765806,0.33886346
phone_factorial_1200_v1,FILE,3,0.32264116,0.043892197,0.18836387,0.43647897
yue_cross_component_audit_v1,VOICE,0,0.19180426,0.012234244,0.18765004,0.27365613
yue_cross_component_audit_v1,VOICE,1,0.2606955,0.07324905,0.18772285,0.41398668
yue_cross_component_audit_v1,VOICE,2,0.19972375,0.031442527,0.18766676,0.33764663
yue_cross_component_audit_v1,VOICE,3,0.34777647,0.069382645,0.21043669,0.43647364
yue_cross_component_audit_v1,MUSIC,0,0.2022122,0.02040491,0.18765287,0.2696698
yue_cross_component_audit_v1,MUSIC,1,0.25322285,0.07119128,0.1878202,0.4165267
yue_cross_component_audit_v1,MUSIC,2,0.19768459,0.023291107,0.18766665,0.29540488
yue_cross_component_audit_v1,MUSIC,3,0.34688038,0.062651016,0.20777719,0.4362348
yue_cross_component_audit_v1,FILE,0,0.20338959,0.021531528,0.18765067,0.303333
yue_cross_component_audit_v1,FILE,1,0.2538947,0.077865295,0.18772171,0.41899753
yue_cross_component_audit_v1,FILE,2,0.21400054,0.040137768,0.18767066,0.3422897
yue_cross_component_audit_v1,FILE,3,0.32871523,0.059673492,0.20542,0.4364315
