METHOD,DATASET,FILE_EER,VOICE_EER,MUSIC_EER,ADS,DELTA_VS_UNIFORM
uniform,dev,0.24763636363636365,0.25142857142857145,0.26857142857142857,0.7453246753246753,0.0
file,dev,0.24,0.25142857142857145,0.26857142857142857,0.7491428571428571,0.0038181818181818317
voice,dev,0.24763636363636365,0.25142857142857145,0.26857142857142857,0.7453246753246753,0.0
music,dev,0.24763636363636365,0.25142857142857145,0.26857142857142857,0.7453246753246753,0.0
file_music,dev,0.24,0.25142857142857145,0.26857142857142857,0.7491428571428571,0.0038181818181818317
file_voice,dev,0.24,0.25142857142857145,0.26857142857142857,0.7491428571428571,0.0038181818181818317
all,dev,0.24,0.25142857142857145,0.26857142857142857,0.7491428571428571,0.0038181818181818317
uniform,factorial,0.22472727272727272,0.19999999999999998,0.22857142857142854,0.7790649350649351,0.0
file,factorial,0.21709090909090906,0.19999999999999998,0.22857142857142854,0.782883116883117,0.0038181818181818317
voice,factorial,0.22472727272727272,0.2114285714285714,0.22857142857142854,0.7767792207792208,-0.0022857142857143353
music,factorial,0.22472727272727272,0.19999999999999998,0.22285714285714286,0.7807792207792208,0.0017142857142856682
file_music,factorial,0.21709090909090906,0.19999999999999998,0.22285714285714286,0.7845974025974026,0.0055324675324675
file_voice,factorial,0.21709090909090906,0.2114285714285714,0.22857142857142854,0.7805974025974026,0.0015324675324674963
all,factorial,0.21709090909090906,0.2114285714285714,0.22285714285714286,0.7823116883116883,0.0032467532467531646
uniform,phone,0.13242857142857145,0.135,0.10999999999999999,0.8737857142857143,0.0
file,phone,0.13242857142857145,0.135,0.10999999999999999,0.8737857142857143,0.0
voice,phone,0.13242857142857145,0.13,0.10999999999999999,0.8747857142857143,0.0010000000000000009
music,phone,0.13242857142857145,0.135,0.10999999999999999,0.8737857142857143,0.0
file_music,phone,0.13242857142857145,0.135,0.10999999999999999,0.8737857142857143,0.0
file_voice,phone,0.13242857142857145,0.13,0.10999999999999999,0.8747857142857143,0.0010000000000000009
all,phone,0.13242857142857145,0.13,0.10999999999999999,0.8747857142857143,0.0010000000000000009
uniform,yue,0.14877717391304346,0.12916666666666665,0.12903225806451613,0.8610684022907902,0.0
file,yue,0.15421195652173914,0.12916666666666665,0.12903225806451613,0.8583510109864423,-0.0027173913043478937
voice,yue,0.14877717391304346,0.1479166666666667,0.12903225806451613,0.85731840229079,-0.003750000000000142
music,yue,0.14877717391304346,0.12916666666666665,0.12903225806451613,0.8610684022907902,0.0
file_music,yue,0.15421195652173914,0.12916666666666665,0.12903225806451613,0.8583510109864423,-0.0027173913043478937
file_voice,yue,0.15421195652173914,0.1479166666666667,0.12903225806451613,0.8546010109864421,-0.006467391304348036
all,yue,0.15421195652173914,0.1479166666666667,0.12903225806451613,0.8546010109864421,-0.006467391304348036
