ID,XLSR_ORIGINAL_PROB
yue_000_concurrent_v0_m0,0.0038245018
yue_000_concurrent_v0_m1,0.0047536795
yue_000_concurrent_v1_m0,0.0139680663
yue_000_concurrent_v1_m1,0.0047759386
yue_000_music_fake,0.0072374418
yue_000_music_real,0.4490714073
yue_000_native_vocal_fake_music,0.2194705904
yue_000_native_vocal_real_music,0.4475501776
yue_000_partial_overlap_v0_m0,0.2988818288
yue_000_partial_overlap_v0_m1,0.0060521988
yue_000_partial_overlap_v1_m0,0.9998881817
yue_000_partial_overlap_v1_m1,0.9999165535
yue_000_sequential_v0_m0,0.2130079269
yue_000_sequential_v0_m1,0.0133465677
yue_000_sequential_v1_m0,0.9998840094
yue_000_sequential_v1_m1,0.9999243021
yue_001_concurrent_v0_m0,0.0042876708
yue_001_concurrent_v0_m1,0.001764825
yue_001_concurrent_v1_m0,0.0360120945
yue_001_concurrent_v1_m1,0.0009916108
yue_001_music_fake,0.8843399286
yue_001_music_real,0.1576484293
yue_001_native_vocal_fake_music,0.9877998829
yue_001_native_vocal_real_music,0.998891294
yue_001_partial_overlap_v0_m0,0.039748203
yue_001_partial_overlap_v0_m1,0.583147347
yue_001_partial_overlap_v1_m0,0.9999352694
yue_001_partial_overlap_v1_m1,0.9999331236
yue_001_sequential_v0_m0,0.1662338078
yue_001_sequential_v0_m1,0.9637016058
yue_001_sequential_v1_m0,0.9999221563
yue_001_sequential_v1_m1,0.9999119043
yue_002_concurrent_v0_m0,0.0124859903
yue_002_concurrent_v0_m1,0.0043781153
yue_002_concurrent_v1_m0,0.0030687323
yue_002_concurrent_v1_m1,0.0018120281
yue_002_music_fake,0.012939035
yue_002_music_real,0.0094063757
yue_002_partial_overlap_v0_m0,0.0013988247
yue_002_partial_overlap_v0_m1,0.0071465434
yue_002_partial_overlap_v1_m0,0.9994382262
yue_002_partial_overlap_v1_m1,0.9999581575
yue_002_sequential_v0_m0,0.0023003598
yue_002_sequential_v0_m1,0.0400436558
yue_002_sequential_v1_m0,0.9998949766
yue_002_sequential_v1_m1,0.9999427795
yue_003_concurrent_v0_m0,0.0033723467
yue_003_concurrent_v0_m1,0.0035027144
yue_003_concurrent_v1_m0,0.0265317392
yue_003_concurrent_v1_m1,0.7301428914
yue_003_music_fake,0.8764162064
yue_003_music_real,0.0018892616
yue_003_native_vocal_fake_music,0.9970830083
yue_003_native_vocal_real_music,0.0192014612
yue_003_partial_overlap_v0_m0,0.0048926389
yue_003_partial_overlap_v0_m1,0.9387601614
yue_003_partial_overlap_v1_m0,0.9983299375
yue_003_partial_overlap_v1_m1,0.9984155893
yue_003_sequential_v0_m0,0.0080828648
yue_003_sequential_v0_m1,0.9608676434
yue_003_sequential_v1_m0,0.9990034699
yue_003_sequential_v1_m1,0.9990562797
yue_004_concurrent_v0_m0,0.0015972325
yue_004_concurrent_v0_m1,0.0420406424
yue_004_concurrent_v1_m0,0.2923316061
yue_004_concurrent_v1_m1,0.4908676445
yue_004_music_fake,0.7630361319
yue_004_music_real,0.0386783369
yue_004_native_vocal_fake_music,0.6791139841
yue_004_native_vocal_real_music,0.2914983034
yue_004_partial_overlap_v0_m0,0.1672664732
yue_004_partial_overlap_v0_m1,0.055293534
yue_004_partial_overlap_v1_m0,0.999963522
yue_004_partial_overlap_v1_m1,0.9999637604
yue_004_sequential_v0_m0,0.2287166566
yue_004_sequential_v0_m1,0.2828734517
yue_004_sequential_v1_m0,0.9999630451
yue_004_sequential_v1_m1,0.9999666214
yue_005_concurrent_v0_m0,0.0016524341
yue_005_concurrent_v0_m1,0.0016345156
yue_005_concurrent_v1_m0,0.0030954401
yue_005_concurrent_v1_m1,0.0013050123
yue_005_music_fake,0.0830430239
yue_005_music_real,0.0501887277
yue_005_native_vocal_fake_music,0.4826955497
yue_005_native_vocal_real_music,0.9982840419
yue_005_partial_overlap_v0_m0,0.0084789116
yue_005_partial_overlap_v0_m1,0.0048159948
yue_005_partial_overlap_v1_m0,0.9999148846
yue_005_partial_overlap_v1_m1,0.9999587536
yue_005_sequential_v0_m0,0.0059386087
yue_005_sequential_v0_m1,0.1128810048
yue_005_sequential_v1_m0,0.999972105
yue_005_sequential_v1_m1,0.9999642372
yue_006_concurrent_v0_m0,0.0009358307
yue_006_concurrent_v0_m1,0.0002835833
yue_006_concurrent_v1_m0,0.0024841346
yue_006_concurrent_v1_m1,0.018119324
yue_006_music_fake,0.0137530081
yue_006_music_real,0.2453538775
yue_006_native_vocal_fake_music,0.4125897288
yue_006_native_vocal_real_music,0.6603111029
yue_006_partial_overlap_v0_m0,0.2040857226
yue_006_partial_overlap_v0_m1,0.0014770327
yue_006_partial_overlap_v1_m0,0.4981710017
yue_006_partial_overlap_v1_m1,0.9397540092
yue_006_sequential_v0_m0,0.2017354071
yue_006_sequential_v0_m1,0.0026720173
yue_006_sequential_v1_m0,0.9985049963
yue_006_sequential_v1_m1,0.9937122464
yue_007_concurrent_v0_m0,0.0044422513
yue_007_concurrent_v0_m1,0.0002802153
yue_007_concurrent_v1_m0,0.4355041087
yue_007_concurrent_v1_m1,0.0372770764
yue_007_music_fake,0.2809920013
yue_007_music_real,0.2773510814
yue_007_partial_overlap_v0_m0,0.0532334261
yue_007_partial_overlap_v0_m1,0.07729505
yue_007_partial_overlap_v1_m0,0.9859630466
yue_007_partial_overlap_v1_m1,0.9951947331
yue_007_sequential_v0_m0,0.0488971621
yue_007_sequential_v0_m1,0.1172959954
yue_007_sequential_v1_m0,0.9904900789
yue_007_sequential_v1_m1,0.847310245
