ID,SPEAR_BINARY_VOICE_PROB,SPEAR_BINARY_MUSIC_PROB,SPEAR_JOINT_VOICE_PROB,SPEAR_JOINT_MUSIC_PROB,SPEAR_JOINT_FILE_PROB,SPEAR_EXISTING_VOICE_PROB,SPEAR_EXISTING_MUSIC_PROB
yue_000_concurrent_v0_m0,0.20437373,0.19069748,0.9530608,0.021965072,0.97479725,0.33399007,0.008283438
yue_000_concurrent_v0_m1,0.03515859,0.91581,0.2936297,0.7067058,0.7213333,0.29080862,0.2383579
yue_000_concurrent_v1_m0,0.02578299,0.0076323547,0.13101816,0.00054966455,0.1315639,0.20991252,0.042190123
yue_000_concurrent_v1_m1,0.93693084,0.9874692,0.79495686,0.9933129,0.9998447,0.64026445,0.90358156
yue_000_music_fake,0.9962675,1.0,0.96991706,1.0,1.0,0.83717525,0.9827377
yue_000_music_real,0.0040321946,0.001861356,0.00017902453,0.0001451048,0.00032413006,0.20602505,0.00044890895
yue_000_native_vocal_fake_music,0.9412501,0.9999999,0.9999521,1.0,1.0,0.8033721,0.9726192
yue_000_native_vocal_real_music,0.10124197,0.68112963,0.14931352,0.6075547,0.625092,0.12188578,0.20546725
yue_000_partial_overlap_v0_m0,0.007688389,0.03712129,0.16143294,0.01647005,0.17789805,0.13476071,0.14269628
yue_000_partial_overlap_v0_m1,0.2889332,0.7861275,0.53575814,0.4026178,0.86181366,0.23848009,0.63886976
yue_000_partial_overlap_v1_m0,0.86347127,0.07010709,0.9969889,0.0021286765,0.99864,0.2500389,0.45740286
yue_000_partial_overlap_v1_m1,0.99434364,0.8735388,0.9903351,0.16956694,0.9999561,0.6964311,0.85584676
yue_000_sequential_v0_m0,0.0009696744,0.024121543,0.0012305062,0.009039965,0.0102699995,0.086175844,0.22103874
yue_000_sequential_v0_m1,0.17772734,0.99252045,0.016527608,0.9983974,0.9993983,0.26740277,0.9546245
yue_000_sequential_v1_m0,0.2848383,0.033640746,0.82175505,0.03567465,0.8573897,0.30183923,0.5903988
yue_000_sequential_v1_m1,0.8909446,0.99575365,0.17195791,0.98918205,0.999952,0.48143598,0.9844387
yue_001_concurrent_v0_m0,0.07565126,0.011497722,0.010479625,0.00012678551,0.010522068,0.3241715,0.081503935
yue_001_concurrent_v0_m1,0.0011315829,0.025381304,0.0008207649,6.6064495e-05,0.0008817315,0.011145969,0.9381117
yue_001_concurrent_v1_m0,0.9999634,0.009393145,0.9999958,0.0017849018,0.9999959,0.81715274,0.25380382
yue_001_concurrent_v1_m1,0.007254215,0.03437617,0.51270777,0.13036557,0.64305216,0.19346629,0.9996112
yue_001_music_fake,0.9999994,1.0,1.0,1.0,1.0,0.8270075,0.99999356
yue_001_music_real,0.9999995,8.5149884e-07,0.9999694,6.479166e-07,0.9999694,0.49962965,0.002634221
yue_001_native_vocal_fake_music,0.9988372,0.9999976,0.9999764,1.0,1.0,0.47794828,0.99997866
yue_001_native_vocal_real_music,0.99969447,0.98860395,0.9999939,0.99998164,0.99999964,0.7022206,0.11263512
yue_001_partial_overlap_v0_m0,0.5534594,0.0024288392,0.29549628,0.0003048756,0.29549742,0.09323467,0.17504568
yue_001_partial_overlap_v0_m1,0.02860617,0.21554735,0.09526635,0.022706792,0.10939193,0.03660737,0.9632038
yue_001_partial_overlap_v1_m0,0.94556403,0.0027065035,0.9993257,1.4420453e-05,0.99932814,0.3694092,0.49958313
yue_001_partial_overlap_v1_m1,0.8495921,0.95724297,0.6663658,0.92138016,0.9998245,0.28167453,0.99833626
yue_001_sequential_v0_m0,0.069796406,7.664709e-06,0.0022527978,3.3866203e-09,0.0022527575,0.08427261,0.07763775
yue_001_sequential_v0_m1,0.79926777,0.9963405,0.96223396,0.99997604,0.9999861,0.073258266,0.9988091
yue_001_sequential_v1_m0,0.96614486,0.00017146557,0.9702101,6.1160417e-06,0.9702102,0.39576092,0.41902742
yue_001_sequential_v1_m1,0.9982614,0.999701,0.98915064,0.9999829,1.0,0.31890088,0.99965334
yue_002_concurrent_v0_m0,0.00045025977,0.18391423,2.0189638e-05,0.0011848481,0.0012049675,0.1804581,0.0037703111
yue_002_concurrent_v0_m1,5.5736167e-05,0.9932346,1.1152653e-05,0.9933862,0.99339443,0.0026346294,0.99774194
yue_002_concurrent_v1_m0,0.014386872,0.00037681314,4.598614e-05,2.0893985e-07,4.6014786e-05,0.3143906,0.00072348973
yue_002_concurrent_v1_m1,0.47886005,0.99939656,0.53588754,0.9999174,0.9999981,0.2563455,0.9992316
yue_002_music_fake,0.99562055,1.0,0.9962579,1.0000001,1.0,0.07172763,0.9999939
yue_002_music_real,0.032805163,0.00059770606,0.00010131486,5.364061e-08,0.000101327896,0.4622716,3.0395e-06
yue_002_partial_overlap_v0_m0,4.3698557e-05,0.0015131955,3.980158e-06,2.0568393e-06,5.9604645e-06,0.01872581,0.008115207
yue_002_partial_overlap_v0_m1,0.0016061816,0.99771035,0.0039578774,0.9990073,0.9990086,0.006582883,0.9987539
yue_002_partial_overlap_v1_m0,0.048037905,0.020517236,0.025336439,0.00069124205,0.025871277,0.42084888,0.012902714
yue_002_partial_overlap_v1_m1,0.27381396,0.95688164,0.59271294,0.9958329,0.99855715,0.17828368,0.9991295
yue_002_sequential_v0_m0,0.0035793092,0.008224852,0.00074840116,5.01651e-05,0.0007980466,0.033065002,0.040722024
yue_002_sequential_v0_m1,0.02246247,0.99996054,0.004676983,0.9999998,0.9999999,0.012110695,0.9996561
yue_002_sequential_v1_m0,0.037648533,0.022708574,0.050740298,0.00073332683,0.051386952,0.4025021,0.025666103
yue_002_sequential_v1_m1,0.8898251,0.99994195,0.94322383,0.9999992,1.0,0.20580728,0.9997757
yue_003_concurrent_v0_m0,0.0034803536,0.0024207826,4.8102745e-05,0.00011305662,0.00016129017,0.117543794,2.4325698e-05
yue_003_concurrent_v0_m1,0.0012249465,0.99611074,0.0023206247,0.99843067,0.9984421,0.03291836,0.99775606
yue_003_concurrent_v1_m0,0.09516207,0.44986716,0.052020684,0.5220557,0.52211934,0.8252089,0.00030735458
yue_003_concurrent_v1_m1,0.00094108016,1.0,0.04903873,0.99999994,1.0,0.72852254,0.99999964
yue_003_music_fake,0.36687943,1.0,0.9859028,0.99999994,1.0,0.6830263,1.0
yue_003_music_real,0.06786496,0.920376,0.00057893986,0.078840494,0.07886469,0.085056074,0.00018617943
yue_003_native_vocal_fake_music,0.7667492,1.0,0.9976914,1.0,1.0,0.6655872,0.9999827
yue_003_native_vocal_real_music,0.041099086,0.6494525,0.00020021846,0.026132261,0.0262537,0.10835938,1.3342808e-05
yue_003_partial_overlap_v0_m0,0.002465926,0.01225687,8.3665e-05,4.8580343e-05,0.0001322031,0.03275508,0.0015325462
yue_003_partial_overlap_v0_m1,0.00023152147,0.99914086,0.0012505758,0.9997052,0.9997053,0.061222307,0.99656135
yue_003_partial_overlap_v1_m0,0.98761964,0.9991003,0.9942374,0.99999905,1.0,0.8976281,0.13470834
yue_003_partial_overlap_v1_m1,0.9057283,1.0,0.92171973,1.0,1.0,0.9718612,0.9995839
yue_003_sequential_v0_m0,0.0013893698,0.29208773,5.1633713e-05,0.02171594,0.021762788,0.037583895,0.015282461
yue_003_sequential_v0_m1,0.0022702897,0.99999833,0.003272149,1.0,1.0,0.117445424,0.9999635
yue_003_sequential_v1_m0,0.17943402,0.99966335,0.13095452,0.99999934,0.9999995,0.61826277,0.7384843
yue_003_sequential_v1_m1,0.21550806,1.0,0.9911446,0.99999994,1.0,0.8064467,0.9999999
yue_004_concurrent_v0_m0,1.9960903e-06,0.9105035,5.929432e-07,0.8638452,0.8638452,0.11763346,0.02880552
yue_004_concurrent_v0_m1,0.0005159326,0.98740757,0.0009154511,0.99698454,0.9977807,0.013917409,0.99910295
yue_004_concurrent_v1_m0,2.0551879e-05,0.5647895,6.2595127e-06,0.012386216,0.012387097,0.92321455,0.010065602
yue_004_concurrent_v1_m1,0.05231003,0.993835,0.12968251,0.94079256,0.9620231,0.9220973,0.99221766
yue_004_music_fake,0.9151723,0.99999976,0.9999193,1.0,1.0,0.39855072,0.9997998
yue_004_music_real,0.00010723396,0.996628,0.0001440583,0.9999256,0.9999256,0.20459847,0.79185784
yue_004_native_vocal_fake_music,0.8883828,0.9999999,0.9999095,0.99999994,1.0,0.9698027,0.9999459
yue_004_native_vocal_real_music,9.628127e-07,0.98810565,1.5904636e-08,0.9999913,0.99999124,0.301995,0.9875436
yue_004_partial_overlap_v0_m0,6.890909e-06,0.23511058,3.2349521e-06,0.08521191,0.08521497,0.045832098,0.42981517
yue_004_partial_overlap_v0_m1,0.00034652138,0.968511,0.00045197285,0.9814475,0.98169196,0.052043077,0.99631506
yue_004_partial_overlap_v1_m0,0.001291356,0.10514964,0.00020496955,0.0014631413,0.0015550256,0.9124375,0.25149906
yue_004_partial_overlap_v1_m1,0.2588804,0.9666677,0.43227556,0.9750563,0.9925924,0.9580968,0.9862255
yue_004_sequential_v0_m0,0.0006216004,0.5467225,0.0003287989,0.5321421,0.53233176,0.07171393,0.8342938
yue_004_sequential_v0_m1,0.06385835,0.9954502,0.1385076,0.9996088,0.9997633,0.11070871,0.9974216
yue_004_sequential_v1_m0,0.0051692757,0.71907246,0.0112049645,0.82506853,0.8251654,0.7468864,0.8712447
yue_004_sequential_v1_m1,0.9850514,0.9993351,0.99964267,0.9999987,1.0,0.84130806,0.9989968
yue_005_concurrent_v0_m0,2.7081333e-05,0.17493671,0.00032794382,0.27847442,0.27879965,0.0064678728,0.009888938
yue_005_concurrent_v0_m1,0.7838356,0.60162175,0.9987445,0.95982814,0.99878395,0.44166952,0.08370858
yue_005_concurrent_v1_m0,0.00088870537,0.07156792,0.051293835,0.014148857,0.06544167,0.60973674,0.08172299
yue_005_concurrent_v1_m1,0.048562504,0.9919848,0.86276656,0.93410754,0.9366837,0.9844899,0.9747644
yue_005_music_fake,0.033616208,0.9999999,0.99907947,1.0,1.0,0.7958557,0.9996113
yue_005_music_real,0.0010735784,0.9995763,0.16652572,0.9999578,0.9999578,0.3222316,0.7439771
yue_005_native_vocal_fake_music,0.0020813874,0.9999999,0.9865846,0.99999994,0.9999998,0.65545154,0.9992022
yue_005_native_vocal_real_music,0.0034741866,0.99985874,0.35695365,0.9999995,0.9999995,0.27020773,0.87655497
yue_005_partial_overlap_v0_m0,0.0005938955,0.3005922,0.005223215,0.16285664,0.1672849,0.01640058,0.030270318
yue_005_partial_overlap_v0_m1,0.0015270255,0.9257054,0.0361004,0.163309,0.16335362,0.06306612,0.8841879
yue_005_partial_overlap_v1_m0,0.10525272,0.506504,0.772301,0.13632609,0.89790297,0.8400829,0.42400903
yue_005_partial_overlap_v1_m1,0.6892783,0.88764995,0.9551889,0.9595724,0.979432,0.98223704,0.9763315
yue_005_sequential_v0_m0,0.0002208252,0.8359494,0.00088082,0.9144719,0.91458964,0.063551046,0.7126322
yue_005_sequential_v0_m1,0.00023022755,0.9627691,0.007740268,0.18267418,0.1826796,0.17497796,0.9586894
yue_005_sequential_v1_m0,0.22795774,0.9144322,0.72125584,0.8756751,0.9866618,0.8449335,0.6868387
yue_005_sequential_v1_m1,0.46062562,0.99569416,0.97459596,0.99921703,0.99939495,0.9467425,0.98952055
yue_006_concurrent_v0_m0,0.00058040913,0.9018579,0.0001772896,0.014028222,0.014202654,0.5754808,0.08444583
yue_006_concurrent_v0_m1,0.0007556411,0.9995472,0.028610978,0.9458135,0.94581604,0.9468362,0.95839596
yue_006_concurrent_v1_m0,0.9703049,0.92144597,0.9997175,0.4472385,0.9998953,0.6121447,0.4334181
yue_006_concurrent_v1_m1,0.8904603,0.99999845,0.9999912,1.0,1.0,0.8714776,0.99965584
yue_006_music_fake,0.9984189,1.0,0.99998164,1.0,1.0,0.9377495,0.9999999
yue_006_music_real,0.7929734,0.99999905,0.9996308,0.99999976,0.99999976,0.6503661,0.860509
yue_006_native_vocal_fake_music,0.9884222,1.0,0.9997584,1.0,1.0,0.94341874,0.9999999
yue_006_native_vocal_real_music,0.63625044,0.9999989,0.99691796,0.99999934,0.9999993,0.6270465,0.86266094
