scope,axis,group,model,n,real_n,fake_n,FILE_EER
all,ALL,ALL,current_anchor,2160,630,1530,0.23478057889822598
all,ALL,ALL,parent,2160,630,1530,0.24267040149393093
all,ALL,ALL,global,2160,630,1530,0.2318860877684407
all,ALL,ALL,local,2160,630,1530,0.265219421101774
all,ALL,ALL,anchor_global_0.025,2160,630,1530,0.23155929038281978
all,ALL,ALL,anchor_global_0.05,2160,630,1530,0.2286647992530345
all,ALL,ALL,anchor_global_0.1,2160,630,1530,0.22689075630252098
all,ALL,ALL,anchor_global_0.2,2160,630,1530,0.2207749766573296
all,ALL,ALL,anchor_local_0.025,2160,630,1530,0.23011204481792713
all,ALL,ALL,anchor_local_0.05,2160,630,1530,0.22978524743230622
all,ALL,ALL,anchor_local_0.1,2160,630,1530,0.22577030812324927
all,ALL,ALL,anchor_local_0.2,2160,630,1530,0.22254901960784312
all,DURATION,10,current_anchor,720,210,510,0.2719887955182073
all,DURATION,10,parent,720,210,510,0.27535014005602243
all,DURATION,10,global,720,210,510,0.26232492997198875
all,DURATION,10,local,720,210,510,0.31400560224089635
all,DURATION,10,anchor_global_0.025,720,210,510,0.27633053221288517
all,DURATION,10,anchor_global_0.05,720,210,510,0.2710084033613446
all,DURATION,10,anchor_global_0.1,720,210,510,0.2666666666666667
all,DURATION,10,anchor_global_0.2,720,210,510,0.25700280112044815
all,DURATION,10,anchor_local_0.025,720,210,510,0.2710084033613446
all,DURATION,10,anchor_local_0.05,720,210,510,0.280672268907563
all,DURATION,10,anchor_local_0.1,720,210,510,0.2773109243697479
all,DURATION,10,anchor_local_0.2,720,210,510,0.27633053221288517
all,DURATION,30,current_anchor,720,210,510,0.22899159663865543
all,DURATION,30,parent,720,210,510,0.2343137254901961
all,DURATION,30,global,720,210,510,0.21400560224089638
all,DURATION,30,local,720,210,510,0.26232492997198875
all,DURATION,30,anchor_global_0.025,720,210,510,0.22899159663865543
all,DURATION,30,anchor_global_0.05,720,210,510,0.22899159663865543
all,DURATION,30,anchor_global_0.1,720,210,510,0.21932773109243697
all,DURATION,30,anchor_global_0.2,720,210,510,0.21400560224089638
all,DURATION,30,anchor_local_0.025,720,210,510,0.22899159663865543
all,DURATION,30,anchor_local_0.05,720,210,510,0.22899159663865543
all,DURATION,30,anchor_local_0.1,720,210,510,0.21400560224089638
all,DURATION,30,anchor_local_0.2,720,210,510,0.20966386554621852
all,DURATION,60,current_anchor,720,210,510,0.1903361344537815
all,DURATION,60,parent,720,210,510,0.20868347338935578
all,DURATION,60,global,720,210,510,0.18067226890756305
all,DURATION,60,local,720,210,510,0.21400560224089638
all,DURATION,60,anchor_global_0.025,720,210,510,0.1903361344537815
all,DURATION,60,anchor_global_0.05,720,210,510,0.1903361344537815
all,DURATION,60,anchor_global_0.1,720,210,510,0.18599439775910365
all,DURATION,60,anchor_global_0.2,720,210,510,0.18067226890756305
all,DURATION,60,anchor_local_0.025,720,210,510,0.1903361344537815
all,DURATION,60,anchor_local_0.05,720,210,510,0.19467787114845936
all,DURATION,60,anchor_local_0.1,720,210,510,0.1903361344537815
all,DURATION,60,anchor_local_0.2,720,210,510,0.18067226890756305
all,CHANNEL,clean,current_anchor,720,210,510,0.15602240896358543
all,CHANNEL,clean,parent,720,210,510,0.1816526610644258
all,CHANNEL,clean,global,720,210,510,0.18599439775910365
all,CHANNEL,clean,local,720,210,510,0.22366946778711483
all,CHANNEL,clean,anchor_global_0.025,720,210,510,0.15602240896358543
all,CHANNEL,clean,anchor_global_0.05,720,210,510,0.15602240896358543
all,CHANNEL,clean,anchor_global_0.1,720,210,510,0.15266106442577032
all,CHANNEL,clean,anchor_global_0.2,720,210,510,0.15168067226890758
all,CHANNEL,clean,anchor_local_0.025,720,210,510,0.15266106442577032
all,CHANNEL,clean,anchor_local_0.05,720,210,510,0.15168067226890758
all,CHANNEL,clean,anchor_local_0.1,720,210,510,0.14733893557422972
all,CHANNEL,clean,anchor_local_0.2,720,210,510,0.15168067226890758
all,CHANNEL,g711_ulaw,current_anchor,720,210,510,0.1956582633053221
all,CHANNEL,g711_ulaw,parent,720,210,510,0.1903361344537815
all,CHANNEL,g711_ulaw,global,720,210,510,0.19467787114845936
all,CHANNEL,g711_ulaw,local,720,210,510,0.18935574229691876
all,CHANNEL,g711_ulaw,anchor_global_0.025,720,210,510,0.18599439775910365
all,CHANNEL,g711_ulaw,anchor_global_0.05,720,210,510,0.18067226890756305
all,CHANNEL,g711_ulaw,anchor_global_0.1,720,210,510,0.1719887955182073
