ID,FILE_FAKE_PROB,VOICE_FAKE_PROB,MUSIC_FAKE_PROB,VOICE_PRESENT_PROB,MUSIC_PRESENT_PROB
sdxeq_0000__phonefact_resample8k,0.019296657294034958,0.0,0.019296657294034958,0.0,1.0
sdxeq_0000__phonefact_g711_ulaw,0.021366465836763382,0.0,0.021366465836763382,0.0,1.0
sdxeq_0000__phonefact_g726_24k,0.0243704654276371,0.0,0.0243704654276371,0.0,1.0
sdxeq_0000__phonefact_opus_nb_8k,0.026744399219751358,0.0,0.026744399219751358,0.0,1.0
sdxeq_0001__phonefact_resample8k,0.0157285388559103,0.0,0.0157285388559103,0.0,1.0
sdxeq_0001__phonefact_g711_ulaw,0.017189741134643555,0.0,0.017189741134643555,0.0,1.0
sdxeq_0001__phonefact_g726_24k,0.021320417523384094,0.0,0.021320417523384094,0.0,1.0
sdxeq_0001__phonefact_opus_nb_8k,0.030618615448474884,0.0,0.030618615448474884,0.0,1.0
sdxeq_0002__phonefact_resample8k,0.02163837105035782,0.0,0.02163837105035782,0.0,1.0
sdxeq_0002__phonefact_g711_ulaw,0.021121729165315628,0.0,0.021121729165315628,0.0,1.0
sdxeq_0002__phonefact_g726_24k,0.1843482106924057,0.0,0.1843482106924057,0.0,1.0
sdxeq_0002__phonefact_opus_nb_8k,0.06859281659126282,0.0,0.06859281659126282,0.0,1.0
sdxeq_0003__phonefact_resample8k,0.013188383542001247,0.0,0.013188383542001247,0.0,1.0
sdxeq_0003__phonefact_g711_ulaw,0.016084518283605576,0.0,0.016084518283605576,0.0,1.0
sdxeq_0003__phonefact_g726_24k,0.01939111202955246,0.0,0.01939111202955246,0.0,1.0
sdxeq_0003__phonefact_opus_nb_8k,0.014854349195957184,0.0,0.014854349195957184,0.0,1.0
sdxeq_0004__phonefact_resample8k,0.015850286930799484,0.0,0.015850286930799484,0.0,1.0
sdxeq_0004__phonefact_g711_ulaw,0.01649097353219986,0.0,0.01649097353219986,0.0,1.0
sdxeq_0004__phonefact_g726_24k,0.02463618479669094,0.0,0.02463618479669094,0.0,1.0
sdxeq_0004__phonefact_opus_nb_8k,0.03569186478853226,0.0,0.03569186478853226,0.0,1.0
sdxeq_0005__phonefact_resample8k,0.027175595983862877,0.0,0.027175595983862877,0.0,1.0
sdxeq_0005__phonefact_g711_ulaw,0.024392522871494293,0.0,0.024392522871494293,0.0,1.0
sdxeq_0005__phonefact_g726_24k,0.030788462609052658,0.0,0.030788462609052658,0.0,1.0
sdxeq_0005__phonefact_opus_nb_8k,0.044698670506477356,0.0,0.044698670506477356,0.0,1.0
sdxeq_0006__phonefact_resample8k,0.02024354785680771,0.0,0.02024354785680771,0.0,1.0
sdxeq_0006__phonefact_g711_ulaw,0.025426825508475304,0.0,0.025426825508475304,0.0,1.0
sdxeq_0006__phonefact_g726_24k,0.02496594935655594,0.0,0.02496594935655594,0.0,1.0
sdxeq_0006__phonefact_opus_nb_8k,0.024382853880524635,0.0,0.024382853880524635,0.0,1.0
sdxeq_0007__phonefact_resample8k,0.026243548840284348,0.0,0.026243548840284348,0.0,1.0
sdxeq_0007__phonefact_g711_ulaw,0.016609005630016327,0.0,0.016609005630016327,0.0,1.0
sdxeq_0007__phonefact_g726_24k,0.02705513685941696,0.0,0.02705513685941696,0.0,1.0
sdxeq_0007__phonefact_opus_nb_8k,0.020973440259695053,0.0,0.020973440259695053,0.0,1.0
sdxeq_0008__phonefact_resample8k,0.018600739538669586,0.0,0.018600739538669586,0.0,1.0
sdxeq_0008__phonefact_g711_ulaw,0.018424855545163155,0.0,0.018424855545163155,0.0,1.0
sdxeq_0008__phonefact_g726_24k,0.0367826484143734,0.0,0.0367826484143734,0.0,1.0
sdxeq_0008__phonefact_opus_nb_8k,0.025458524003624916,0.0,0.025458524003624916,0.0,1.0
sdxeq_0009__phonefact_resample8k,0.02788066491484642,0.0,0.02788066491484642,0.0,1.0
sdxeq_0009__phonefact_g711_ulaw,0.025893013924360275,0.0,0.025893013924360275,0.0,1.0
sdxeq_0009__phonefact_g726_24k,0.04207009822130203,0.0,0.04207009822130203,0.0,1.0
sdxeq_0009__phonefact_opus_nb_8k,0.05542325600981712,0.0,0.05542325600981712,0.0,1.0
sdxeq_0010__phonefact_resample8k,0.016427773982286453,0.0,0.016427773982286453,0.0,1.0
sdxeq_0010__phonefact_g711_ulaw,0.017279576510190964,0.0,0.017279576510190964,0.0,1.0
sdxeq_0010__phonefact_g726_24k,0.021830663084983826,0.0,0.021830663084983826,0.0,1.0
sdxeq_0010__phonefact_opus_nb_8k,0.017628805711865425,0.0,0.017628805711865425,0.0,1.0
sdxeq_0011__phonefact_resample8k,0.039909832179546356,0.0,0.039909832179546356,0.0,1.0
sdxeq_0011__phonefact_g711_ulaw,0.037360500544309616,0.0,0.037360500544309616,0.0,1.0
sdxeq_0011__phonefact_g726_24k,0.1753081977367401,0.0,0.1753081977367401,0.0,1.0
sdxeq_0011__phonefact_opus_nb_8k,0.04936029389500618,0.0,0.04936029389500618,0.0,1.0
sdxeq_0012__phonefact_resample8k,0.0285341776907444,0.0,0.0285341776907444,0.0,1.0
sdxeq_0012__phonefact_g711_ulaw,0.023321889340877533,0.0,0.023321889340877533,0.0,1.0
sdxeq_0012__phonefact_g726_24k,0.06424189358949661,0.0,0.06424189358949661,0.0,1.0
sdxeq_0012__phonefact_opus_nb_8k,0.02363341860473156,0.0,0.02363341860473156,0.0,1.0
sdxeq_0013__phonefact_resample8k,0.021524878218770027,0.0,0.021524878218770027,0.0,1.0
sdxeq_0013__phonefact_g711_ulaw,0.026865651831030846,0.0,0.026865651831030846,0.0,1.0
sdxeq_0013__phonefact_g726_24k,0.03883911669254303,0.0,0.03883911669254303,0.0,1.0
sdxeq_0013__phonefact_opus_nb_8k,0.027393929660320282,0.0,0.027393929660320282,0.0,1.0
sdxeq_0014__phonefact_resample8k,0.014604817144572735,0.0,0.014604817144572735,0.0,1.0
sdxeq_0014__phonefact_g711_ulaw,0.016966205090284348,0.0,0.016966205090284348,0.0,1.0
sdxeq_0014__phonefact_g726_24k,0.022098151966929436,0.0,0.022098151966929436,0.0,1.0
sdxeq_0014__phonefact_opus_nb_8k,0.019108932465314865,0.0,0.019108932465314865,0.0,1.0
sdxeq_0015__phonefact_resample8k,0.017406722530722618,0.0,0.017406722530722618,0.0,1.0
sdxeq_0015__phonefact_g711_ulaw,0.020422978326678276,0.0,0.020422978326678276,0.0,1.0
sdxeq_0015__phonefact_g726_24k,0.02635858580470085,0.0,0.02635858580470085,0.0,1.0
sdxeq_0015__phonefact_opus_nb_8k,0.029684292152523994,0.0,0.029684292152523994,0.0,1.0
sdxeq_0016__phonefact_resample8k,0.0198404248803854,0.0,0.0198404248803854,0.0,1.0
sdxeq_0016__phonefact_g711_ulaw,0.01917404867708683,0.0,0.01917404867708683,0.0,1.0
sdxeq_0016__phonefact_g726_24k,0.029548997059464455,0.0,0.029548997059464455,0.0,1.0
sdxeq_0016__phonefact_opus_nb_8k,0.016387946903705597,0.0,0.016387946903705597,0.0,1.0
