EPOCH,LOSS,GROUP_DRO,CHANNEL_KL,SELECTION
0,0.8257978558540344,0.7718395590782166,0.0034298389218747616,0.4781164965986394
5,0.666219174861908,0.5558866858482361,0.013250695541501045,0.5292729591836735
10,0.6281967759132385,0.5011817812919617,0.01521475799381733,0.5426062925170068
15,0.6052653789520264,0.48338672518730164,0.00788107980042696,0.565969387755102
20,0.6006317734718323,0.4832095205783844,0.012469092383980751,0.5720280612244898
25,0.5873410105705261,0.46856117248535156,0.010735221207141876,0.6003698979591836
30,0.5807703137397766,0.4624882638454437,0.00937590654939413,0.6044770408163266
35,0.5738545060157776,0.4578433930873871,0.00989438034594059,0.5958630952380952
40,0.5688818097114563,0.4539797008037567,0.01124176848679781,0.6029591836734693
45,0.5624794363975525,0.4467479884624481,0.012583835981786251,0.608218537414966
50,0.558744490146637,0.44426804780960083,0.0143062062561512,0.6092899659863946
55,0.5539730191230774,0.440303236246109,0.01619214564561844,0.6160586734693878
60,0.5480632185935974,0.4343338906764984,0.017905347049236298,0.6179931972789116
65,0.5435817837715149,0.4302580952644348,0.01978672482073307,0.6109056122448979
70,0.5389546751976013,0.42677736282348633,0.02210880070924759,0.6164243197278911
75,0.5307117700576782,0.4178487956523895,0.02393450401723385,0.6176743197278911
80,0.5258423089981079,0.413375586271286,0.026524167507886887,0.6171471088435374
85,0.5205239653587341,0.4085542857646942,0.029079312458634377,0.6186649659863946
90,0.5140482187271118,0.40197715163230896,0.031968966126441956,0.6192899659863946
95,0.5106753706932068,0.39879104495048523,0.03552396222949028,0.6227636054421768
100,0.5035302042961121,0.3921106457710266,0.03779440000653267,0.621641156462585
105,0.4976626932621002,0.38582441210746765,0.04112747311592102,0.6219982993197279
110,0.49082016944885254,0.3793970048427582,0.044316619634628296,0.6158333333333332
115,0.4871223568916321,0.3767487704753876,0.04730147123336792,0.6338860544217688
120,0.48020684719085693,0.36872586607933044,0.051241256296634674,0.6361181972789116
125,0.4712667465209961,0.3594363331794739,0.05369129404425621,0.6293792517006802
130,0.46546244621276855,0.35450610518455505,0.056665658950805664,0.6303018707482992
135,0.4618365168571472,0.350653737783432,0.06094192713499069,0.6337457482993196
140,0.45517659187316895,0.34379443526268005,0.06419159471988678,0.6337755102040816
145,0.44998976588249207,0.33765658736228943,0.06698843836784363,0.6382312925170068
150,0.4428004026412964,0.33088454604148865,0.06854148209095001,0.6337755102040816
