epoch,loss,clean_error,phone_error,clean_voice_eer,clean_music_eer,clean_file_eer,phone_voice_eer,phone_music_eer,phone_file_eer,selection_error,seconds
0,0.5505232678083648,0.1362807671945297,0.19074406842603708,0.051787307397087604,0.24852492885126046,0.10273165411946808,0.06890838045933426,0.34651371176127366,0.14601655761157625,0.17304349552579718,258.6133780190721
1,0.4208366073101585,0.10639193577896063,0.16253326444379992,0.026105697803717666,0.1997835768465926,0.08247144632847864,0.05070739379017616,0.29539825432548616,0.12754461877623768,0.14428733262772717,479.36934020370245
2,0.3711888851565227,0.11432894360445908,0.1769670778342436,0.04515486089357127,0.23630461186725252,0.06881317573113814,0.06270002216616563,0.3313432524797866,0.13004819531414902,0.15660968420956364,676.6123441755772
3,0.35185803268213717,0.07814898059256359,0.13624661337006017,0.02375351956576298,0.13457977589635503,0.06604868782100895,0.039370590810750394,0.24910096571761992,0.10728441098524827,0.11736488271737378,862.3701380407438
4,0.31725959532093584,0.0578436190864888,0.12702091731227227,0.030385966069279367,0.0968367091772943,0.04543082623888928,0.04515486089357127,0.2302644113409305,0.09782124346255777,0.10453829538889264,1060.4590104408562
5,0.31450497245753717,0.05860797980978518,0.12913359350976839,0.03466623433484102,0.10352290453565774,0.04123572316423932,0.06227593395581791,0.22350825801688518,0.09925185862707847,0.10621276905727384,1258.4072922291234
6,0.3151933998305198,0.05073834794365577,0.1149642562554006,0.032738144307234054,0.07857619166696433,0.04123572316423932,0.04708295092117823,0.20158164541135284,0.0901463448955182,0.09409083605408353,1436.1299223760143
7,0.29312229282849017,0.06272936351001415,0.12432863862169403,0.02332943135541525,0.11143113159242193,0.04926827552240906,0.03852241439005488,0.21991212088736467,0.10130103895494733,0.10430887421039808,1609.4436078760773
8,0.2812680472233142,0.056093932309366754,0.11724701033631728,0.030810054279627096,0.07793019683492303,0.053105724805928844,0.04515486089357127,0.2174680574905631,0.08595124182086819,0.09737225997755836,1815.3023390183225
9,0.2806009241537741,0.04938915063497368,0.11870267913195581,0.02375351956576298,0.08706045559008799,0.03704062008958937,0.041298680838357346,0.2289024637111659,0.08354440770186916,0.09617578237043661,2007.1248366134241
10,0.2704932397089855,0.05295082388670004,0.12457129576962414,0.024177607776110763,0.08526238702532779,0.0450731724477591,0.038946502600402666,0.2198421629216828,0.10165869274607756,0.10129464240767382,2187.1460499698296
11,0.2549428245738933,0.05357443853914442,0.12526211260701653,0.024177607776110763,0.09194858238369116,0.04230868453762984,0.045578949103919,0.23810268043201277,0.0894310373132578,0.1019636185349581,2426.9384585078806
