CANDIDATE,DATASET,MUSIC_EER,MUSIC_SCORE,ROLE
residual_w0,codec_mixed_blind_v5,0.19166666666666665,0.8083333333333333,retired_blind_nonselection
residual_w0,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
residual_w0.01,codec_mixed_blind_v5,0.19999999999999998,0.8,retired_blind_nonselection
residual_w0.01,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
residual_w0.025,codec_mixed_blind_v5,0.19999999999999998,0.8,retired_blind_nonselection
residual_w0.025,codec_mixed_blind_v6,0.2666666666666667,0.7333333333333333,diagnostic_only_nonselection
residual_w0.05,codec_mixed_blind_v5,0.19999999999999998,0.8,retired_blind_nonselection
residual_w0.05,codec_mixed_blind_v6,0.2666666666666667,0.7333333333333333,diagnostic_only_nonselection
residual_w0.075,codec_mixed_blind_v5,0.20833333333333337,0.7916666666666666,retired_blind_nonselection
residual_w0.075,codec_mixed_blind_v6,0.2666666666666667,0.7333333333333333,diagnostic_only_nonselection
residual_w0.1,codec_mixed_blind_v5,0.21666666666666667,0.7833333333333333,retired_blind_nonselection
residual_w0.1,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
residual_w0.15,codec_mixed_blind_v5,0.25,0.75,retired_blind_nonselection
residual_w0.15,codec_mixed_blind_v6,0.25,0.75,diagnostic_only_nonselection
residual_w0.2,codec_mixed_blind_v5,0.2666666666666667,0.7333333333333333,retired_blind_nonselection
residual_w0.2,codec_mixed_blind_v6,0.2583333333333333,0.7416666666666667,diagnostic_only_nonselection
expert_w1,codec_mixed_blind_v5,0.30000000000000004,0.7,retired_blind_nonselection
expert_w1,codec_mixed_blind_v6,0.2833333333333333,0.7166666666666667,diagnostic_only_nonselection
