LAYER,C,LOCO_WORST_EER,LOCO_MEAN_EER
0,3e-05,0.47,0.353125
0,0.0001,0.44999999999999996,0.34
0,0.0003,0.41000000000000003,0.32437499999999997
0,0.001,0.41000000000000003,0.326875
0,0.003,0.4,0.321875
0,0.01,0.42000000000000004,0.3275
1,3e-05,0.51,0.374375
1,0.0001,0.48,0.3525
1,0.0003,0.47,0.326875
1,0.001,0.41000000000000003,0.315
1,0.003,0.39,0.310625
1,0.01,0.41000000000000003,0.316875
2,3e-05,0.55,0.395625
2,0.0001,0.48,0.34874999999999995
2,0.0003,0.45999999999999996,0.3275
2,0.001,0.43000000000000005,0.310625
2,0.003,0.43999999999999995,0.315625
2,0.01,0.43999999999999995,0.315625
3,3e-05,0.5900000000000001,0.41250000000000003
3,0.0001,0.55,0.37312500000000004
3,0.0003,0.54,0.34875
3,0.001,0.49,0.333125
3,0.003,0.45999999999999996,0.32875
3,0.01,0.44999999999999996,0.333125
4,3e-05,0.6,0.42000000000000004
4,0.0001,0.5900000000000001,0.39687500000000003
4,0.0003,0.56,0.380625
4,0.001,0.53,0.365
4,0.003,0.53,0.360625
4,0.01,0.51,0.359375
