KIND,SOURCE_ID,ARCHIVE_MEMBER,LOCAL_PATH,BYTES,SHA256,GROUP,POOL,LABEL,PARENT_ID,GENERATOR
voice,LA_E_8734813,unmixed_dataset/eval/RS_ASVspoof_LA_E_8734813.wav,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_dev_v4_sources/MixFake/unmixed_dataset/eval/RS_ASVspoof_LA_E_8734813.wav,137796,059c898b5b2d8cee7f737447f174d178ec77e2da801008639d1accdaa43c98b0,lcs70_00,VR,0,pmv3_0015,bonafide
voice,LA_E_9290615,unmixed_dataset/eval/RS_ASVspoof_LA_E_9290615.wav,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_dev_v4_sources/MixFake/unmixed_dataset/eval/RS_ASVspoof_LA_E_9290615.wav,148732,8a68a59c790aaf70a22847d9f365a05a8efa0e7c0a6d2a1a135a8b07a229e184,lcs70_00,VR,0,pmv3_0019,bonafide
voice,LA_E_4916170,unmixed_dataset/eval/RS_ASVspoof_LA_E_4916170.wav,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_dev_v4_sources/MixFake/unmixed_dataset/eval/RS_ASVspoof_LA_E_4916170.wav,122660,0f1d2af07ba3cb9b88d9367415a5341d3957b8d41950131c05f0ba327e2219d1,lcs70_00,VR,0,pmv3_0058,bonafide
voice,LA_E_4046146,unmixed_dataset/eval/RS_ASVspoof_LA_E_4046146.wav,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_dev_v4_sources/MixFake/unmixed_dataset/eval/RS_ASVspoof_LA_E_4046146.wav,92686,f45e5050ee691c633afd43d0df2a1dd5fd16d8667bfce87bf4fb70fc1f0b9de4,lcs70_00,VR,0,pmv3_0009,bonafide
voice,LA_E_4534902,unmixed_dataset/eval/RS_ASVspoof_LA_E_4534902.wav,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_dev_v4_sources/MixFake/unmixed_dataset/eval/RS_ASVspoof_LA_E_4534902.wav,49068,e60fd99528f56e5e8d28f6fabd7fd718aead1edf5d155ad2d924955a9e646e5c,lcs70_00,VR,0,pmv3_0051,bonafide
voice,LA_E_4932099,unmixed_dataset/eval/RS_ASVspoof_LA_E_4932099.wav,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_dev_v4_sources/MixFake/unmixed_dataset/eval/RS_ASVspoof_LA_E_4932099.wav,68296,d003a7f8db973333ad263fff0d8092af8dcba92e4c73deb2c7d8bf668dedf46a,lcs70_00,VR,0,pmv3_0003,bonafide
voice,LA_E_8353875,unmixed_dataset/eval/RS_ASVspoof_LA_E_8353875.wav,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_dev_v4_sources/MixFake/unmixed_dataset/eval/RS_ASVspoof_LA_E_8353875.wav,122708,0b29a03c9575b56b4c65eaed8a4f928d200f0bbfda94b79b94155b0a0da745b6,lcs70_01,VR,0,pmv3_0085,bonafide
voice,LA_E_8748336,unmixed_dataset/eval/RS_ASVspoof_LA_E_8748336.wav,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_dev_v4_sources/MixFake/unmixed_dataset/eval/RS_ASVspoof_LA_E_8748336.wav,91304,6ef46f262e4db09ac6a7709f175e59812b768c6c259672b7df89cd9808c9e6b7,lcs70_01,VR,0,pmv3_0018,bonafide
voice,LA_E_1426484,unmixed_dataset/eval/RS_ASVspoof_LA_E_1426484.wav,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_dev_v4_sources/MixFake/unmixed_dataset/eval/RS_ASVspoof_LA_E_1426484.wav,76492,e875f60acec87c11741aaac489cb5c53df1891db103f612a72d14f7fb2aa8a61,lcs70_01,VR,0,pmv3_0057,bonafide
voice,LA_E_1198781,unmixed_dataset/eval/RS_ASVspoof_LA_E_1198781.wav,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_dev_v4_sources/MixFake/unmixed_dataset/eval/RS_ASVspoof_LA_E_1198781.wav,66866,911ef618ab8a3b98ea9da5356a831cf59c94d952939a949d9f6ac4be9fe4349b,lcs70_01,VR,0,pmv3_0086,bonafide
voice,LA_E_1373332,unmixed_dataset/eval/RS_ASVspoof_LA_E_1373332.wav,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/codec_mixed_dev_v4_sources/MixFake/unmixed_dataset/eval/RS_ASVspoof_LA_E_1373332.wav,76370,ca62e7a520690c3cb68b9bf8e4ca7de9fe5d948125ae196bbc2514895c759401,lcs70_01,VR,0,pmv3_0059,bonafide
