ID,CHANNEL,PEAK_NORMALIZED,GAIN,FILE_PROB
pmv3_0005__clean,clean,False,0.1,0.7375035881996155
pmv3_0005__clean,clean,False,1.0,0.642725944519043
pmv3_0005__clean,clean,False,10.0,0.3052414059638977
pmv3_0005__clean,clean,True,0.1,0.6132277250289917
pmv3_0005__clean,clean,True,1.0,0.6145780682563782
pmv3_0005__clean,clean,True,10.0,0.6147685050964355
pmv3_0005__g711_ulaw,g711_ulaw,False,0.1,0.5396597981452942
pmv3_0005__g711_ulaw,g711_ulaw,False,1.0,0.43642812967300415
pmv3_0005__g711_ulaw,g711_ulaw,False,10.0,0.3786208927631378
pmv3_0005__g711_ulaw,g711_ulaw,True,0.1,0.30333608388900757
pmv3_0005__g711_ulaw,g711_ulaw,True,1.0,0.3031022548675537
pmv3_0005__g711_ulaw,g711_ulaw,True,10.0,0.3061717748641968
pmv3_0005__g722_wb,g722_wb,False,0.1,0.8024789094924927
pmv3_0005__g722_wb,g722_wb,False,1.0,0.7650671601295471
pmv3_0005__g722_wb,g722_wb,False,10.0,0.3581624925136566
pmv3_0005__g722_wb,g722_wb,True,0.1,0.6489179730415344
pmv3_0005__g722_wb,g722_wb,True,1.0,0.6516902446746826
pmv3_0005__g722_wb,g722_wb,True,10.0,0.6479126811027527
pmv3_0005__opus_nb_8k,opus_nb_8k,False,0.1,0.3722207546234131
pmv3_0005__opus_nb_8k,opus_nb_8k,False,1.0,0.4026254713535309
pmv3_0005__opus_nb_8k,opus_nb_8k,False,10.0,0.25561293959617615
pmv3_0005__opus_nb_8k,opus_nb_8k,True,0.1,0.32581064105033875
pmv3_0005__opus_nb_8k,opus_nb_8k,True,1.0,0.32546916604042053
pmv3_0005__opus_nb_8k,opus_nb_8k,True,10.0,0.3237890303134918
pmv3_0005__transcode_g711_opus,transcode_g711_opus,False,0.1,0.33941105008125305
pmv3_0005__transcode_g711_opus,transcode_g711_opus,False,1.0,0.5007818341255188
pmv3_0005__transcode_g711_opus,transcode_g711_opus,False,10.0,0.2119557410478592
pmv3_0005__transcode_g711_opus,transcode_g711_opus,True,0.1,0.4410625398159027
pmv3_0005__transcode_g711_opus,transcode_g711_opus,True,1.0,0.44070160388946533
pmv3_0005__transcode_g711_opus,transcode_g711_opus,True,10.0,0.4397968053817749
pmv3_0007__clean,clean,False,0.1,0.7843783497810364
pmv3_0007__clean,clean,False,1.0,0.7557375431060791
pmv3_0007__clean,clean,False,10.0,0.8155397772789001
pmv3_0007__clean,clean,True,0.1,0.7047093510627747
pmv3_0007__clean,clean,True,1.0,0.7079111933708191
pmv3_0007__clean,clean,True,10.0,0.7053991556167603
pmv3_0007__g711_ulaw,g711_ulaw,False,0.1,0.9808715581893921
pmv3_0007__g711_ulaw,g711_ulaw,False,1.0,0.945233166217804
pmv3_0007__g711_ulaw,g711_ulaw,False,10.0,0.9182143807411194
pmv3_0007__g711_ulaw,g711_ulaw,True,0.1,0.9463328719139099
pmv3_0007__g711_ulaw,g711_ulaw,True,1.0,0.9467149972915649
pmv3_0007__g711_ulaw,g711_ulaw,True,10.0,0.9468885660171509
pmv3_0007__g722_wb,g722_wb,False,0.1,0.9406019449234009
pmv3_0007__g722_wb,g722_wb,False,1.0,0.9013050198554993
pmv3_0007__g722_wb,g722_wb,False,10.0,0.8566926121711731
