ID,CHANNEL,FILE_FAKE
pmv3_0005__clean,clean,0
pmv3_0005__g711_ulaw,g711_ulaw,0
pmv3_0005__g722_wb,g722_wb,0
pmv3_0005__opus_nb_8k,opus_nb_8k,0
pmv3_0005__transcode_g711_opus,transcode_g711_opus,0
pmv3_0007__clean,clean,0
pmv3_0007__g711_ulaw,g711_ulaw,0
pmv3_0007__g722_wb,g722_wb,0
pmv3_0007__opus_nb_8k,opus_nb_8k,0
pmv3_0007__transcode_g711_opus,transcode_g711_opus,0
pmv3_0021__clean,clean,1
pmv3_0021__g711_ulaw,g711_ulaw,1
pmv3_0021__g722_wb,g722_wb,1
pmv3_0021__opus_nb_8k,opus_nb_8k,1
pmv3_0021__transcode_g711_opus,transcode_g711_opus,1
pmv3_0037__clean,clean,1
pmv3_0037__g711_ulaw,g711_ulaw,1
pmv3_0037__g722_wb,g722_wb,1
pmv3_0037__opus_nb_8k,opus_nb_8k,1
pmv3_0037__transcode_g711_opus,transcode_g711_opus,1
pmv3_0087__clean,clean,0
pmv3_0087__g711_ulaw,g711_ulaw,0
pmv3_0087__g722_wb,g722_wb,0
pmv3_0087__opus_nb_8k,opus_nb_8k,0
pmv3_0087__transcode_g711_opus,transcode_g711_opus,0
pmv3_0104__clean,clean,1
pmv3_0104__g711_ulaw,g711_ulaw,1
pmv3_0104__g722_wb,g722_wb,1
pmv3_0104__opus_nb_8k,opus_nb_8k,1
pmv3_0104__transcode_g711_opus,transcode_g711_opus,1
