MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_SOURCE_KIND,MUSIC_AUDIO_SHA256,PANNS_ANY_VOICE_MAX,DEMUCS_VOCAL_TO_MIX_DB,PANNS_THRESHOLD,DEMUCS_THRESHOLD_DB,MUSIC_ABSENCE_PASS,VOCAL_PANNS_ANY_VOICE_MAX,VOCAL_PRESENCE_THRESHOLD,VOCAL_PRESENCE_PASS,SEMANTIC_SCREEN_PASS
048857,fma:48857,FMA,fma_instrumental,f999a6e00feb239adb4c1043d075e45c8e9f5dc43751aaa6e9cd8911077db718,0.40407297015190125,-8.662686639229758,0.2,-1.5,False,,0.2,True,False
082319,fma:82319,FMA,fma_instrumental,e4ae43a342df8129df3644a662f7d4353b33aa381eb5d7ac33619c3a9c8d59b5,0.03107268176972866,-24.418089641725853,0.2,-1.5,True,,0.2,True,True
036533,fma:36533,FMA,fma_instrumental,3728eb8452bd1f29f3c16431cdff19b260ded424e388bf6655b1c97a98e9709d,0.8323312997817993,-1.5771190875518781,0.2,-1.5,False,,0.2,True,False
129401,fma:129401,FMA,fma_instrumental,53b862a86e35dc03e5a7ecc5ff0399f6bc01ec8e4739db9895fd725689780333,0.2097618281841278,-8.11943435526939,0.2,-1.5,False,,0.2,True,False
043283,fma:43283,FMA,fma_instrumental,c1c1a5e1dff89eaff2dae468349a57741b41782532c32d7dd64fed9eb538ab01,0.2844278812408447,-12.7771264073749,0.2,-1.5,False,,0.2,True,False
082711,fma:82711,FMA,fma_instrumental,d49e05fb04804919cdadec38d8100f0b682cb25fe602ebf9b07e9ac4272fb796,0.20099256932735443,-14.370536403920735,0.2,-1.5,False,,0.2,True,False
FM_stable_audio_open_ZV_ZbmjPpkw,fmc:ZV_ZbmjPpkw,stable_audio_open,fakemusiccaps_instrumental,a8e37599124eb548978c0f8f71814d01b4766f46e2471b13ef3e632603fe7dad,0.03003467246890068,-58.97972631375863,0.2,-1.5,True,,0.2,True,True
FM_MusicGen_medium_BI8YQ3ueD24,fmc:BI8YQ3ueD24,MusicGen_medium,fakemusiccaps_instrumental,cc0000a7b9209a9b916ebd68ac0e5bcb68243e573951522d1e1f5fd67e68988a,0.03213130682706833,-56.82019518710113,0.2,-1.5,True,,0.2,True,True
FM_musicldm_YAYp2E5vMNw,fmc:YAYp2E5vMNw,musicldm,fakemusiccaps_instrumental,93c2b710bdf4e37ef05482e03851341db385b2bd4dd9a0c88296eb2357f78e37,0.046334948390722275,-8.800146907292575,0.2,-1.5,True,,0.2,True,True
FM_audioldm2_kYrJadZmjm0,fmc:kYrJadZmjm0,audioldm2,fakemusiccaps_instrumental,59c457b6d18ec420619ad16a7c7c9d4d6389fc1938f21a662a1c974c4f6fe52f,0.032052308320999146,-46.87830620668425,0.2,-1.5,True,,0.2,True,True
FM_mustango_-uaTK8sa5Ms,fmc:-uaTK8sa5Ms,mustango,fakemusiccaps_instrumental,ed47f200f8e6924e2a79ade2d70f9b33de225fe25c4313738fe1d73fc5955a05,0.036199044436216354,-39.558405446510214,0.2,-1.5,True,,0.2,True,True
FM_stable_audio_open_8LYWfpPUokc,fmc:8LYWfpPUokc,stable_audio_open,fakemusiccaps_instrumental,05f854e1a0c1646f95096e20149517f93df5de2306a494bd1e3977241bee1853,0.048738744109869,-62.04419116825043,0.2,-1.5,True,,0.2,True,True
019634,fma:19634,FMA,fma_instrumental,e22f0b72cfdb6e1cb057c4687ae025af3bbbeed9e8669be861f67e4cd7448ef7,0.7031833529472351,-8.515176884900374,0.2,-1.5,False,,0.2,True,False
105906,fma:105906,FMA,fma_instrumental,1ca950a6b58bc82b69c009fc097e4925b1a7f0d1f14bf320319dbe3f106d0dbe,0.2072950303554535,-5.742824851464733,0.2,-1.5,False,,0.2,True,False
116871,fma:116871,FMA,fma_instrumental,24a0c9980d951813a0d1da793d9b2214d475d7aeeb5c36b930cadb767ca51110,0.0326620377600193,-58.67471624935796,0.2,-1.5,True,,0.2,True,True
077943,fma:77943,FMA,fma_instrumental,928709f82483d6a23c433ebab5271707fb64c64fa91077ef15d78218f4516fb5,0.05257803574204445,-18.194098277706427,0.2,-1.5,True,,0.2,True,True
003533,fma:3533,FMA,fma_instrumental,363cc433db6173c4acd2ad14feaea3ba2f3d1d892317d170133257c8491bee1c,0.21825315058231354,-11.703606736229101,0.2,-1.5,False,,0.2,True,False
118330,fma:118330,FMA,fma_instrumental,a82367bc106887b629fa94cee20494123c2f9189241cd70711a1fe54a7c1f132,0.16782526671886444,-9.100181776366563,0.2,-1.5,True,,0.2,True,True
sonics-music:FM_fake_songs_wav_fake_18832_suno_1,sonics:18832,sonics:chirp-v3,sonics_joint,10cd57d309d4b7c636bddea8e16143afc5bdcc2c849ca158361a9493e0f4b5d8,0.037841636687517166,-40.32183606795313,0.2,-1.5,True,0.3592976927757263,0.2,True,True
