EPOCH,LOSS,GROUP_DRO,CHANNEL_KL,SELECTION
0,0.7688112258911133,0.6970354914665222,0.0035018986091017723,0.518469387755102
5,0.6415148377418518,0.5169889330863953,0.006822004448622465,0.5346215986394558
10,0.6215493083000183,0.500139057636261,0.00550543749704957,0.5458630952380952
15,0.607043445110321,0.48447200655937195,0.005705898627638817,0.5652593537414966
20,0.5963538289070129,0.47751161456108093,0.005425130017101765,0.5753316326530613
25,0.5863274335861206,0.4663352966308594,0.005572116002440453,0.5735841836734694
30,0.5792094469070435,0.46056005358695984,0.006060650106519461,0.5816411564625851
35,0.572951078414917,0.45517683029174805,0.00675470195710659,0.5868920068027211
40,0.5672315359115601,0.45089951157569885,0.007592867128551006,0.5898086734693878
45,0.5594820380210876,0.44297751784324646,0.00823251623660326,0.5961692176870749
50,0.5535686016082764,0.43823060393333435,0.009638356044888496,0.5990561224489797
55,0.5484569072723389,0.43368959426879883,0.011240063235163689,0.5958715986394558
60,0.5422287583351135,0.4284666180610657,0.012167619541287422,0.5971215986394557
65,0.5358153581619263,0.42250195145606995,0.013546458445489407,0.5996215986394557
70,0.5288586020469666,0.4156527519226074,0.01539311558008194,0.6012414965986395
75,0.521885335445404,0.4088444709777832,0.01731858029961586,0.6076105442176871
80,0.5165049433708191,0.40438976883888245,0.01932968944311142,0.6099914965986395
85,0.5075969099998474,0.39540576934814453,0.021203817799687386,0.6126743197278912
90,0.500673770904541,0.38826045393943787,0.024147359654307365,0.6093877551020408
95,0.496203750371933,0.3851455748081207,0.02629251591861248,0.6129506802721089
100,0.48829391598701477,0.37707099318504333,0.028602341189980507,0.6169770408163265
105,0.479491263628006,0.3675197660923004,0.03157253935933113,0.6217389455782313
110,0.47560977935791016,0.3653286099433899,0.03340744227170944,0.6257270408163265
115,0.46417346596717834,0.3516550064086914,0.03683711215853691,0.625875850340136
120,0.45856496691703796,0.34656792879104614,0.03890296071767807,0.6178103741496599
125,0.45238447189331055,0.340726375579834,0.04224791005253792,0.6273044217687074
130,0.4453129470348358,0.3325231671333313,0.04377850517630577,0.6269472789115647
135,0.43756774067878723,0.32554131746292114,0.04583512619137764,0.6282865646258503
140,0.4302099943161011,0.31664666533470154,0.04912193492054939,0.6253188775510203
145,0.4262124300003052,0.3126230239868164,0.05140791833400726,0.6240391156462585
150,0.4196033775806427,0.3050033748149872,0.052487216889858246,0.6230867346938775
