CACHE_INDEX,ROLE,ORIGINAL_INDEX,DATASET,ID,PATH
0,train,0,channel_invariant_factorial_train_v1,channel_inv_0005__g726_24k,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0005__g726_24k.flac
1,train,1,channel_invariant_factorial_train_v1,channel_inv_0005__opus_nb_8k,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0005__opus_nb_8k.flac
2,train,2,channel_invariant_factorial_train_v1,channel_inv_0000__clean,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0000__clean.flac
3,train,3,channel_invariant_factorial_train_v1,channel_inv_0000__g711_ulaw,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/channel_invariant_factorial_train_v1/audio/channel_inv_0000__g711_ulaw.flac
4,train,4,forensic_call_train_v1,forensic_train_00000,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00000.flac
5,train,6,forensic_call_train_v1,forensic_train_00002,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00002.flac
6,train,7,forensic_call_train_v1,forensic_train_00003,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/forensic_call_train_v1/audio/forensic_train_00003.flac
7,development,0,mixfake_music_dev_v1,FS-FM_LA_D_1023711_XzwhTltRQcM,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1023711_XzwhTltRQcM.wav
8,development,1,mixfake_music_dev_v1,FS-FM_LA_D_1023711_cf-IIqhveKw,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1023711_cf-IIqhveKw.wav
9,development,2,mixfake_music_dev_v1,FS-FM_LA_D_1023711_fake_15050_udio_0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1023711_fake_15050_udio_0.wav
10,development,3,mixfake_music_dev_v1,FS-FM_LA_D_1053530_kOREaTKeyZw,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1053530_kOREaTKeyZw.wav
11,development,4,mixfake_music_dev_v1,FS-FM_LA_D_1062960_k4kbpRRRgcQ,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1062960_k4kbpRRRgcQ.wav
12,development,5,mixfake_music_dev_v1,FS-FM_LA_D_1084765_fake_19732_udio_1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1084765_fake_19732_udio_1.wav
13,development,6,mixfake_music_dev_v1,FS-FM_LA_D_1097191_fake_53079_suno_0,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1097191_fake_53079_suno_0.wav
14,development,7,mixfake_music_dev_v1,FS-FM_LA_D_1132441_fake_21612_udio_1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1132441_fake_21612_udio_1.wav
