DATASET,BASE,EXTRA,ROUTED,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,0.0,0.0,67,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
factorial,0.0,0.025,67,400,400,350,350,0.25527272727272726,0.22857142857142854,0.28,,,0.7426493506493506,,
factorial,0.0,0.05,67,400,400,350,350,0.25527272727272726,0.22857142857142854,0.28,,,0.7426493506493506,,
factorial,0.0,0.075,67,400,400,350,350,0.24763636363636365,0.23428571428571432,0.28,,,0.7453246753246753,,
factorial,0.0,0.1,67,400,400,350,350,0.24945454545454543,0.23428571428571432,0.28,,,0.7444155844155844,,
factorial,0.0,0.15,67,400,400,350,350,0.24763636363636365,0.24,0.28,,,0.7441818181818182,,
factorial,0.0,0.2,67,400,400,350,350,0.24763636363636365,0.24,0.28,,,0.7441818181818182,,
factorial,0.0,0.3,67,400,400,350,350,0.24945454545454543,0.2457142857142857,0.2857142857142857,,,0.7404155844155845,,
factorial,0.005,0.0,67,400,400,350,350,0.24945454545454543,0.22285714285714286,0.27428571428571424,,,0.7484155844155845,,
factorial,0.005,0.025,67,400,400,350,350,0.24945454545454543,0.22857142857142854,0.27428571428571424,,,0.7472727272727273,,
factorial,0.005,0.05,67,400,400,350,350,0.24763636363636365,0.22857142857142854,0.27428571428571424,,,0.7481818181818183,,
factorial,0.005,0.075,67,400,400,350,350,0.24763636363636365,0.23428571428571432,0.27428571428571424,,,0.7470389610389611,,
factorial,0.005,0.1,67,400,400,350,350,0.24763636363636365,0.23428571428571432,0.27428571428571424,,,0.7470389610389611,,
factorial,0.005,0.15,67,400,400,350,350,0.24181818181818182,0.24,0.27428571428571424,,,0.7488051948051948,,
factorial,0.005,0.2,67,400,400,350,350,0.24763636363636365,0.24,0.27428571428571424,,,0.745896103896104,,
factorial,0.005,0.3,67,400,400,350,350,0.24945454545454543,0.2457142857142857,0.28,,,0.7421298701298702,,
factorial,0.01,0.0,67,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
factorial,0.01,0.025,67,400,400,350,350,0.24763636363636365,0.22285714285714286,0.27428571428571424,,,0.7493246753246754,,
factorial,0.01,0.05,67,400,400,350,350,0.24763636363636365,0.22285714285714286,0.27428571428571424,,,0.7493246753246754,,
factorial,0.01,0.075,67,400,400,350,350,0.24181818181818182,0.22285714285714286,0.27428571428571424,,,0.7522337662337663,,
factorial,0.01,0.1,67,400,400,350,350,0.24763636363636365,0.23428571428571432,0.27428571428571424,,,0.7470389610389611,,
factorial,0.01,0.15,67,400,400,350,350,0.24763636363636365,0.24,0.27428571428571424,,,0.745896103896104,,
factorial,0.01,0.2,67,400,400,350,350,0.24763636363636365,0.24,0.27428571428571424,,,0.745896103896104,,
factorial,0.01,0.3,67,400,400,350,350,0.24945454545454543,0.2457142857142857,0.28,,,0.7421298701298702,,
factorial,0.015,0.0,67,400,400,350,350,0.24763636363636365,0.22285714285714286,0.27428571428571424,,,0.7493246753246754,,
factorial,0.015,0.025,67,400,400,350,350,0.24763636363636365,0.22285714285714286,0.27428571428571424,,,0.7493246753246754,,
factorial,0.015,0.05,67,400,400,350,350,0.24181818181818182,0.22285714285714286,0.26857142857142857,,,0.7539480519480519,,
factorial,0.015,0.075,67,400,400,350,350,0.24181818181818182,0.22285714285714286,0.26857142857142857,,,0.7539480519480519,,
factorial,0.015,0.1,67,400,400,350,350,0.24,0.22857142857142854,0.26857142857142857,,,0.7537142857142857,,
