METHOD,CHANNEL,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
v47_query_only,clean_flac,66,66,58,58,0.14021739130434785,0.2068965517241379,0.17261904761904762,1.0,0.9935344827586207,0.8367262797172842,0.9967672413793103,0.8527303758834869
v47_query_only,mp3_64k,67,67,58,59,0.19306418219461696,0.27586206896551724,0.20344827586206893,0.9942528735632183,0.9957627118644068,0.7872610123509673,0.9950077927138126,0.8080356903872519
v47_query_only,noisy_flac,66,66,58,58,0.18412698412698414,0.31034482758620685,0.1380952380952381,0.9913793103448276,0.9935344827586207,0.8044389709906952,0.9924568965517242,0.8232407635467981
v47_query_only,ogg_48k,67,67,59,58,0.19306418219461696,0.271264367816092,0.17261904761904762,0.9978813559322034,1.0,0.7974293210537589,0.9989406779661016,0.8175804567449931
v47_query_only,stereo_wav,67,67,59,58,0.3146464646464646,0.271264367816092,0.24166666666666667,1.0,0.9942528735632185,0.7159238941135493,0.9971264367816093,0.7440441483803553
v47_query_only,telephone_flac,67,67,58,59,0.298936170212766,0.27586206896551724,0.22004608294930877,0.9885057471264367,0.9639830508474576,0.7293456762157209,0.9762443989869471,0.7540355484928436
source_restricted_consensus,clean_flac,66,66,58,58,0.14021739130434785,0.2068965517241379,0.17261904761904762,1.0,0.9935344827586207,0.8367262797172842,0.9967672413793103,0.8527303758834869
source_restricted_consensus,mp3_64k,67,67,58,59,0.19306418219461696,0.27586206896551724,0.20344827586206893,0.9942528735632183,0.9957627118644068,0.7872610123509673,0.9950077927138126,0.8080356903872519
source_restricted_consensus,noisy_flac,66,66,58,58,0.18412698412698414,0.31034482758620685,0.17261904761904762,0.9913793103448276,0.9935344827586207,0.7940818281335523,0.9924568965517242,0.8139193349753695
source_restricted_consensus,ogg_48k,67,67,59,58,0.19306418219461696,0.271264367816092,0.20714285714285716,0.9978813559322034,1.0,0.7870721781966159,0.9989406779661016,0.8082590281735644
source_restricted_consensus,stereo_wav,67,67,59,58,0.3146464646464646,0.271264367816092,0.2583333333333333,1.0,0.9942528735632185,0.7109238941135493,0.9971264367816093,0.7395441483803553
source_restricted_consensus,telephone_flac,67,67,58,59,0.298936170212766,0.27586206896551724,0.2880184331797235,0.9885057471264367,0.9639830508474576,0.7089539711465965,0.9762443989869471,0.7356830139306316
