MODEL,DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
identity,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
identity,codec_mixed_dev_v4,600,600,600,600,0.2788888888888889,0.29666666666666663,0.2733333333333333,,,0.7192222222222222,,,0.7192222222222222
identity,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
identity,external_mixed_v1,400,400,400,400,0.21166666666666667,0.31000000000000005,0.125,,,0.7946666666666666,,,0.7946666666666666
identity,external_mixed_v1_telephone_v1,400,400,400,400,0.20833333333333331,0.31999999999999995,0.125,,,0.7943333333333333,,,0.7943333333333333
identity,factorial_eval_1200_v2,400,400,350,350,0.23236363636363638,0.2857142857142857,0.2114285714285714,0.9992571428571428,1.0,0.7632467532467533,0.9996285714285714,0.7868849350649351,0.7632467532467533
identity,mixfake_music_dev_v1,1600,1600,1600,1600,0.07499999999999998,0.10250000000000001,0.07625000000000001,,,0.919125,,,0.919125
identity,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09999999999999999,,,,,,,0.923809523809524
identity,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.15000000000000002,0.16000000000000003,,,0.812,,,0.812
identity,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.2833333333333333,0.14,0.31000000000000005,,,0.7373333333333333,,,0.7373333333333333
identity,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.050000000000000024,,,,,,0.9593749999999999
v1_strict,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v1_strict,codec_mixed_dev_v4,600,600,600,600,0.2533333333333333,0.2833333333333333,0.2533333333333333,,,0.7406666666666667,,,0.7406666666666667
v1_strict,echoes_fma_paired_v3,111,111,0,111,0.12613636363636366,,0.09009740259740262,,,,,,0.8873782467532467
v1_strict,external_mixed_v1,400,400,400,400,0.11833333333333335,0.21499999999999997,0.135,,,0.8573333333333333,,,0.8573333333333333
v1_strict,external_mixed_v1_telephone_v1,400,400,400,400,0.14166666666666666,0.22999999999999998,0.15500000000000003,,,0.8366666666666667,,,0.8366666666666667
v1_strict,factorial_eval_1200_v2,400,400,350,350,0.2629090909090909,0.29714285714285715,0.22857142857142854,0.9992571428571428,1.0,0.7405454545454545,0.9996285714285714,0.7664537662337662,0.7405454545454545
v1_strict,mixfake_music_dev_v1,1600,1600,1600,1600,0.06499999999999997,0.08374999999999999,0.07874999999999999,,,0.927125,,,0.927125
v1_strict,multigen_voice_v2,90,90,90,0,0.058333333333333355,0.09166666666666669,,,,,,,0.9321428571428572
v1_strict,source_disjoint_mixed_v1,200,200,200,200,0.18000000000000002,0.13,0.14,,,0.842,,,0.842
v1_strict,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.21999999999999997,0.09999999999999999,0.26,,,0.792,,,0.792
v1_strict,source_disjoint_music_v1,400,400,0,400,0.06499999999999997,,0.09999999999999999,,,,,,0.921875
v1_strict__voice_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v1_strict__voice_only,codec_mixed_dev_v4,600,600,600,600,0.2788888888888889,0.2833333333333333,0.2733333333333333,,,0.7218888888888888,,,0.7218888888888888
v1_strict__voice_only,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
v1_strict__voice_only,external_mixed_v1,400,400,400,400,0.21166666666666667,0.21499999999999997,0.125,,,0.8136666666666668,,,0.8136666666666668
v1_strict__voice_only,external_mixed_v1_telephone_v1,400,400,400,400,0.20833333333333331,0.22999999999999998,0.125,,,0.8123333333333334,,,0.8123333333333334
v1_strict__voice_only,factorial_eval_1200_v2,400,400,350,350,0.23236363636363638,0.29714285714285715,0.2114285714285714,0.9992571428571428,1.0,0.760961038961039,0.9996285714285714,0.7848277922077922,0.760961038961039
v1_strict__voice_only,mixfake_music_dev_v1,1600,1600,1600,1600,0.07499999999999998,0.08374999999999999,0.07625000000000001,,,0.922875,,,0.922875
v1_strict__voice_only,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
v1_strict__voice_only,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.13,0.16000000000000003,,,0.8160000000000001,,,0.8160000000000001
v1_strict__voice_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.2833333333333333,0.09999999999999999,0.31000000000000005,,,0.7453333333333333,,,0.7453333333333333
v1_strict__voice_only,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.050000000000000024,,,,,,0.9593749999999999
v1_strict__music_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v1_strict__music_only,codec_mixed_dev_v4,600,600,600,600,0.2788888888888889,0.29666666666666663,0.2533333333333333,,,0.7252222222222222,,,0.7252222222222222
